,the,traveling,salesman,problem,is,an,example,of,what,type,of,problem,?
output,0.22049929201602936,0.11108220368623734,0.2137356847524643,0.24181972444057465,0.2423316091299057,0.1526559591293335,0.3369172513484955,0.15243679285049438,0.25545787811279297,0.23804348707199097,0.15243679285049438,0.24181972444057465,0.16760045289993286
(,0.33289089798927307,0.11855678260326385,0.09860395640134811,0.1944350153207779,0.35393038392066956,0.286407470703125,0.23614145815372467,0.35032153129577637,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.1944350153207779,0.40561532974243164
of,0.733189046382904,0.2297215312719345,0.1335330307483673,0.20464475452899933,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.33290785551071167,0.18112817406654358,1.0,0.20464475452899933,0.1826142966747284
a,0.5829201340675354,0.26968079805374146,0.3150462508201599,0.2605542540550232,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2605542540550232,0.23916715383529663
total,0.27068960666656494,0.06937733292579651,0.009641267359256744,0.12327253073453903,0.18159881234169006,0.1526704579591751,0.11151807755231857,0.29045331478118896,0.19850242137908936,0.13819846510887146,0.29045331478118896,0.12327253073453903,0.14396025240421295
function,0.2037137746810913,0.0478026419878006,0.206125408411026,0.33479827642440796,0.17586156725883484,0.15086998045444489,0.34200519323349,0.16667552292346954,0.22155974805355072,0.21157948672771454,0.16667552292346954,0.33479827642440796,0.20672395825386047
),0.3456730246543884,0.1287289261817932,0.13860656321048737,0.20261481404304504,0.37732169032096863,0.2873353958129883,0.26101627945899963,0.3680361211299896,0.26259949803352356,0.18612703680992126,0.3680361211299896,0.20261481404304504,0.42300865054130554
is,0.5823672413825989,0.16917747259140015,0.23787350952625275,0.23238427937030792,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.23238427937030792,0.22961433231830597
expected,0.3108554780483246,0.2979564964771271,0.2540771961212158,0.26637083292007446,0.20087631046772003,0.22516606748104095,0.25984281301498413,0.26944905519485474,0.3720298707485199,0.1837027668952942,0.26944905519485474,0.26637083292007446,0.19474582374095917
for,0.4739971458911896,0.23135124146938324,0.25454333424568176,0.2661307752132416,0.43268078565597534,0.3236706852912903,0.45665353536605835,0.4185989499092102,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.2661307752132416,0.264628142118454
every,0.4023689329624176,0.2467597872018814,0.16933879256248474,0.2754577696323395,0.3428492546081543,0.2707444429397583,0.3201913833618164,0.3414052724838257,0.30284011363983154,0.19791007041931152,0.3414052724838257,0.2754577696323395,0.24066033959388733
input,0.19928309321403503,0.11362330615520477,0.14218802750110626,0.2680823802947998,0.2170686423778534,0.20624928176403046,0.24584804475307465,0.13291659951210022,0.2844698429107666,0.19163690507411957,0.13291659951210022,0.2680823802947998,0.24861721694469452
",",0.4933079481124878,0.19962750375270844,0.19904711842536926,0.23938199877738953,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.23938199877738953,0.31091248989105225
but,0.4859698414802551,0.16592824459075928,0.19925017654895782,0.4038695693016052,0.4106791317462921,0.27760404348373413,0.39983898401260376,0.39942997694015503,0.5029441118240356,0.24026720225811005,0.39942997694015503,0.4038695693016052,0.27921953797340393
the,1.0,0.2753162384033203,0.18677568435668945,0.24928659200668335,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24928659200668335,0.22068053483963013
output,0.22049929201602936,0.11108220368623734,0.2137356847524643,0.24181972444057465,0.2423316091299057,0.1526559591293335,0.3369172513484955,0.15243679285049438,0.25545787811279297,0.23804348707199097,0.15243679285049438,0.24181972444057465,0.16760045289993286
is,0.5823672413825989,0.16917747259140015,0.23787350952625275,0.23238427937030792,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.23238427937030792,0.22961433231830597
more,0.39758381247520447,0.23326048254966736,0.15529748797416687,0.3073251247406006,0.2946030795574188,0.316240519285202,0.35535088181495667,0.30478984117507935,0.3484537899494171,0.2277899980545044,0.30478984117507935,0.3073251247406006,0.27894994616508484
complex,0.25326284766197205,0.019168920814990997,0.15091580152511597,0.33565452694892883,0.2723233699798584,0.20319058001041412,0.32708874344825745,0.24271073937416077,0.2605343163013458,0.12881608307361603,0.24271073937416077,0.33565452694892883,0.17752902209758759
than,0.3227543234825134,0.2331322580575943,0.14329665899276733,0.28667381405830383,0.2839990258216858,0.2493579238653183,0.3422342538833618,0.33036211133003235,0.29388150572776794,0.21065692603588104,0.33036211133003235,0.28667381405830383,0.24917294085025787
that,0.5473989248275757,0.22833402454853058,0.23567399382591248,0.4416671693325043,0.3995479643344879,0.365763783454895,0.429897665977478,0.41498205065727234,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.4416671693325043,0.32716336846351624
of,0.733189046382904,0.2297215312719345,0.1335330307483673,0.20464475452899933,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.33290785551071167,0.18112817406654358,1.0,0.20464475452899933,0.1826142966747284
a,0.5829201340675354,0.26968079805374146,0.3150462508201599,0.2605542540550232,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2605542540550232,0.23916715383529663
decision,0.2905151844024658,0.14173085987567902,0.13267090916633606,0.31341657042503357,0.2514069080352783,0.1716570407152176,0.20591168105602264,0.2331373691558838,0.32053670287132263,0.11840678006410599,0.2331373691558838,0.31341657042503357,0.2796577215194702
problem,0.24928659200668335,0.1737433224916458,0.31256964802742004,1.0,0.23238427937030792,0.21292734146118164,0.3561607897281647,0.20464475452899933,0.42183366417884827,0.24055761098861694,0.20464475452899933,1.0,0.3762950301170349
",",0.4933079481124878,0.19962750375270844,0.19904711842536926,0.23938199877738953,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.23938199877738953,0.31091248989105225
that,0.5473989248275757,0.22833402454853058,0.23567399382591248,0.4416671693325043,0.3995479643344879,0.365763783454895,0.429897665977478,0.41498205065727234,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.4416671693325043,0.32716336846351624
is,0.5823672413825989,0.16917747259140015,0.23787350952625275,0.23238427937030792,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.23238427937030792,0.22961433231830597
",",0.4933079481124878,0.19962750375270844,0.19904711842536926,0.23938199877738953,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.23938199877738953,0.31091248989105225
it,0.6251175999641418,0.16605901718139648,0.19757555425167084,0.296018123626709,0.6328473687171936,0.39472338557243347,0.33693674206733704,0.38761502504348755,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.296018123626709,0.25732165575027466
is,0.5823672413825989,0.16917747259140015,0.23787350952625275,0.23238427937030792,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.23238427937030792,0.22961433231830597
n't,-0.11449059844017029,-0.017027944326400757,0.066511370241642,-0.08322153985500336,0.028099019080400467,0.07694102823734283,-0.07179015874862671,-0.021397603675723076,-0.07036374509334564,-0.0017227581702172756,-0.021397603675723076,-0.08322153985500336,0.07068326324224472
just,0.40061673521995544,0.22755476832389832,0.21662811934947968,0.35045257210731506,0.369599312543869,0.29024219512939453,0.348143994808197,0.35124439001083374,0.5854880809783936,0.16222921013832092,0.35124439001083374,0.35045257210731506,0.4144178032875061
yes,0.17053739726543427,0.13869157433509827,0.0750199556350708,0.31176358461380005,0.16542133688926697,0.12443104386329651,0.18657921254634857,0.09911797195672989,0.35806095600128174,0.16456598043441772,0.09911797195672989,0.31176358461380005,0.3918913006782532
or,0.4174870550632477,0.21388524770736694,0.1727035939693451,0.29821720719337463,0.41870999336242676,0.3096676766872406,0.5192843675613403,0.3792596757411957,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.29821720719337463,0.32389625906944275
no,0.3461136817932129,0.16788852214813232,0.14517845213413239,0.34181922674179077,0.19581134617328644,0.19335412979125977,0.22094443440437317,0.24809792637825012,0.339326947927475,0.20265884697437286,0.24809792637825012,0.34181922674179077,0.32165053486824036
.,0.5934505462646484,0.2175574004650116,0.21122685074806213,0.22562150657176971,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.22562150657176971,0.4130953550338745
