,who,gave,her,royal,assent,to,the,scotland,act,of,1998,?
queen,0.20093972980976105,0.2362322062253952,0.37821269035339355,0.42461732029914856,0.31831490993499756,0.23068656027317047,0.24681736528873444,0.2221444547176361,0.16376806795597076,0.27787157893180847,0.0031791478395462036,0.17460165917873383
elizabeth,0.2303544580936432,0.24401243031024933,0.40035930275917053,0.28430578112602234,0.29134371876716614,0.2338171899318695,0.19892844557762146,0.2657673954963684,0.26223137974739075,0.20585080981254578,0.021538883447647095,0.157150536775589
ii,0.20800143480300903,0.13972358405590057,0.1507796347141266,0.23979464173316956,0.20772996544837952,0.20368696749210358,0.2631464898586273,0.23397284746170044,0.15284883975982666,0.2844806909561157,0.07123535871505737,0.11928234249353409
on,0.2340552806854248,0.2442021518945694,0.2974918782711029,0.17692488431930542,0.25295552611351013,0.41031414270401,0.5107308030128479,0.20660968124866486,0.17222115397453308,0.3966929316520691,-0.03349076956510544,0.2714994251728058
19,-0.12102775275707245,-0.08005095273256302,-0.06066351756453514,-0.08835672587156296,-0.15935029089450836,-0.09078327566385269,-0.17766842246055603,-0.2449844777584076,-0.012787774205207825,-0.18954584002494812,0.06516459584236145,0.008002291433513165
november,0.2615586519241333,0.188297301530838,0.2351229339838028,0.13680219650268555,0.28257715702056885,0.2179545760154724,0.25734350085258484,0.16580155491828918,0.08718066662549973,0.19941139221191406,0.15959863364696503,0.3159552216529846
1998,0.10716468840837479,0.00010620606917655095,0.0076216054148972034,0.02175510860979557,0.10619506239891052,0.025574080646038055,-0.047468025237321854,-0.09642009437084198,0.016155632212758064,-0.06454750150442123,0.9999999403953552,0.11714459210634232
",",0.3365725874900818,0.2448001652956009,0.3269027769565582,0.24590183794498444,0.27318140864372253,0.44245919585227966,0.4933079481124878,0.21124857664108276,0.1787904053926468,0.4946078956127167,0.02818203717470169,0.31091248989105225
governs,0.24042090773582458,0.1753457486629486,0.1393452286720276,0.20276890695095062,0.39511802792549133,0.22205349802970886,0.3000285029411316,0.1959463357925415,0.2811460793018341,0.337303102016449,0.11797087639570236,0.1786348670721054
the,0.3733934462070465,0.32555076479911804,0.354963481426239,0.2997032403945923,0.2975829243659973,0.535392165184021,1.0,0.23846951127052307,0.28682878613471985,0.733189046382904,-0.047468025237321854,0.22068053483963013
functions,0.126784086227417,0.1132141500711441,0.1406724452972412,0.1514102816581726,0.1663866639137268,0.24301983416080475,0.2567043900489807,0.14900441467761993,0.3246046304702759,0.2328059822320938,-0.07210134714841843,0.13745930790901184
and,0.41279885172843933,0.2681863307952881,0.40386050939559937,0.24934640526771545,0.30180516839027405,0.48971283435821533,0.5171257257461548,0.2930583655834198,0.2776535749435425,0.5116966962814331,-0.08035068213939667,0.20544172823429108
role,0.2767873704433441,0.15968653559684753,0.26773545145988464,0.12986662983894348,0.22393162548542023,0.17841029167175293,0.26607486605644226,0.07908401638269424,0.25746655464172363,0.1797693818807602,0.0025167211424559355,0.18676944077014923
of,0.2827862501144409,0.3650403320789337,0.27399197220802307,0.3112924098968506,0.33070728182792664,0.41548454761505127,0.733189046382904,0.2208399921655655,0.2802577316761017,1.0,-0.06454750150442123,0.1826142966747284
the,0.3733934462070465,0.32555076479911804,0.354963481426239,0.2997032403945923,0.2975829243659973,0.535392165184021,1.0,0.23846951127052307,0.28682878613471985,0.733189046382904,-0.047468025237321854,0.22068053483963013
scottish,0.27621203660964966,0.08507928997278214,0.15520668029785156,0.1868695467710495,0.21403762698173523,0.1268421709537506,0.21724988520145416,0.667405903339386,0.1456814855337143,0.1698460429906845,-0.045898519456386566,0.06442669779062271
parliament,0.237068772315979,0.16335906088352203,0.18323034048080444,0.27501314878463745,0.48121771216392517,0.20290622115135193,0.26521381735801697,0.33239492774009705,0.33536985516548157,0.2885259687900543,0.2069738209247589,0.1586504578590393
and,0.41279885172843933,0.2681863307952881,0.40386050939559937,0.24934640526771545,0.30180516839027405,0.48971283435821533,0.5171257257461548,0.2930583655834198,0.2776535749435425,0.5116966962814331,-0.08035068213939667,0.20544172823429108
delimits,0.1140662282705307,0.13180139660835266,0.11023447662591934,0.1508621871471405,0.26704975962638855,0.2792837619781494,0.35008275508880615,0.17635942995548248,0.22874292731285095,0.3078193962574005,-0.2074330747127533,0.22051700949668884
its,0.1326070874929428,0.2715085744857788,0.31321194767951965,0.1699800044298172,0.20933403074741364,0.3691340684890747,0.559237003326416,0.17588192224502563,0.21298791468143463,0.48690423369407654,-0.10233842581510544,0.15103481709957123
legislative,0.17747299373149872,0.16506598889827728,0.1468866765499115,0.2803269624710083,0.49282291531562805,0.2195226103067398,0.27501925826072693,0.18270938098430634,0.3327866494655609,0.34083476662635803,0.09719435125589371,0.1654243916273117
competence,0.3365803360939026,0.1696486473083496,0.20037515461444855,0.10649318248033524,0.3554888069629669,0.33958306908607483,0.26006200909614563,0.15357272326946259,0.2878987789154053,0.2747616171836853,0.1308622807264328,0.2752470076084137
.,0.3541337847709656,0.29957500100135803,0.2803959548473358,0.19540183246135712,0.22040970623493195,0.4645031690597534,0.5934505462646484,0.23843355476856232,0.2025400698184967,0.5352458953857422,-0.004213885869830847,0.4130953550338745
