,along,with,stephenson,and,walschaerts,",",what,is,an,example,of,a,simple,motion,?
and,0.4213258922100067,0.5477725267410278,0.26722559332847595,1.0,0.3624262511730194,0.6633074283599854,0.31309178471565247,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.3739250600337982,0.26203423738479614,0.2186078429222107,0.20544172823429108
makes,0.22448304295539856,0.33933931589126587,0.12893161177635193,0.34688496589660645,0.18111930787563324,0.2926395535469055,0.2867553234100342,0.4565773010253906,0.158767431974411,0.33623018860816956,0.2927091419696808,0.3509295880794525,0.26442062854766846,0.2013864815235138,0.22145044803619385
possible,0.16032437980175018,0.2800780236721039,0.10412540286779404,0.29339438676834106,0.1954662799835205,0.3032452464103699,0.3281886577606201,0.2872174084186554,0.25436753034591675,0.42349228262901306,0.3314395844936371,0.3421713411808014,0.4818037748336792,0.1986893266439438,0.3059970438480377
the,0.39495137333869934,0.4223487675189972,0.23680150508880615,0.5171257257461548,0.4072091579437256,0.4933079481124878,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.24738673865795135,0.30530840158462524,0.22068053483963013
use,0.16399286687374115,0.3356984257698059,0.14951111376285553,0.34145063161849976,0.24741652607917786,0.3276674151420593,0.3453877568244934,0.3357410430908203,0.24603988230228424,0.5154585838317871,0.2750902473926544,0.30793872475624084,0.4560300409793854,0.20603351294994354,0.32795652747154236
of,0.34889817237854004,0.41827285289764404,0.22236521542072296,0.5116966962814331,0.3776928186416626,0.4946078956127167,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.5052502155303955,0.23205730319023132,0.24864931404590607,0.1826142966747284
the,0.39495137333869934,0.4223487675189972,0.23680150508880615,0.5171257257461548,0.4072091579437256,0.4933079481124878,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.24738673865795135,0.30530840158462524,0.22068053483963013
simpler,0.09300278127193451,0.23331303894519806,0.16346126794815063,0.2636836767196655,0.23841680586338043,0.28268659114837646,0.4114208221435547,0.28370699286460876,0.24857792258262634,0.39490509033203125,0.1983828842639923,0.295714795589447,0.7254575490951538,0.2327599674463272,0.3855971693992615
stephenson,0.19704866409301758,0.1881181001663208,0.9999998807907104,0.26722559332847595,0.37465062737464905,0.32128265500068665,0.23027537763118744,0.2564881443977356,0.2169247418642044,0.18006116151809692,0.22236521542072296,0.27750062942504883,0.1841965615749359,0.21048858761787415,0.14790663123130798
",",0.29824912548065186,0.4120737314224243,0.32128265500068665,0.6633074283599854,0.38904109597206116,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.427140474319458,0.2595684230327606,0.18457698822021484,0.31091248989105225
joy,0.11715023964643478,0.1764390766620636,0.1967611461877823,0.2176354080438614,0.2914656698703766,0.22627927362918854,0.1513069123029709,0.12598775327205658,0.17634914815425873,0.14801031351089478,0.16077376902103424,0.19107560813426971,0.16723862290382385,0.09998415410518646,0.07834404706954956
and,0.4213258922100067,0.5477725267410278,0.26722559332847595,1.0,0.3624262511730194,0.6633074283599854,0.31309178471565247,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.3739250600337982,0.26203423738479614,0.2186078429222107,0.20544172823429108
walschaerts,0.22425228357315063,0.25138047337532043,0.37465062737464905,0.3624262511730194,1.0,0.38904109597206116,0.24723869562149048,0.30559206008911133,0.23034769296646118,0.2330438196659088,0.3776928186416626,0.3869386315345764,0.24301455914974213,0.2288866639137268,0.24788807332515717
motions,0.23803965747356415,0.2018052488565445,0.19713157415390015,0.2688892185688019,0.25149619579315186,0.196624755859375,0.2951068878173828,0.17834854125976562,0.12359663099050522,0.2738090753555298,0.2702312767505646,0.20871812105178833,0.2674140930175781,0.8241586089134216,0.19395221769809723
.,0.27491724491119385,0.4446153938770294,0.2973974645137787,0.588965117931366,0.4286588132381439,0.6812511086463928,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.50484299659729,0.29104891419410706,0.20181286334991455,0.4130953550338745
