,who,is,the,quarterback,for,the,carolina,panthers,?
throwing,0.272938996553421,0.18297499418258667,0.2748998701572418,0.33489251136779785,0.29772108793258667,0.2748998701572418,0.16298168897628784,0.2393006831407547,0.15241092443466187
for,0.37110671401023865,0.43268078565597534,0.4739971458911896,0.2683273255825043,0.9999999403953552,0.4739971458911896,0.17749637365341187,0.25358447432518005,0.264628142118454
"3,837",-0.020203402265906334,0.15312577784061432,0.14094862341880798,-0.08217783272266388,0.005208166781812906,0.14094862341880798,-0.011359533295035362,-0.04635455459356308,-0.03566814586520195
yards,0.13584628701210022,0.08262171596288681,0.16070343554019928,0.5115955471992493,0.21746347844600677,0.16070343554019928,0.25781071186065674,0.33815330266952515,0.12453813850879669
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.202833354473114,0.5064792633056641,0.5171257257461548,0.22423055768013,0.2230100929737091,0.20544172823429108
rushing,0.21743732690811157,0.13805745542049408,0.2992783486843109,0.45872193574905396,0.31589773297309875,0.2992783486843109,0.21784639358520508,0.27973368763923645,0.14363552629947662
for,0.37110671401023865,0.43268078565597534,0.4739971458911896,0.2683273255825043,0.9999999403953552,0.4739971458911896,0.17749637365341187,0.25358447432518005,0.264628142118454
636,0.027144290506839752,0.16576312482357025,0.0817032977938652,0.1376136839389801,0.13158677518367767,0.0817032977938652,0.2958371043205261,0.11323808878660202,-0.036500390619039536
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.2844501733779907,0.4464869201183319,0.4933079481124878,0.2566046118736267,0.2494642585515976,0.31091248989105225
while,0.4068111777305603,0.2713196575641632,0.39804592728614807,0.22108832001686096,0.4232339859008789,0.39804592728614807,0.1686878800392151,0.19775532186031342,0.21076419949531555
recording,0.1975584477186203,0.2168344259262085,0.2685704827308655,0.25268641114234924,0.28583967685699463,0.2685704827308655,0.2195904701948166,0.25062376260757446,0.18037092685699463
a,0.36608949303627014,0.658733606338501,0.5829201340675354,0.20472733676433563,0.44038116931915283,0.5829201340675354,0.1979188621044159,0.2255268394947052,0.23916715383529663
career-high,0.2597607672214508,0.17044192552566528,0.26239198446273804,0.35963690280914307,0.3471291661262512,0.26239198446273804,0.32615312933921814,0.3576117753982544,0.18277767300605774
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.202833354473114,0.5064792633056641,0.5171257257461548,0.22423055768013,0.2230100929737091,0.20544172823429108
league-leading,0.31412118673324585,0.24579744040966034,0.41902515292167664,0.45954883098602295,0.41309621930122375,0.41902515292167664,0.306813508272171,0.46422985196113586,0.2778867185115814
45,0.04447520524263382,0.050226982682943344,-0.020405476912856102,-0.028894098475575447,0.05910564959049225,-0.020405476912856102,0.012751797214150429,0.02419072575867176,-0.01282194908708334
total,0.16190829873085022,0.18159881234169006,0.27068960666656494,0.14724460244178772,0.18924455344676971,0.27068960666656494,0.14527776837348938,0.2133951485157013,0.14396025240421295
touchdowns,0.18127667903900146,0.15060579776763916,0.20508192479610443,0.6703263521194458,0.2948407232761383,0.20508192479610443,0.31390923261642456,0.4128744304180145,0.1509619653224945
(,0.2443375140428543,0.35393038392066956,0.33289089798927307,0.2489609718322754,0.3357032239437103,0.33289089798927307,0.18443597853183746,0.24568988382816315,0.40561532974243164
35,-0.08286626636981964,-0.033989109098911285,-0.04927394539117813,0.0035717617720365524,-0.028315884992480278,-0.04927394539117813,-0.10856815427541733,-0.05851614475250244,-0.044106997549533844
passing,0.14387445151805878,0.20053766667842865,0.3088957965373993,0.28759142756462097,0.2578018009662628,0.3088957965373993,0.22515319287776947,0.23609410226345062,0.10353918373584747
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.2844501733779907,0.4464869201183319,0.4933079481124878,0.2566046118736267,0.2494642585515976,0.31091248989105225
10,0.2045697718858719,0.1865890771150589,0.2880653440952301,-0.04836321622133255,0.07862305641174316,0.2880653440952301,0.17266322672367096,0.09121593832969666,0.022911956533789635
rushing,0.21743732690811157,0.13805745542049408,0.2992783486843109,0.45872193574905396,0.31589773297309875,0.2992783486843109,0.21784639358520508,0.27973368763923645,0.14363552629947662
),0.2457384318113327,0.37732169032096863,0.3456730246543884,0.2467087209224701,0.3639558255672455,0.3456730246543884,0.184937983751297,0.24380707740783691,0.42300865054130554
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.2844501733779907,0.4464869201183319,0.4933079481124878,0.2566046118736267,0.2494642585515976,0.31091248989105225
a,0.36608949303627014,0.658733606338501,0.5829201340675354,0.20472733676433563,0.44038116931915283,0.5829201340675354,0.1979188621044159,0.2255268394947052,0.23916715383529663
career-low,0.2547554075717926,0.1352536380290985,0.21368016302585602,0.3254813551902771,0.32845163345336914,0.21368016302585602,0.27573704719543457,0.3471871316432953,0.15329208970069885
10,0.2045697718858719,0.1865890771150589,0.2880653440952301,-0.04836321622133255,0.07862305641174316,0.2880653440952301,0.17266322672367096,0.09121593832969666,0.022911956533789635
interceptions,0.1534418761730194,0.11484040319919586,0.22331646084785461,0.571014940738678,0.30427032709121704,0.22331646084785461,0.22548209130764008,0.3591367304325104,0.10945115238428116
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.2844501733779907,0.4464869201183319,0.4933079481124878,0.2566046118736267,0.2494642585515976,0.31091248989105225
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.202833354473114,0.5064792633056641,0.5171257257461548,0.22423055768013,0.2230100929737091,0.20544172823429108
a,0.36608949303627014,0.658733606338501,0.5829201340675354,0.20472733676433563,0.44038116931915283,0.5829201340675354,0.1979188621044159,0.2255268394947052,0.23916715383529663
career-best,0.27097374200820923,0.21616901457309723,0.29364049434661865,0.3017479181289673,0.3935834467411041,0.29364049434661865,0.24647586047649384,0.33363690972328186,0.2002197951078415
quarterback,0.17410103976726532,0.19901543855667114,0.23757418990135193,1.0000001192092896,0.2683273255825043,0.23757418990135193,0.29357412457466125,0.46138665080070496,0.13221268355846405
rating,0.15309970080852509,0.16900229454040527,0.24654440581798553,0.3159805238246918,0.26534613966941833,0.24654440581798553,0.16177664697170258,0.24885369837284088,0.18754872679710388
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.19996441900730133,0.4185989499092102,0.733189046382904,0.26946863532066345,0.23357392847537994,0.1826142966747284
99.4,0.115544892847538,0.06552278995513916,0.07925555855035782,-0.0018291518790647388,0.09110534936189651,0.07925555855035782,0.04919613525271416,0.10904275625944138,0.1159149557352066
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.23691914975643158,0.4726039469242096,0.5934505462646484,0.2702518403530121,0.23446570336818695,0.4130953550338745
