,what,reference,is,there,to,huguenot,lacemakers,in,the,19th,century,?
of,0.33290785551071167,0.21538788080215454,0.4854315221309662,0.44397735595703125,0.41548454761505127,0.29061198234558105,0.1847367137670517,0.5696388483047485,0.733189046382904,0.16605104506015778,0.2826060354709625,0.1826142966747284
twenty-five,0.14528977870941162,0.11545611917972565,0.2748359739780426,0.28845369815826416,0.24583886563777924,0.2650585174560547,0.17509837448596954,0.3785085678100586,0.40300777554512024,0.20556990802288055,0.39340680837631226,0.15142904222011566
widows,0.21629023551940918,0.10705912113189697,0.1548597663640976,0.23725861310958862,0.31001606583595276,0.3094443082809448,0.33925706148147583,0.1985304355621338,0.2174026519060135,0.08464903384447098,0.1152578741312027,0.2421915978193283
who,0.40942975878715515,0.14381146430969238,0.24293622374534607,0.2844357192516327,0.42656609416007996,0.32233482599258423,0.3157564699649811,0.2792111933231354,0.3733934462070465,0.165800079703331,0.2990973889827728,0.26220351457595825
settled,0.23502321541309357,0.0386020764708519,0.1917823702096939,0.3111475706100464,0.28114861249923706,0.28613531589508057,0.11901326477527618,0.30584418773651123,0.29293251037597656,0.0311818178743124,0.34152793884277344,0.09694210439920425
in,0.30808621644973755,0.22640638053417206,0.5394441485404968,0.5361666083335876,0.45010748505592346,0.26198551058769226,0.19828495383262634,1.0,0.6662389636039734,0.15408828854560852,0.3174034655094147,0.20430970191955566
dover,0.14204442501068115,0.13670729100704193,0.23179054260253906,0.2044031172990799,0.20919176936149597,0.2838210463523865,0.19344858825206757,0.2581765949726105,0.2578204274177551,0.19138143956661224,0.18005312979221344,0.18932949006557465
",",0.3087472915649414,0.24524281919002533,0.4691906273365021,0.4587128460407257,0.44245919585227966,0.24752236902713776,0.30028584599494934,0.5201468467712402,0.4933079481124878,0.16815264523029327,0.24487493932247162,0.31091248989105225
and,0.31309178471565247,0.21395881474018097,0.3859752118587494,0.4242868423461914,0.48971283435821533,0.2762077748775482,0.2569998502731323,0.4954058527946472,0.5171257257461548,0.2922728657722473,0.2726690471172333,0.20544172823429108
there,0.35085538029670715,0.26263347268104553,0.3904260993003845,1.0,0.40669289231300354,0.18001434206962585,0.24468687176704407,0.5361666083335876,0.47025805711746216,0.06820043176412582,0.24635811150074005,0.29405656456947327
is,0.28837618231773376,0.2599010765552521,1.0,0.3904260993003845,0.42745086550712585,0.12706810235977173,0.209947407245636,0.5394441485404968,0.5823672413825989,0.21349595487117767,0.20648397505283356,0.22961433231830597
no,0.339326947927475,0.24264000356197357,0.19581134617328644,0.40644893050193787,0.30015695095062256,0.07207159698009491,0.21367448568344116,0.24372287094593048,0.3461136817932129,0.07839596271514893,0.12406378984451294,0.32165053486824036
contemporary,0.20300830900669098,0.20932602882385254,0.19688987731933594,0.18860618770122528,0.19410967826843262,0.23106373846530914,0.21435870230197906,0.25818222761154175,0.25350451469421387,0.06408915668725967,0.28250202536582947,0.09539991617202759
documentation,0.30176201462745667,0.4056866765022278,0.2205463945865631,0.24116277694702148,0.31210508942604065,0.20068354904651642,0.1852489858865738,0.21024101972579956,0.28830665349960327,0.06905901432037354,0.18296827375888824,0.29340842366218567
to,0.455847829580307,0.25784367322921753,0.42745086550712585,0.40669289231300354,1.0,0.24496324360370636,0.2975258231163025,0.45010748505592346,0.535392165184021,0.18742936849594116,0.20143604278564453,0.29463258385658264
support,0.2797985076904297,0.26265600323677063,0.17214131355285645,0.2715086340904236,0.2742273211479187,0.25917914509773254,0.19293314218521118,0.17618270218372345,0.22984638810157776,0.07944556325674057,0.07991687208414078,0.22626608610153198
there,0.35085538029670715,0.26263347268104553,0.3904260993003845,1.0,0.40669289231300354,0.18001434206962585,0.24468687176704407,0.5361666083335876,0.47025805711746216,0.06820043176412582,0.24635811150074005,0.29405656456947327
being,0.3760843276977539,0.28053519129753113,0.4445112943649292,0.29726627469062805,0.4514104127883911,0.1651739478111267,0.25195109844207764,0.33162933588027954,0.419739305973053,0.22203131020069122,0.23126116394996643,0.26743772625923157
huguenot,0.1912020891904831,0.07964888960123062,0.12706810235977173,0.18001434206962585,0.24496324360370636,1.0000001192092896,0.2102680802345276,0.26198551058769226,0.29557526111602783,0.07291065156459808,0.30558452010154724,0.1359742432832718
lacemakers,0.2678513824939728,0.1657456010580063,0.209947407245636,0.24468687176704407,0.2975258231163025,0.2102680802345276,1.0,0.19828495383262634,0.271917462348938,0.13701680302619934,0.16726520657539368,0.22065520286560059
in,0.30808621644973755,0.22640638053417206,0.5394441485404968,0.5361666083335876,0.45010748505592346,0.26198551058769226,0.19828495383262634,1.0,0.6662389636039734,0.15408828854560852,0.3174034655094147,0.20430970191955566
bedfordshire,0.18910720944404602,0.10139806568622589,0.18053612112998962,0.27457910776138306,0.19808818399906158,0.2592284381389618,0.20157307386398315,0.24359485507011414,0.210465669631958,0.15818525850772858,0.23657041788101196,0.1395944505929947
.,0.3567904531955719,0.2742740213871002,0.4569662809371948,0.43897318840026855,0.4645031690597534,0.2060975730419159,0.26055997610092163,0.5591574311256409,0.5934505462646484,0.18941882252693176,0.27413639426231384,0.4130953550338745
