,who,was,the,star,of,the,sarah,jane,adventures,?
investigative,0.23414556682109833,0.2809332013130188,0.25286611914634705,0.19188597798347473,0.2284659892320633,0.25286611914634705,0.21546570956707,0.21900181472301483,0.22940795123577118,0.12169446796178818
journalist,0.2652316093444824,0.2929614186286926,0.1387142688035965,0.13483034074306488,0.10838672518730164,0.1387142688035965,0.32730019092559814,0.2574690282344818,0.1897743046283722,0.09252665191888809
sarah,0.24870508909225464,0.18989098072052002,0.22388771176338196,0.10641001909971237,0.12605753540992737,0.22388771176338196,1.0,0.4815041124820709,0.20791174471378326,0.11216213554143906
jane,0.21626175940036774,0.20446321368217468,0.18294748663902283,0.13033351302146912,0.12316256016492844,0.18294748663902283,0.4815041124820709,1.0,0.2744247615337372,0.14947275817394257
smith,0.3096564710140228,0.23871435225009918,0.24611686170101166,0.14200545847415924,0.1941387802362442,0.24611686170101166,0.30190718173980713,0.351829469203949,0.28642526268959045,0.21930724382400513
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2074643075466156,0.4946078956127167,0.4933079481124878,0.25581565499305725,0.26553842425346375,0.17147807776927948,0.31091248989105225
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.22616681456565857,0.4069072902202606,0.48711544275283813,0.18989098072052002,0.20446321368217468,0.11922162026166916,0.18412111699581146
developed,0.1288115680217743,0.3253139555454254,0.24490751326084137,0.1361313760280609,0.21960023045539856,0.24490751326084137,0.051749955862760544,0.04293357580900192,0.18198849260807037,0.10763012617826462
by,0.39727845788002014,0.4752357602119446,0.4408751428127289,0.15819701552391052,0.3646814823150635,0.4408751428127289,0.1223464086651802,0.16556662321090698,0.14275753498077393,0.17966607213020325
cbbc,0.2530202865600586,0.15942499041557312,0.23866426944732666,0.18905045092105865,0.13176506757736206,0.23866426944732666,0.29293209314346313,0.2872343361377716,0.32345300912857056,0.24381130933761597
;,0.007937713526189327,0.0754367932677269,0.09152708947658539,0.144073486328125,0.054534342139959335,0.09152708947658539,-0.060946378856897354,0.0500207394361496,0.0530942901968956,0.10349778085947037
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.23992229998111725,0.5052502155303955,0.5829201340675354,0.16850237548351288,0.2211165726184845,0.15743407607078552,0.23916715383529663
special,0.21519862115383148,0.1585642695426941,0.3027077615261078,0.22748656570911407,0.27998968958854675,0.3027077615261078,0.09095727652311325,0.08043648302555084,0.17562952637672424,0.29623302817344666
aired,0.15698964893817902,0.27861282229423523,0.2525516450405121,0.23312313854694366,0.15519371628761292,0.2525516450405121,0.25332167744636536,0.226942241191864,0.3168618679046631,0.22283338010311127
on,0.2340552806854248,0.3909217119216919,0.5107308030128479,0.20883306860923767,0.3966929316520691,0.5107308030128479,0.1480952799320221,0.18448223173618317,0.17910991609096527,0.2714994251728058
new,0.2378052920103073,0.2748313844203949,0.3845241069793701,0.1559295952320099,0.343457967042923,0.3845241069793701,0.1717938482761383,0.2130597084760666,0.14671127498149872,0.14782847464084625
year,0.2851492762565613,0.3209837079048157,0.3609684407711029,0.24331393837928772,0.2578314542770386,0.3609684407711029,0.10964716225862503,0.08645780384540558,0.20484232902526855,0.18315006792545319
's,0.05599616840481758,0.008974763564765453,-0.01540423184633255,-0.12932947278022766,-0.03817026689648628,-0.01540423184633255,-0.005017406307160854,-0.030691923573613167,-0.02186211384832859,-0.023395681753754616
day,0.2447325587272644,0.24314451217651367,0.3062323033809662,0.12551823258399963,0.2934032380580902,0.3062323033809662,0.2068660706281662,0.15699544548988342,0.16635383665561676,0.2141837179660797
2007,-0.29352980852127075,-0.29168957471847534,-0.23657195270061493,-0.08871743828058243,-0.21244128048419952,-0.23657195270061493,-0.11700041592121124,-0.09647789597511292,-0.06854905188083649,-0.1664225310087204
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.19966064393520355,0.5116966962814331,0.5171257257461548,0.20994961261749268,0.2783741056919098,0.2526722550392151,0.20544172823429108
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.23992229998111725,0.5052502155303955,0.5829201340675354,0.16850237548351288,0.2211165726184845,0.15743407607078552,0.23916715383529663
full,0.18801523745059967,0.1574539840221405,0.2988807260990143,0.09959311783313751,0.3238043189048767,0.2988807260990143,0.14565354585647583,0.09431374818086624,0.1611046940088272,0.168479785323143
series,0.21484537422657013,0.2261398285627365,0.31376904249191284,0.2072688341140747,0.22268271446228027,0.31376904249191284,0.19363674521446228,0.19996456801891327,0.41444268822669983,0.1709602326154709
began,0.1646115779876709,0.4683617055416107,0.3059147596359253,0.16536077857017517,0.2330763041973114,0.3059147596359253,0.20286054909229279,0.15140259265899658,0.11583991348743439,0.1370266228914261
on,0.2340552806854248,0.3909217119216919,0.5107308030128479,0.20883306860923767,0.3966929316520691,0.5107308030128479,0.1480952799320221,0.18448223173618317,0.17910991609096527,0.2714994251728058
24,-0.03541684150695801,-0.06428006291389465,0.009148004464805126,-0.09272504597902298,-0.02356693148612976,0.009148004464805126,0.051016390323638916,0.079849012196064,-0.002070066751912236,0.016154835000634193
september,0.21365830302238464,0.4425655007362366,0.2516939043998718,0.14506031572818756,0.16787530481815338,0.2516939043998718,0.2115740180015564,0.21232378482818604,0.17680107057094574,0.2665146589279175
2007,-0.29352980852127075,-0.29168957471847534,-0.23657195270061493,-0.08871743828058243,-0.21244128048419952,-0.23657195270061493,-0.11700041592121124,-0.09647789597511292,-0.06854905188083649,-0.1664225310087204
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.23205778002738953,0.5352458953857422,0.5934505462646484,0.15654590725898743,0.25375157594680786,0.18703678250312805,0.4130953550338745
