,to,what,gauge,have,some,lines,been,changed,in,the,west,of,victoria,?
a,0.45503583550453186,0.3320399522781372,0.20752573013305664,0.338716596364975,0.34539633989334106,0.23604188859462738,0.3315402865409851,0.2289808690547943,0.539380669593811,0.5829201340675354,0.2258862406015396,0.5052502155303955,0.15216270089149475,0.23916715383529663
number,0.2706126868724823,0.23046229779720306,0.20902074873447418,0.3633861541748047,0.3415636718273163,0.20040130615234375,0.28169363737106323,0.10852818936109543,0.3024539053440094,0.35145696997642517,0.13558785617351532,0.2778518795967102,0.16931062936782837,0.19256845116615295
of,0.41548454761505127,0.33290785551071167,0.17487795650959015,0.3802283704280853,0.4300730526447296,0.1948472559452057,0.31685134768486023,0.3099449872970581,0.5696388483047485,0.733189046382904,0.2891985774040222,1.0,0.2505437433719635,0.1826142966747284
branch,0.15628041326999664,0.1792319416999817,0.2143641859292984,0.13942162692546844,0.1853441745042801,0.2792336046695709,0.1405237764120102,0.10366244614124298,0.21656033396720886,0.2630956768989563,0.2417018562555313,0.23972897231578827,0.15911626815795898,0.10474635660648346
lines,0.26990512013435364,0.21269705891609192,0.29248976707458496,0.2242496907711029,0.22335445880889893,1.0,0.19525256752967834,0.12370361387729645,0.22601547837257385,0.28391990065574646,0.1575886309146881,0.1948472559452057,0.20516519248485565,0.18324026465415955
in,0.45010748505592346,0.30808621644973755,0.18491436541080475,0.36843645572662354,0.4010399878025055,0.22601547837257385,0.3515113592147827,0.292167991399765,1.0,0.6662389636039734,0.34078434109687805,0.5696388483047485,0.20823122560977936,0.20430970191955566
the,0.535392165184021,0.42745697498321533,0.20929455757141113,0.40389683842658997,0.4566698372364044,0.28391990065574646,0.3563927710056305,0.351829469203949,0.6662389636039734,1.0,0.32918402552604675,0.733189046382904,0.2204313427209854,0.22068053483963013
west,0.24611181020736694,0.1946573108434677,0.216089129447937,0.14226439595222473,0.19444268941879272,0.1575886309146881,0.16488245129585266,0.16370324790477753,0.34078434109687805,0.32918402552604675,1.0,0.2891985774040222,0.295968621969223,0.12088293582201004
of,0.41548454761505127,0.33290785551071167,0.17487795650959015,0.3802283704280853,0.4300730526447296,0.1948472559452057,0.31685134768486023,0.3099449872970581,0.5696388483047485,0.733189046382904,0.2891985774040222,1.0,0.2505437433719635,0.1826142966747284
the,0.535392165184021,0.42745697498321533,0.20929455757141113,0.40389683842658997,0.4566698372364044,0.28391990065574646,0.3563927710056305,0.351829469203949,0.6662389636039734,1.0,0.32918402552604675,0.733189046382904,0.2204313427209854,0.22068053483963013
state,0.25557461380958557,0.24273863434791565,0.1724565178155899,0.2083192616701126,0.23220913112163544,0.12812601029872894,0.18701127171516418,0.2135685235261917,0.33316072821617126,0.3097178041934967,0.23057743906974792,0.34253445267677307,0.23197819292545319,0.1160883978009224
have,0.4544740617275238,0.39808809757232666,0.22005519270896912,0.9999999403953552,0.6421269774436951,0.2242496907711029,0.6493861675262451,0.34513944387435913,0.36843645572662354,0.40389683842658997,0.14226439595222473,0.3802283704280853,0.16480252146720886,0.32991164922714233
been,0.34945759177207947,0.2567804455757141,0.1529499888420105,0.6493861675262451,0.42383694648742676,0.19525256752967834,0.9999998807907104,0.3322034776210785,0.3515113592147827,0.3563927710056305,0.16488245129585266,0.31685134768486023,0.1549891233444214,0.24354910850524902
converted,0.2962644398212433,0.1663769781589508,0.16904625296592712,0.1817953884601593,0.23948198556900024,0.12937307357788086,0.20823241770267487,0.29627615213394165,0.22429603338241577,0.2538719177246094,0.12800730764865875,0.27010029554367065,0.019179662689566612,0.12743066251277924
to,1.0,0.455847829580307,0.2121875286102295,0.4544740617275238,0.4636894166469574,0.26990512013435364,0.34945759177207947,0.2968057096004486,0.45010748505592346,0.535392165184021,0.24611181020736694,0.41548454761505127,0.18328198790550232,0.29463258385658264
"1,435",0.1596616804599762,0.15144990384578705,0.03861842676997185,0.15225431323051453,0.1499512493610382,0.03087378293275833,0.2418908029794693,0.14255079627037048,0.18296746909618378,0.10922922194004059,-0.004435412120074034,0.1043103039264679,0.029886754229664803,0.14353859424591064
mm,0.10979681462049484,0.16184760630130768,0.40584900975227356,0.18975186347961426,0.21448537707328796,0.12862876057624817,0.13111475110054016,0.0637437179684639,0.14156535267829895,0.20466946065425873,0.14206625521183014,0.16425222158432007,0.13950246572494507,0.16094553470611572
(,0.30882009863853455,0.2411840260028839,0.18529380857944489,0.23072676360607147,0.2279975414276123,0.1778993010520935,0.1755061000585556,0.2465810626745224,0.3087427020072937,0.33289089798927307,0.17718875408172607,0.35032153129577637,0.14948904514312744,0.40561532974243164
4,0.059323787689208984,-0.04324747622013092,0.010121038183569908,-0.049480583518743515,-0.09016409516334534,0.14121003448963165,0.04500274360179901,0.1031549945473671,0.08310048282146454,0.15499350428581238,0.16074615716934204,0.17227263748645782,0.2629026770591736,0.010515431873500347
ft,0.12773017585277557,0.20828482508659363,0.33526700735092163,0.18515881896018982,0.11183640360832214,0.09154970198869705,0.12732887268066406,0.10855682939291,0.1763954907655716,0.16553674638271332,0.2519018352031708,0.14259693026542664,0.11696885526180267,0.17776548862457275
8,-0.013905820436775684,-0.005443718284368515,0.04941152036190033,-0.0664358139038086,-0.01105755940079689,-0.04935060068964958,-0.08999494463205338,0.022996563464403152,-0.05886392667889595,0.0063715726137161255,0.05477588251233101,0.03280399739742279,0.09681239724159241,-0.04056251794099808
1⁄2,0.1215355396270752,0.03142831102013588,0.05512994900345802,0.0781935304403305,0.1116853654384613,-0.09140250831842422,0.059554021805524826,0.10236993432044983,0.11637135595083237,0.10899472236633301,0.065797820687294,0.12008804082870483,0.009987102821469307,-0.02775835618376732
in,0.45010748505592346,0.30808621644973755,0.18491436541080475,0.36843645572662354,0.4010399878025055,0.22601547837257385,0.3515113592147827,0.292167991399765,1.0,0.6662389636039734,0.34078434109687805,0.5696388483047485,0.20823122560977936,0.20430970191955566
),0.31236231327056885,0.26259949803352356,0.18045969307422638,0.22866283357143402,0.2398642599582672,0.20047107338905334,0.1854540854692459,0.24951788783073425,0.3326910734176636,0.3456730246543884,0.17997638881206512,0.3680361211299896,0.17964273691177368,0.42300865054130554
standard,0.1969985067844391,0.22809998691082,0.43009117245674133,0.24345603585243225,0.2818346619606018,0.23967310786247253,0.18261241912841797,0.23134219646453857,0.24721406400203705,0.29008856415748596,0.13703525066375732,0.2296806275844574,0.1639002561569214,0.17029257118701935
gauge,0.2121875286102295,0.27817800641059875,0.9999999403953552,0.22005519270896912,0.20720621943473816,0.29248976707458496,0.1529499888420105,0.1172439306974411,0.18491436541080475,0.20929455757141113,0.216089129447937,0.17487795650959015,0.2173525094985962,0.2129381000995636
.,0.4645031690597534,0.3567904531955719,0.20401284098625183,0.41614407300949097,0.40663889050483704,0.24112989008426666,0.33645182847976685,0.2985190153121948,0.5591574311256409,0.5934505462646484,0.2804967761039734,0.5352458953857422,0.23069117963314056,0.4130953550338745
