,tension,",",compression,",",and,drag,are,what,kind,of,forces,?
a,0.25594884157180786,0.427140474319458,0.31814756989479065,0.427140474319458,0.3739250600337982,0.20961721241474152,0.265255331993103,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.17848460376262665,0.23916715383529663
force,0.3613831102848053,0.22091743350028992,0.3177926242351532,0.22091743350028992,0.24372100830078125,0.2967003881931305,0.12981104850769043,0.16915984451770782,0.15276244282722473,0.27094775438308716,0.6498695015907288,0.1650998443365097
model,0.13932392001152039,0.244965597987175,0.2660072445869446,0.244965597987175,0.22216768562793732,0.20924480259418488,0.07012248039245605,0.2303347885608673,0.1839843988418579,0.18271391093730927,0.17795944213867188,0.14843042194843292
that,0.3515162169933319,0.4137537479400635,0.3029105067253113,0.4137537479400635,0.4731321930885315,0.23522864282131195,0.45265161991119385,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.24199660122394562,0.32716336846351624
is,0.2469489723443985,0.4691906273365021,0.2661573588848114,0.4691906273365021,0.3859752118587494,0.2002873420715332,0.5330929756164551,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.18792390823364258,0.22961433231830597
independent,0.1662483811378479,0.24115799367427826,0.1258068084716797,0.24115799367427826,0.22274264693260193,0.15094392001628876,0.1716575026512146,0.28752967715263367,0.10041293501853943,0.30508819222450256,0.19951492547988892,0.11902587860822678
of,0.21522673964500427,0.4946078956127167,0.2915203273296356,0.4946078956127167,0.5116966962814331,0.17295612394809723,0.39081433415412903,0.33290785551071167,0.2285657674074173,1.0,0.3090144991874695,0.1826142966747284
any,0.2630597651004791,0.3237466514110565,0.3368752598762512,0.3237466514110565,0.3363793194293976,0.23225165903568268,0.40178635716438293,0.43670421838760376,0.3670198917388916,0.3769088089466095,0.22960515320301056,0.4113408327102661
macroscale,0.29377368092536926,0.2494833618402481,0.4235853850841522,0.2494833618402481,0.2813605070114136,0.20377925038337708,0.2820126712322235,0.27502763271331787,0.26729461550712585,0.3099227845668793,0.2582693099975586,0.20677749812602997
position,0.17717145383358002,0.1771278828382492,0.2015809714794159,0.1771278828382492,0.22603030502796173,0.18216976523399353,0.1604892611503601,0.22031237185001373,0.14892016351222992,0.23636478185653687,0.2241717427968979,0.15529610216617584
vector,0.24985414743423462,0.2533281445503235,0.31212738156318665,0.2533281445503235,0.20854924619197845,0.23622240126132965,0.21720997989177704,0.26669490337371826,0.2664748430252075,0.20483794808387756,0.1949061155319214,0.26140129566192627
.,0.21468229591846466,0.6812511086463928,0.22932106256484985,0.6812511086463928,0.588965117931366,0.21048001945018768,0.3452940285205841,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.21802116930484772,0.4130953550338745
