,what,is,the,name,of,the,mystical,type,of,islam,?
teacher,0.20492632687091827,0.2001669555902481,0.17760860919952393,0.12208614498376846,0.19968076050281525,0.17760860919952393,0.2601476013660431,0.13493123650550842,0.19968076050281525,0.1665000170469284,0.1797819435596466
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.27731239795684814,0.16898801922798157,0.5116966962814331,0.25070106983184814,0.20544172823429108
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.22033736109733582,0.32280945777893066,0.4207492768764496,0.16928605735301971,0.21485474705696106,0.32280945777893066,0.14537638425827026,0.19793890416622162
esoteric,0.3363439440727234,0.27693507075309753,0.2740561068058014,0.17673932015895844,0.3167009651660919,0.2740561068058014,0.39348432421684265,0.24579909443855286,0.3167009651660919,0.33271324634552,0.26774701476097107
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2706909477710724,0.35032153129577637,0.33289089798927307,0.1788138896226883,0.1677488386631012,0.35032153129577637,0.1376255452632904,0.40561532974243164
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.21681512892246246,0.19307732582092285,0.3886612355709076,0.2478460818529129,0.27043893933296204
opposed,0.35573211312294006,0.18266244232654572,0.24302934110164642,0.12970028817653656,0.25387564301490784,0.24302934110164642,0.22054274380207062,0.1574188768863678,0.25387564301490784,0.2796916365623474,0.23428945243358612
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.1947663426399231,0.19930607080459595,0.41548454761505127,0.2398901730775833,0.29463258385658264
exoteric,0.32859086990356445,0.2934204339981079,0.29770368337631226,0.15677142143249512,0.32897406816482544,0.29770368337631226,0.2899206876754761,0.31000515818595886,0.32897406816482544,0.20273452997207642,0.23133064806461334
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.28666427731513977,0.1804078221321106,0.4946078956127167,0.23459285497665405,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.19621294736862183,0.3792596757411957,0.4174870550632477,0.22097672522068024,0.38183850049972534,0.3792596757411957,0.19456106424331665,0.32389625906944275
actions-oriented,0.3511205017566681,0.2686356008052826,0.32211026549339294,0.13423435389995575,0.2861618995666504,0.32211026549339294,0.2265399843454361,0.20838993787765503,0.2861618995666504,0.24101118743419647,0.2916887402534485
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.28666427731513977,0.1804078221321106,0.4946078956127167,0.23459285497665405,0.31091248989105225
e.g,0.044121697545051575,0.02077377215027809,0.08954983949661255,0.05143572390079498,0.017287904396653175,0.08954983949661255,0.011767051182687283,-0.0144039923325181,0.017287904396653175,0.033534497022628784,-0.03681480139493942
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.2190510481595993,0.23195341229438782,0.5352458953857422,0.2825687527656555,0.4130953550338745
