,where,does,warsaw,rank,in,terms,of,population,in,the,eu,?
warsaw,0.1062634214758873,0.16921466588974,1.0,0.18363340198993683,0.22642600536346436,0.07498738169670105,0.19253842532634735,0.1863958090543747,0.22642600536346436,0.23137180507183075,0.18085281550884247,0.09769917279481888
the,0.5003893971443176,0.35928019881248474,0.23137180507183075,0.2690342664718628,0.6662389636039734,0.29706791043281555,0.733189046382904,0.32044094800949097,0.6662389636039734,1.0,0.14126400649547577,0.22068053483963013
9th,0.10737308114767075,0.15875938534736633,0.045462965965270996,0.058762356638908386,0.06262481957674026,0.11719285696744919,0.1006220132112503,0.028320131823420525,0.06262481957674026,0.15220077335834503,-0.016069594770669937,0.06775698810815811
most-populous,0.26764988899230957,0.15716955065727234,0.15159587562084198,0.16103783249855042,0.40433061122894287,0.24118779599666595,0.42071768641471863,0.5586579442024231,0.40433061122894287,0.3898422122001648,0.186895951628685,0.20652742683887482
capital,0.24952609837055206,0.08225840330123901,0.15139155089855194,0.09538146108388901,0.3233928978443146,0.1120312511920929,0.30823585391044617,0.4097575545310974,0.3233928978443146,0.3049491047859192,0.1614496111869812,0.0907452180981636
city,0.2686662971973419,0.10004369169473648,0.25006377696990967,0.06601547449827194,0.3911624252796173,0.11529382318258286,0.32503411173820496,0.4607829749584198,0.3911624252796173,0.35769423842430115,0.12480973452329636,0.13423943519592285
in,0.5344807505607605,0.214483380317688,0.22642600536346436,0.20269498229026794,1.0,0.2410934716463089,0.5696388483047485,0.3268454372882843,1.0,0.6662389636039734,0.12919096648693085,0.20430970191955566
the,0.5003893971443176,0.35928019881248474,0.23137180507183075,0.2690342664718628,0.6662389636039734,0.29706791043281555,0.733189046382904,0.32044094800949097,0.6662389636039734,1.0,0.14126400649547577,0.22068053483963013
european,0.17414534091949463,0.11488570272922516,0.24148869514465332,0.17982661724090576,0.23319172859191895,0.156370148062706,0.2507138252258301,0.17372848093509674,0.23319172859191895,0.3423081040382385,0.46552222967147827,0.14560863375663757
union,0.14066480100154877,0.10697764903306961,0.34130436182022095,0.11683278530836105,0.22726479172706604,0.10561738908290863,0.2642118036746979,0.23277738690376282,0.22726479172706604,0.24421639740467072,0.3292396068572998,0.07797172665596008
.,0.41390106081962585,0.3022993505001068,0.26825499534606934,0.25294268131256104,0.5591574311256409,0.24108539521694183,0.5352458953857422,0.26950228214263916,0.5591574311256409,0.5934505462646484,0.1552242487668991,0.4130953550338745
