,who,did,martin,luther,say,was,the,lone,granter,of,forgiveness,?
to,0.42656609416007996,0.4452643394470215,0.1691744029521942,0.18029534816741943,0.38071900606155396,0.3636345863342285,0.535392165184021,0.18120239675045013,0.20820695161819458,0.41548454761505127,0.31330814957618713,0.29463258385658264
grant,0.26893389225006104,0.14565104246139526,0.15774884819984436,0.15304702520370483,0.16161049902439117,0.15223412215709686,0.2460666298866272,0.15462669730186462,0.7068120837211609,0.23326964676380157,0.260780394077301,0.15586599707603455
",",0.3365725874900818,0.3015086054801941,0.27058324217796326,0.23255878686904907,0.35129812359809875,0.45456063747406006,0.4933079481124878,0.25948193669319153,0.3049652576446533,0.4946078956127167,0.20873713493347168,0.31091248989105225
those,0.44778117537498474,0.38519078493118286,0.15193913877010345,0.21142007410526276,0.3730100393295288,0.21886132657527924,0.42861196398735046,0.14851900935173035,0.2520444095134735,0.37935635447502136,0.32415473461151123,0.3328189253807068
who,0.9999998807907104,0.34038686752319336,0.22000780701637268,0.21013082563877106,0.36216333508491516,0.3318818509578705,0.3733934462070465,0.21957629919052124,0.2986082434654236,0.2827862501144409,0.2950792610645294,0.26220351457595825
claimed,0.32327672839164734,0.34913167357444763,0.14558736979961395,0.1496354341506958,0.3439866304397583,0.32895320653915405,0.2761930227279663,0.07483044266700745,0.2158079892396927,0.25888603925704956,0.2975531816482544,0.2083493024110794
that,0.45444270968437195,0.47518548369407654,0.1594845950603485,0.21746599674224854,0.5852095484733582,0.33670201897621155,0.5473989248275757,0.18992885947227478,0.24509376287460327,0.41498205065727234,0.37079185247421265,0.32716336846351624
indulgences,0.2066390961408615,0.2802750766277313,0.23288580775260925,0.35804522037506104,0.2908950448036194,0.19507549703121185,0.24909545481204987,0.1070031076669693,0.2816142141819,0.28176620602607727,0.5530036091804504,0.21964608132839203
absolved,0.24819737672805786,0.28992798924446106,0.14516156911849976,0.13163655996322632,0.316402792930603,0.2584831416606903,0.32806533575057983,0.13588424026966095,0.2127983123064041,0.3031744956970215,0.3213840425014496,0.27071115374565125
buyers,0.266674280166626,0.259145051240921,0.15592500567436218,0.12992259860038757,0.26538288593292236,0.22754442691802979,0.26482927799224854,0.19173404574394226,0.21511335670948029,0.1887296736240387,0.31476280093193054,0.16299520432949066
from,0.27839982509613037,0.20248863101005554,0.10372040420770645,0.10716932266950607,0.2877751290798187,0.31171464920043945,0.40150508284568787,0.1983986347913742,0.16917546093463898,0.4249346852302551,0.09434480220079422,0.19969791173934937
all,0.3698336184024811,0.33943864703178406,0.19312210381031036,0.1917443871498108,0.359422892332077,0.23179835081100464,0.4860881567001343,0.19387632608413696,0.1451549530029297,0.42798417806625366,0.2706834673881531,0.29575422406196594
punishments,0.2878303527832031,0.26226791739463806,0.1344042420387268,0.16020475327968597,0.29196855425834656,0.20030659437179565,0.23933030664920807,0.16518941521644592,0.17150287330150604,0.19103747606277466,0.4074338674545288,0.23544666171073914
and,0.41279885172843933,0.34479495882987976,0.2544763386249542,0.20796556770801544,0.3314565122127533,0.3740963041782379,0.5171257257461548,0.19981883466243744,0.21338604390621185,0.5116966962814331,0.20621681213378906,0.20544172823429108
granted,0.3049810528755188,0.23486477136611938,0.08381525427103043,0.12004492431879044,0.2148527354001999,0.213484525680542,0.27588096261024475,0.08241935819387436,0.7837011218070984,0.32803481817245483,0.31935617327690125,0.22870221734046936
them,0.5243523120880127,0.44189682602882385,0.13661283254623413,0.1940135955810547,0.4016338586807251,0.23709723353385925,0.4788833558559418,0.20472268760204315,0.17079392075538635,0.34503093361854553,0.36244750022888184,0.35435691475868225
salvation,0.3019530177116394,0.15371133387088776,0.20364095270633698,0.24563154578208923,0.27562329173088074,0.17791269719600677,0.30236515402793884,0.21379023790359497,0.206193208694458,0.2523575723171234,0.4635828137397766,0.2133665680885315
were,0.3188014328479767,0.4162326455116272,0.15994206070899963,0.18652333319187164,0.28210389614105225,0.590133786201477,0.3906462490558624,0.09922514110803604,0.11781702935695648,0.34038281440734863,0.14142031967639923,0.17890112102031708
in,0.2792111933231354,0.2593238651752472,0.22752496600151062,0.20523880422115326,0.26482993364334106,0.45514053106307983,0.6662389636039734,0.20952627062797546,0.17327120900154114,0.5696388483047485,0.11101891100406647,0.20430970191955566
error,0.11088067293167114,0.1633894145488739,0.12246226519346237,0.08149916678667068,0.22206084430217743,0.15878652036190033,0.1961134821176529,0.16481676697731018,0.13726919889450073,0.15479235351085663,0.23335883021354675,0.2543688118457794
.,0.3541337847709656,0.35288307070732117,0.25235527753829956,0.24907569587230682,0.33481550216674805,0.40146201848983765,0.5934505462646484,0.2910583019256592,0.24887146055698395,0.5352458953857422,0.15865637362003326,0.4130953550338745
