,what,does,it,mean,for,a,disease,to,be,enzootic,?
of,0.33290785551071167,0.3119818866252899,0.38761502504348755,0.27551960945129395,0.4185989499092102,0.5052502155303955,0.22984620928764343,0.41548454761505127,0.33904364705085754,0.31376105546951294,0.1826142966747284
fleas,0.23394039273262024,0.26695576310157776,0.27030476927757263,0.22211548686027527,0.21094241738319397,0.22641675174236298,0.3826700448989868,0.344497412443161,0.28715088963508606,0.3711432218551636,0.25398749113082886
carried,0.17649970948696136,0.10306813567876816,0.182406947016716,0.1620195060968399,0.24306218326091766,0.21944114565849304,0.1580469310283661,0.21867457032203674,0.3055807948112488,0.21285218000411987,0.1305524855852127
by,0.2455483376979828,0.143477201461792,0.40926623344421387,0.1560223549604416,0.3248702883720398,0.32094135880470276,0.15786179900169373,0.33534231781959534,0.43158695101737976,0.27086296677589417,0.17966607213020325
ground,0.20688746869564056,0.25155168771743774,0.2557121515274048,0.17179682850837708,0.22705493867397308,0.22826628386974335,0.17337167263031006,0.22786086797714233,0.2325221449136734,0.21990454196929932,0.11401822417974472
rodents,0.21771547198295593,0.15698948502540588,0.20085124671459198,0.1811663955450058,0.16163170337677002,0.2154642939567566,0.3598081171512604,0.18024282157421112,0.26703304052352905,0.38333895802497864,0.1706136018037796
",",0.3087472915649414,0.28617382049560547,0.48329564929008484,0.27540135383605957,0.4464869201183319,0.427140474319458,0.29627472162246704,0.44245919585227966,0.39254459738731384,0.3427358567714691,0.31091248989105225
including,0.18328791856765747,0.20252716541290283,0.21794912219047546,0.18125352263450623,0.42507120966911316,0.21045410633087158,0.15302909910678864,0.24006329476833344,0.2110714614391327,0.2520298659801483,0.1633303165435791
marmots,0.17085525393486023,0.17658478021621704,0.20433975756168365,0.22817571461200714,0.18827654421329498,0.22071906924247742,0.28542760014533997,0.24053636193275452,0.21585196256637573,0.3136776089668274,0.22892306745052338
",",0.3087472915649414,0.28617382049560547,0.48329564929008484,0.27540135383605957,0.4464869201183319,0.427140474319458,0.29627472162246704,0.44245919585227966,0.39254459738731384,0.3427358567714691,0.31091248989105225
in,0.30808621644973755,0.214483380317688,0.5130809545516968,0.2099098116159439,0.4322226941585541,0.539380669593811,0.2769028842449188,0.45010748505592346,0.3481820821762085,0.3270629048347473,0.20430970191955566
various,0.26045072078704834,0.21168746054172516,0.21153901517391205,0.16116097569465637,0.3578505516052246,0.17124241590499878,0.1683603972196579,0.33564820885658264,0.30338236689567566,0.3608507215976715,0.12823495268821716
areas,0.23739881813526154,0.19766740500926971,0.31491610407829285,0.14622041583061218,0.2626132369041443,0.24730755388736725,0.20846740901470184,0.29808273911476135,0.3040323853492737,0.28371405601501465,0.1273590475320816
including,0.18328791856765747,0.20252716541290283,0.21794912219047546,0.18125352263450623,0.42507120966911316,0.21045410633087158,0.15302909910678864,0.24006329476833344,0.2110714614391327,0.2520298659801483,0.1633303165435791
central,0.17723965644836426,0.17120608687400818,0.28471311926841736,0.1413341611623764,0.20646226406097412,0.26925721764564514,0.16345858573913574,0.21511952579021454,0.12415618449449539,0.22164393961429596,0.14787602424621582
asia,0.14832128584384918,0.1250523328781128,0.24346306920051575,0.164937362074852,0.18444210290908813,0.14726082980632782,0.12954577803611755,0.22411112487316132,0.18580088019371033,0.24859718978405,0.1340748518705368
",",0.3087472915649414,0.28617382049560547,0.48329564929008484,0.27540135383605957,0.4464869201183319,0.427140474319458,0.29627472162246704,0.44245919585227966,0.39254459738731384,0.3427358567714691,0.31091248989105225
kurdistan,0.15075968205928802,0.1291688084602356,0.15765519440174103,0.18725359439849854,0.12224084883928299,0.1981000155210495,0.13344697654247284,0.13468727469444275,0.10597392916679382,0.29484280943870544,0.140592560172081
",",0.3087472915649414,0.28617382049560547,0.48329564929008484,0.27540135383605957,0.4464869201183319,0.427140474319458,0.29627472162246704,0.44245919585227966,0.39254459738731384,0.3427358567714691,0.31091248989105225
western,0.2454150915145874,0.12355383485555649,0.2993638515472412,0.12962402403354645,0.15054884552955627,0.21111781895160675,0.09905849397182465,0.18838192522525787,0.15455764532089233,0.22086021304130554,0.17439141869544983
asia,0.14832128584384918,0.1250523328781128,0.24346306920051575,0.164937362074852,0.18444210290908813,0.14726082980632782,0.12954577803611755,0.22411112487316132,0.18580088019371033,0.24859718978405,0.1340748518705368
",",0.3087472915649414,0.28617382049560547,0.48329564929008484,0.27540135383605957,0.4464869201183319,0.427140474319458,0.29627472162246704,0.44245919585227966,0.39254459738731384,0.3427358567714691,0.31091248989105225
northern,0.19332477450370789,0.11593209207057953,0.261946439743042,0.10687084496021271,0.20134946703910828,0.22329643368721008,0.15144596993923187,0.1886475831270218,0.15864363312721252,0.2244517058134079,0.13149388134479523
india,0.23203566670417786,0.18864880502223969,0.2261946201324463,0.07686569541692734,0.19895431399345398,0.22843793034553528,0.1754840463399887,0.23679906129837036,0.22012770175933838,0.23288600146770477,0.10473668575286865
and,0.31309178471565247,0.3461615741252899,0.40957894921302795,0.22596950829029083,0.5064792633056641,0.3739250600337982,0.19961869716644287,0.48971283435821533,0.41766801476478577,0.3553372919559479,0.20544172823429108
uganda,0.20343343913555145,0.14486603438854218,0.17773042619228363,0.12395041435956955,0.20461539924144745,0.15577270090579987,0.15614917874336243,0.20353086292743683,0.12278996407985687,0.17385333776474,0.14235436916351318
.,0.3567904531955719,0.3022993505001068,0.5593622326850891,0.21881133317947388,0.4726039469242096,0.50484299659729,0.25074082612991333,0.4645031690597534,0.4383580684661865,0.3315984904766083,0.4130953550338745
