,what,kind,of,destruction,did,the,1994,earthquake,cause,the,most,of,in,us,history,?
u.s.,0.11178889125585556,-0.04085364565253258,0.011562774889171124,0.03654985502362251,0.11472565680742264,0.06592652946710587,0.09127376228570938,0.008743653073906898,-0.016988279297947884,0.06592652946710587,0.044641200453042984,0.011562774889171124,-0.003064807504415512,0.03950560837984085,0.01459450088441372,0.07886100560426712
history,0.28630873560905457,0.19423148036003113,0.31014925241470337,0.2133231908082962,0.24950987100601196,0.33215048909187317,0.06372920423746109,0.18615040183067322,0.14576274156570435,0.33215048909187317,0.3151164948940277,0.31014925241470337,0.29215577244758606,0.17570367455482483,1.0000001192092896,0.2501974403858185
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2109706848859787,0.3015086054801941,0.4933079481124878,0.14125534892082214,0.25736936926841736,0.2546827793121338,0.4933079481124878,0.3636029064655304,0.4946078956127167,0.5201468467712402,0.3120202422142029,0.2728564441204071,0.31091248989105225
estimated,0.19670580327510834,0.11001821607351303,0.30473583936691284,0.3161931335926056,0.14494213461875916,0.29184040427207947,0.033886633813381195,0.31325438618659973,0.25610125064849854,0.29184040427207947,0.2743355333805084,0.30473583936691284,0.2508986294269562,0.16471058130264282,0.17235012352466583,0.18149758875370026
at,0.2838611304759979,0.17203933000564575,0.42558613419532776,0.1483801007270813,0.28390252590179443,0.457212895154953,0.08572041988372803,0.18158482015132904,0.1972731053829193,0.457212895154953,0.22451047599315643,0.42558613419532776,0.4374977946281433,0.2341633439064026,0.25440460443496704,0.21978627145290375
over,0.28007611632347107,0.1785270869731903,0.36136594414711,0.2515345513820648,0.2535076439380646,0.39856547117233276,-0.010401424020528793,0.18471890687942505,0.2874244153499603,0.39856547117233276,0.366985023021698,0.36136594414711,0.3605569899082184,0.21534089744091034,0.2581384479999542,0.25742942094802856
$,0.24858909845352173,0.08485935628414154,0.11268499493598938,0.18515849113464355,0.23203131556510925,0.23367542028427124,0.12531688809394836,0.2226465344429016,0.13336241245269775,0.23367542028427124,0.1646968275308609,0.11268499493598938,0.21616753935813904,0.18078972399234772,0.14064279198646545,0.2786129117012024
20,-0.036424171179533005,0.09292618930339813,-0.0318976491689682,0.012868148274719715,-0.11960799992084503,-0.06418957561254501,0.05479729548096657,0.0006382277351804078,0.06064638867974281,-0.06418957561254501,0.03306860104203224,-0.0318976491689682,-0.022708838805556297,0.03707917034626007,0.02126762829720974,0.11360422521829605
billion,0.262668639421463,0.10191749036312103,0.19335569441318512,0.2538151144981384,0.1482735127210617,0.2162325382232666,0.03988044336438179,0.21629832684993744,0.22142867743968964,0.2162325382232666,0.2598285377025604,0.19335569441318512,0.18475750088691711,0.2639850676059723,0.1805024892091751,0.25791820883750916
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.23910993337631226,0.35288307070732117,0.5934505462646484,0.08958379179239273,0.25678902864456177,0.267557293176651,0.5934505462646484,0.35404038429260254,0.5352458953857422,0.5591574311256409,0.3162994682788849,0.30310705304145813,0.4130953550338745
