,what,were,steam,engines,used,as,a,source,of,?
steam,0.15672586858272552,0.20219570398330688,1.0000001192092896,0.4903687536716461,0.2604328691959381,0.20776431262493134,0.2141898274421692,0.190715953707695,0.20239725708961487,0.113324373960495
engine,0.18463268876075745,0.164800226688385,0.4921848475933075,0.8767010569572449,0.21100758016109467,0.15144379436969757,0.24768835306167603,0.2470884472131729,0.17095594108104706,0.17739196121692657
as,0.31749409437179565,0.3025437891483307,0.20776431262493134,0.17400804162025452,0.35160550475120544,1.0,0.39550232887268066,0.2289019525051117,0.3886612355709076,0.27043893933296204
a,0.3320399522781372,0.17203083634376526,0.2141898274421692,0.20574161410331726,0.3864384889602661,0.39550232887268066,1.0,0.18778453767299652,0.5052502155303955,0.23916715383529663
power,0.22216427326202393,0.18395109474658966,0.35972869396209717,0.3073769509792328,0.21249571442604065,0.20748355984687805,0.21580491960048676,0.2376585751771927,0.25273123383522034,0.15304024517536163
source,0.2553733289241791,0.11729501187801361,0.190715953707695,0.2280399650335312,0.25368016958236694,0.2289019525051117,0.18778453767299652,0.9999998807907104,0.18598204851150513,0.2462312877178192
),0.26259949803352356,0.1566188633441925,0.13912063837051392,0.14278316497802734,0.1905621439218521,0.32161882519721985,0.3640355169773102,0.22529833018779755,0.3680361211299896,0.42300865054130554
resulted,0.14803820848464966,0.3060646653175354,0.15236622095108032,0.15899501740932465,0.24877558648586273,0.21462930738925934,0.2727489173412323,0.09957213699817657,0.3479447662830353,0.1391388475894928
in,0.30808621644973755,0.3815755248069763,0.19852672517299652,0.18084456026554108,0.3090210556983948,0.3887844979763031,0.539380669593811,0.24019475281238556,0.5696388483047485,0.20430970191955566
the,0.42745697498321533,0.3906462490558624,0.23105813562870026,0.2245008647441864,0.3718377649784088,0.48381632566452026,0.5829201340675354,0.30258262157440186,0.733189046382904,0.22068053483963013
design,0.23893405497074127,0.2101527899503708,0.2571820318698883,0.38155606389045715,0.22842220962047577,0.21253643929958344,0.25211480259895325,0.12327456474304199,0.2522938847541809,0.16351860761642456
of,0.33290785551071167,0.34038281440734863,0.20239725708961487,0.17593856155872345,0.3075267970561981,0.3886612355709076,0.5052502155303955,0.18598204851150513,1.0,0.1826142966747284
more,0.3484537899494171,0.33779072761535645,0.18688981235027313,0.2802164554595947,0.3030165731906891,0.42839905619621277,0.3452818691730499,0.24540172517299652,0.30478984117507935,0.27894994616508484
efficient,0.22662539780139923,0.1770784854888916,0.3283361792564392,0.43092378973960876,0.36788055300712585,0.2651938199996948,0.19768685102462769,0.2638598382472992,0.22586165368556976,0.18034493923187256
engines,0.1634974628686905,0.27072596549987793,0.4903687536716461,1.0000001192092896,0.2519303560256958,0.17400804162025452,0.20574161410331726,0.2280399650335312,0.17593856155872345,0.18940703570842743
that,0.6297725439071655,0.35517072677612305,0.24386391043663025,0.26305148005485535,0.37621384859085083,0.4735107421875,0.47537946701049805,0.3142060935497284,0.41498205065727234,0.32716336846351624
could,0.4188697934150696,0.40738195180892944,0.23015202581882477,0.2574275732040405,0.3978976011276245,0.32771480083465576,0.3736826181411743,0.2297527939081192,0.29043012857437134,0.3411986827850342
be,0.3929833769798279,0.4064064621925354,0.22586002945899963,0.21797771751880646,0.3731876611709595,0.5230465531349182,0.39883795380592346,0.29951292276382446,0.33904364705085754,0.3324260413646698
smaller,0.23730900883674622,0.28414386510849,0.17334379255771637,0.25220388174057007,0.2568661868572235,0.25985437631607056,0.26141878962516785,0.13519510626792908,0.30439993739128113,0.17881669104099274
",",0.3087472915649414,0.36755475401878357,0.2264556586742401,0.20245449244976044,0.3120402991771698,0.48816442489624023,0.427140474319458,0.2657822072505951,0.4946078956127167,0.31091248989105225
faster,0.32900017499923706,0.17092643678188324,0.3483731746673584,0.3612602949142456,0.33386266231536865,0.2212037295103073,0.21154531836509705,0.1963045597076416,0.1398756504058838,0.2566389739513397
",",0.3087472915649414,0.36755475401878357,0.2264556586742401,0.20245449244976044,0.3120402991771698,0.48816442489624023,0.427140474319458,0.2657822072505951,0.4946078956127167,0.31091248989105225
or,0.33867141604423523,0.3389680087566376,0.2369248867034912,0.16979892551898956,0.4951852560043335,0.4400654137134552,0.48853766918182373,0.2579227685928345,0.3792596757411957,0.32389625906944275
more,0.3484537899494171,0.33779072761535645,0.18688981235027313,0.2802164554595947,0.3030165731906891,0.42839905619621277,0.3452818691730499,0.24540172517299652,0.30478984117507935,0.27894994616508484
powerful,0.20215895771980286,0.27594509720802307,0.28285306692123413,0.32363295555114746,0.25376537442207336,0.24847356975078583,0.2647459805011749,0.1565253585577011,0.2867213189601898,0.12160622328519821
",",0.3087472915649414,0.36755475401878357,0.2264556586742401,0.20245449244976044,0.3120402991771698,0.48816442489624023,0.427140474319458,0.2657822072505951,0.4946078956127167,0.31091248989105225
depending,0.3483159840106964,0.20008201897144318,0.11877160519361496,0.17198321223258972,0.3493730425834656,0.2704126238822937,0.37288346886634827,0.17565253376960754,0.3065048158168793,0.21704205870628357
on,0.34226128458976746,0.2774328887462616,0.1939276158809662,0.19385121762752533,0.24785758554935455,0.36047765612602234,0.3848365545272827,0.2188335657119751,0.3966929316520691,0.2714994251728058
the,0.42745697498321533,0.3906462490558624,0.23105813562870026,0.2245008647441864,0.3718377649784088,0.48381632566452026,0.5829201340675354,0.30258262157440186,0.733189046382904,0.22068053483963013
intended,0.32450535893440247,0.21834015846252441,0.1325518935918808,0.17952334880828857,0.4979482591152191,0.266594260931015,0.31608664989471436,0.1833079308271408,0.24364815652370453,0.21823447942733765
application,0.2565309405326843,0.11581011116504669,0.2864660918712616,0.2735331654548645,0.32137730717658997,0.1925833374261856,0.3155566453933716,0.32791969180107117,0.25776514410972595,0.1966315507888794
.,0.3567904531955719,0.3378238379955292,0.22855372726917267,0.24894580245018005,0.33111312985420227,0.515582263469696,0.50484299659729,0.2883438467979431,0.5352458953857422,0.4130953550338745
