,why,do,some,people,purposely,resist,officers,of,the,law,?
as,0.3103298544883728,0.38329678773880005,0.4293700158596039,0.15704652667045593,0.33511117100715637,0.21214736998081207,0.23422855138778687,0.3886612355709076,0.48381632566452026,0.2346976399421692,0.27043893933296204
an,0.22638356685638428,0.25865980982780457,0.2864145338535309,0.16753636300563812,0.18777096271514893,0.1880817860364914,0.15112128853797913,0.32280945777893066,0.4207492768764496,0.17270056903362274,0.19793890416622162
opportunity,0.28929004073143005,0.29832014441490173,0.2899453938007355,0.19146476686000824,0.2985306680202484,0.22446443140506744,0.18651199340820312,0.2255665808916092,0.2641824185848236,0.19981323182582855,0.19524551928043365
to,0.4100138247013092,0.38876664638519287,0.4636894166469574,0.37275731563568115,0.44826018810272217,0.266008585691452,0.3041703402996063,0.41548454761505127,0.535392165184021,0.259207159280777,0.29463258385658264
make,0.4194630980491638,0.41790449619293213,0.4977634847164154,0.33739447593688965,0.31305578351020813,0.2866775095462799,0.20007136464118958,0.2912110388278961,0.3146495521068573,0.18935526907444,0.28314751386642456
an,0.22638356685638428,0.25865980982780457,0.2864145338535309,0.16753636300563812,0.18777096271514893,0.1880817860364914,0.15112128853797913,0.32280945777893066,0.4207492768764496,0.17270056903362274,0.19793890416622162
impression,0.31244876980781555,0.24100717902183533,0.29476219415664673,0.11520938575267792,0.23293031752109528,0.22215479612350464,0.04890888184309006,0.2668772041797638,0.266139417886734,0.09128300100564957,0.26789793372154236
on,0.2698206305503845,0.3025321364402771,0.31474894285202026,0.2559742033481598,0.26338276267051697,0.15625740587711334,0.20821189880371094,0.3966929316520691,0.5107308030128479,0.13878796994686127,0.2714994251728058
the,0.30742117762565613,0.30239659547805786,0.4566698372364044,0.36838498711586,0.31657084822654724,0.22076082229614258,0.2831277847290039,0.733189046382904,1.0,0.24548950791358948,0.22068053483963013
officers,0.14659622311592102,0.22862589359283447,0.27067866921424866,0.3249082565307617,0.2472795993089676,0.17503225803375244,1.0,0.24383078515529633,0.2831277847290039,0.2822027802467346,0.14072641730308533
.,0.32909876108169556,0.3613996207714081,0.40663889050483704,0.33118996024131775,0.20518581569194794,0.20275048911571503,0.1864379346370697,0.5352458953857422,0.5934505462646484,0.24482665956020355,0.4130953550338745
,why,do,some,people,purposely,resist,officers,of,the,law,?
many,0.38531482219696045,0.38738366961479187,0.7976660132408142,0.4171447455883026,0.28490111231803894,0.24876153469085693,0.23738780617713928,0.37253960967063904,0.4335206151008606,0.1860491931438446,0.2124512493610382
of,0.28464117646217346,0.26150479912757874,0.4300730526447296,0.3251037895679474,0.1675950288772583,0.22835293412208557,0.24383078515529633,1.0,0.733189046382904,0.2816956341266632,0.1826142966747284
the,0.30742117762565613,0.30239659547805786,0.4566698372364044,0.36838498711586,0.31657084822654724,0.22076082229614258,0.2831277847290039,0.733189046382904,1.0,0.24548950791358948,0.22068053483963013
same,0.2699325680732727,0.3155553936958313,0.41105616092681885,0.22652654349803925,0.30803364515304565,0.22375261783599854,0.20065009593963623,0.3808329105377197,0.4583131968975067,0.25704842805862427,0.22649677097797394
decisions,0.2680512070655823,0.294208288192749,0.26783987879753113,0.28219348192214966,0.2720668315887451,0.13801312446594238,0.3135938048362732,0.2881335914134979,0.30538004636764526,0.3273443877696991,0.29068708419799805
and,0.27806392312049866,0.276123583316803,0.5337774157524109,0.3016039729118347,0.2776493728160858,0.2666219174861908,0.2432994693517685,0.5116966962814331,0.5171257257461548,0.254730761051178,0.20544172823429108
principles,0.22079680860042572,0.2234688550233841,0.2702593207359314,0.17707350850105286,0.2896727919578552,0.21227629482746124,0.2038780152797699,0.25854504108428955,0.21452596783638,0.37726420164108276,0.19203636050224304
that,0.5601457357406616,0.44533252716064453,0.6049469113349915,0.3621441423892975,0.411543607711792,0.2627500593662262,0.25382763147354126,0.41498205065727234,0.5473989248275757,0.23277728259563446,0.32716336846351624
apply,0.3260935842990875,0.425040066242218,0.3515844941139221,0.20367564260959625,0.3563134968280792,0.21951892971992493,0.18332460522651672,0.23030845820903778,0.23137710988521576,0.3161100447177887,0.3161788284778595
in,0.23227278888225555,0.23402775824069977,0.4010399878025055,0.39605680108070374,0.2644394338130951,0.19817115366458893,0.23425941169261932,0.5696388483047485,0.6662389636039734,0.24850773811340332,0.20430970191955566
other,0.321101576089859,0.34946969151496887,0.6399164199829102,0.39234280586242676,0.3692200481891632,0.19864505529403687,0.23378193378448486,0.38583824038505554,0.44152235984802246,0.16831502318382263,0.24682199954986572
criminal,0.13583225011825562,0.2026396095752716,0.18504728376865387,0.2422778457403183,0.23834800720214844,0.18939712643623352,0.4039851129055023,0.22688241302967072,0.25219881534576416,0.38302192091941833,0.17345646023750305
investigations,0.16962024569511414,0.22292111814022064,0.25124552845954895,0.11971398442983627,0.24767832458019257,0.19723917543888092,0.33174118399620056,0.2303210347890854,0.2768571972846985,0.3037993013858795,0.14811140298843384
and,0.27806392312049866,0.276123583316803,0.5337774157524109,0.3016039729118347,0.2776493728160858,0.2666219174861908,0.2432994693517685,0.5116966962814331,0.5171257257461548,0.254730761051178,0.20544172823429108
arrests,0.14596281945705414,0.2165062129497528,0.207402765750885,0.2375798523426056,0.2352619618177414,0.26637837290763855,0.46491897106170654,0.22793275117874146,0.22135035693645477,0.3066856861114502,0.13915199041366577
arise,0.3043784201145172,0.3088722825050354,0.3458702564239502,0.1762792468070984,0.2862051725387573,0.2545759379863739,0.12210285663604736,0.2695748209953308,0.2816307544708252,0.2841292917728424,0.2458506077528
also,0.4456408619880676,0.36242780089378357,0.6210381388664246,0.34775957465171814,0.33522018790245056,0.2377125769853592,0.211043119430542,0.4924938678741455,0.6021018624305725,0.26510846614837646,0.21848613023757935
in,0.23227278888225555,0.23402775824069977,0.4010399878025055,0.39605680108070374,0.2644394338130951,0.19817115366458893,0.23425941169261932,0.5696388483047485,0.6662389636039734,0.24850773811340332,0.20430970191955566
civil,0.14097142219543457,0.12413616478443146,0.1851816177368164,0.24625034630298615,0.1814768761396408,0.21818691492080688,0.29699206352233887,0.24698495864868164,0.2477465271949768,0.31305259466171265,0.1494513899087906
disobedience,0.22061246633529663,0.26727163791656494,0.28606411814689636,0.2943185269832611,0.2978358268737793,0.3734809458255768,0.3412054479122162,0.31932318210601807,0.30963727831840515,0.3980846405029297,0.19890835881233215
cases,0.25723597407341003,0.26828375458717346,0.4670267701148987,0.24208591878414154,0.3077380061149597,0.2039087414741516,0.24494096636772156,0.31000128388404846,0.33415094017982483,0.23496893048286438,0.25599566102027893
.,0.32909876108169556,0.3613996207714081,0.40663889050483704,0.33118996024131775,0.20518581569194794,0.20275048911571503,0.1864379346370697,0.5352458953857422,0.5934505462646484,0.24482665956020355,0.4130953550338745
