,who,was,the,ideologue,of,the,iranian,revolution,?
father,0.4164644777774811,0.3492507338523865,0.24010279774665833,0.1987868696451187,0.22142449021339417,0.24010279774665833,0.16702242195606232,0.24504724144935608,0.14826634526252747
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.20951610803604126,1.0,0.733189046382904,0.19742776453495026,0.27144062519073486,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.21841691434383392,0.733189046382904,1.0,0.21625958383083344,0.276140034198761,0.22068053483963013
state,0.15636613965034485,0.22072885930538177,0.3097178041934967,0.15666066110134125,0.34253445267677307,0.3097178041934967,0.14289528131484985,0.18441449105739594,0.1160883978009224
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.20951610803604126,1.0,0.733189046382904,0.19742776453495026,0.27144062519073486,0.1826142966747284
pakistan,0.1778106540441513,0.1720658242702484,0.2717324197292328,0.2510153353214264,0.26013073325157166,0.2717324197292328,0.44841262698173523,0.1396414041519165,0.1329864263534546
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.23119226098060608,0.4946078956127167,0.4933079481124878,0.20104601979255676,0.26235419511795044,0.31091248989105225
but,0.4487357437610626,0.36023372411727905,0.4859698414802551,0.18540464341640472,0.39942997694015503,0.4859698414802551,0.1324000507593155,0.21592117846012115,0.27921953797340393
khomeini,0.20824763178825378,0.24911373853683472,0.22672760486602783,0.3852379620075226,0.23098638653755188,0.22672760486602783,0.5528709888458252,0.3199179768562317,0.16343249380588531
's,0.05599616840481758,0.008974763564765453,-0.01540423184633255,0.057765524834394455,-0.03817026689648628,-0.01540423184633255,0.02761235274374485,-0.031944599002599716,-0.023395681753754616
beliefs,0.34122297167778015,0.21999593079090118,0.2159741371870041,0.48812946677207947,0.2516281008720398,0.2159741371870041,0.2037876397371292,0.24256785213947296,0.254576712846756
is,0.24293622374534607,0.5810302495956421,0.5823672413825989,0.13568104803562164,0.4854315221309662,0.5823672413825989,0.20444782078266144,0.16210032999515533,0.22961433231830597
perceived,0.19018259644508362,0.22454136610031128,0.2552545368671417,0.2499261200428009,0.27688950300216675,0.2552545368671417,0.10271803289651871,0.15200163424015045,0.20685844123363495
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.18215882778167725,0.41548454761505127,0.535392165184021,0.11043429374694824,0.18777814507484436,0.29463258385658264
be,0.3371641933917999,0.42228707671165466,0.4248143136501312,0.1617310643196106,0.33904364705085754,0.4248143136501312,0.17042163014411926,0.2064557820558548,0.3324260413646698
placed,0.1622145026922226,0.23873765766620636,0.38702741265296936,0.1256023645401001,0.2962164878845215,0.38702741265296936,0.10420352220535278,0.04966339096426964,0.18964257836341858
somewhere,0.27941250801086426,0.17991819977760315,0.31683439016342163,0.22916819155216217,0.19648483395576477,0.31683439016342163,0.09116577357053757,0.13952293992042542,0.4073143005371094
between,0.20718061923980713,0.24048170447349548,0.39067012071609497,0.2188727855682373,0.3737983703613281,0.39067012071609497,0.14140036702156067,0.1826316863298416,0.12887074053287506
beliefs,0.34122297167778015,0.21999593079090118,0.2159741371870041,0.48812946677207947,0.2516281008720398,0.2159741371870041,0.2037876397371292,0.24256785213947296,0.254576712846756
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.20951610803604126,1.0,0.733189046382904,0.19742776453495026,0.27144062519073486,0.1826142966747284
sunni,0.2636675238609314,0.16802074015140533,0.23035748302936554,0.40094447135925293,0.25304439663887024,0.23035748302936554,0.44818541407585144,0.18623922765254974,0.17507030069828033
islamic,0.20530520379543304,0.19776177406311035,0.27231070399284363,0.3621913492679596,0.25656506419181824,0.27231070399284363,0.46412232518196106,0.305510014295578,0.1692383587360382
thinkers,0.3530983626842499,0.22074948251247406,0.20325066149234772,0.3895224630832672,0.24130256474018097,0.20325066149234772,0.21049334108829498,0.3673611879348755,0.24928995966911316
like,0.34740978479385376,0.19745829701423645,0.32912567257881165,0.16660521924495697,0.3244853615760803,0.32912567257881165,0.16376763582229614,0.15627248585224152,0.3268813192844391
mawdudi,0.3424219489097595,0.33228835463523865,0.2712559998035431,0.3646843135356903,0.2965799570083618,0.2712559998035431,0.3213679790496826,0.23777621984481812,0.22071678936481476
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.2318725883960724,0.5116966962814331,0.5171257257461548,0.19249634444713593,0.21575188636779785,0.20544172823429108
qutb,0.29179659485816956,0.37132319808006287,0.303955614566803,0.40161848068237305,0.2860225439071655,0.303955614566803,0.4118090271949768,0.30304405093193054,0.18769441545009613
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.23172883689403534,0.5352458953857422,0.5934505462646484,0.22688403725624084,0.2770307958126068,0.4130953550338745
