,what,type,of,person,can,not,be,attributed,civil,disobedience,?
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.33486208319664,0.4979398250579834,0.5149973034858704,0.4972836375236511,0.1937648355960846,0.2019355595111847,0.30665844678878784,0.29463258385658264
enforce,0.335531085729599,0.08437857031822205,0.2509682774543762,0.26421812176704407,0.23977316915988922,0.3185786008834839,0.3089166283607483,0.22316153347492218,0.3218132555484772,0.45003432035446167,0.2633580267429352
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.4078793525695801,0.3915780484676361,0.3791346549987793,0.39883795380592346,0.17105847597122192,0.21693918108940125,0.25352153182029724,0.23916715383529663
decision,0.32053670287132263,0.11840678006410599,0.2331373691558838,0.27677130699157715,0.256021648645401,0.31816837191581726,0.3003653585910797,0.15345832705497742,0.25410568714141846,0.35355138778686523,0.2796577215194702
of,0.33290785551071167,0.18112817406654358,1.0,0.27674683928489685,0.2603091299533844,0.3307090103626251,0.33904364705085754,0.2709019184112549,0.24698495864868164,0.31932318210601807,0.1826142966747284
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.4460006356239319,0.4522190988063812,0.6600887179374695,0.6036020517349243,0.2847778797149658,0.16867391765117645,0.3551425039768219,0.32716336846351624
country,0.22705033421516418,0.16337260603904724,0.28866857290267944,0.26081809401512146,0.15319520235061646,0.22478289902210236,0.2115473747253418,0.0757526159286499,0.2076026201248169,0.2641947567462921,0.12647280097007751
's,0.02692362666130066,0.05257158726453781,-0.03817026689648628,-0.016232607886195183,-0.02075597457587719,0.002583299996331334,0.025217169895768166,-0.026749974116683006,-0.06354409456253052,0.027719656005501747,-0.023395681753754616
highest,0.19637788832187653,0.09751620888710022,0.3223685622215271,0.24558907747268677,0.13921953737735748,0.1784203052520752,0.1532515436410904,0.1050870418548584,0.16038212180137634,0.16652023792266846,0.11527936160564423
court,0.23440583050251007,0.057435330003499985,0.28835242986679077,0.21162201464176178,0.14211946725845337,0.21835780143737793,0.20228137075901031,0.18272048234939575,0.23601488769054413,0.3648757040500641,0.17100423574447632
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2255365252494812,0.3139454126358032,0.3769696354866028,0.39254459738731384,0.23475953936576843,0.24795588850975037,0.2878543734550476,0.31091248989105225
it,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.35048896074295044,0.3819273114204407,0.4651523232460022,0.5203388929367065,0.22325944900512695,0.17707513272762299,0.2648297846317291,0.25732165575027466
would,0.45766422152519226,0.13977667689323425,0.3353942930698395,0.3100294768810272,0.5638198852539062,0.5854519605636597,0.5202695727348328,0.2155129313468933,0.16814836859703064,0.29806897044181824,0.37178951501846313
not,0.5449194312095642,0.2697264850139618,0.3307090103626251,0.3899572491645813,0.49270012974739075,0.9999999403953552,0.5788898468017578,0.26036396622657776,0.18740713596343994,0.38157403469085693,0.41942933201789856
be,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.40550696849823,0.5791122913360596,0.5788898468017578,1.0,0.29223719239234924,0.18061059713363647,0.2944406270980835,0.3324260413646698
civil,0.15091551840305328,0.05067194625735283,0.24698495864868164,0.14342966675758362,0.12476041913032532,0.18740713596343994,0.18061059713363647,0.17107661068439484,1.0,0.5442691445350647,0.1494513899087906
disobedience,0.3298627436161041,0.13337014615535736,0.31932318210601807,0.3194018602371216,0.15718160569667816,0.38157403469085693,0.2944406270980835,0.2624804377555847,0.5442691445350647,1.0,0.19890835881233215
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2255365252494812,0.3139454126358032,0.3769696354866028,0.39254459738731384,0.23475953936576843,0.24795588850975037,0.2878543734550476,0.31091248989105225
since,0.29783400893211365,0.17056550085544586,0.35513219237327576,0.2078118622303009,0.24201272428035736,0.3510459065437317,0.3591734766960144,0.21342647075653076,0.1963212639093399,0.12802569568157196,0.2876587212085724
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3487054407596588,0.312528520822525,0.4310511648654938,0.4248143136501312,0.21220806241035461,0.2477465271949768,0.30963727831840515,0.22068053483963013
head,0.18919230997562408,0.12339848279953003,0.2945564389228821,0.25609108805656433,0.16802345216274261,0.14797358214855194,0.1369733065366745,0.057668112218379974,0.05735510215163231,0.11627155542373657,0.10879309475421906
of,0.33290785551071167,0.18112817406654358,1.0,0.27674683928489685,0.2603091299533844,0.3307090103626251,0.33904364705085754,0.2709019184112549,0.24698495864868164,0.31932318210601807,0.1826142966747284
government,0.28074538707733154,0.09938877820968628,0.3475167155265808,0.28458428382873535,0.15589569509029388,0.2722996473312378,0.22621913254261017,0.08388174325227737,0.30626749992370605,0.39617401361465454,0.18851417303085327
would,0.45766422152519226,0.13977667689323425,0.3353942930698395,0.3100294768810272,0.5638198852539062,0.5854519605636597,0.5202695727348328,0.2155129313468933,0.16814836859703064,0.29806897044181824,0.37178951501846313
be,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.40550696849823,0.5791122913360596,0.5788898468017578,1.0,0.29223719239234924,0.18061059713363647,0.2944406270980835,0.3324260413646698
acting,0.2151678204536438,0.09140794724225998,0.25130656361579895,0.21753224730491638,0.12127236276865005,0.18768973648548126,0.1656092256307602,0.04723106324672699,0.1544818878173828,0.23182977735996246,0.15597198903560638
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.23876774311065674,0.26527702808380127,0.3403114080429077,0.3481820821762085,0.1462014615535736,0.26466667652130127,0.3054615259170532,0.20430970191955566
her,0.2733216881752014,0.0933661162853241,0.27399197220802307,0.3520243167877197,0.18024058640003204,0.2477131187915802,0.23636701703071594,0.11870326101779938,0.17531102895736694,0.32259857654571533,0.20310723781585693
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.5162758231163025,0.5614996552467346,0.5119067430496216,0.5260903835296631,0.1632189303636551,0.12588919699192047,0.2553665041923523,0.32389625906944275
his,0.26976513862609863,0.0908033698797226,0.38364991545677185,0.3255678117275238,0.13348791003227234,0.2710725963115692,0.21738691627979279,0.2283250391483307,0.18942002952098846,0.3585605025291443,0.18075084686279297
capacity,0.16428391635417938,0.17697285115718842,0.21035969257354736,0.15046897530555725,0.2673025131225586,0.2549728453159332,0.22681169211864471,0.13927172124385834,0.06974108517169952,0.1605696976184845,0.17383241653442383
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.18760068714618683,0.3245031237602234,0.5105602741241455,0.5230465531349182,0.2434086799621582,0.18100082874298096,0.25773370265960693,0.27043893933296204
public,0.1729622185230255,0.15508520603179932,0.2391265481710434,0.27968519926071167,0.18920445442199707,0.20537999272346497,0.22898490726947784,0.17842896282672882,0.26383864879608154,0.3216745853424072,0.19872993230819702
official,0.18967986106872559,0.07963163405656815,0.2864961326122284,0.12744279205799103,0.08654596656560898,0.16867855191230774,0.10468355566263199,0.020425692200660706,0.1858832836151123,0.1414945125579834,0.18097688257694244
rather,0.3923804461956024,0.2488519549369812,0.3045461177825928,0.2889433801174164,0.41253453493118286,0.4821464419364929,0.4789743721485138,0.2221040576696396,0.1287601739168167,0.2947552800178528,0.3053998053073883
than,0.29388150572776794,0.21065692603588104,0.33036211133003235,0.2697990834712982,0.3532506823539734,0.3858577013015747,0.46516597270965576,0.13686655461788177,0.12293031066656113,0.1432173252105713,0.24917294085025787
private,0.16778090596199036,0.2055162489414215,0.18706899881362915,0.23713552951812744,0.15051504969596863,0.181801438331604,0.1834806501865387,0.10293056815862656,0.2123924046754837,0.25349682569503784,0.14389030635356903
citizen,0.20342512428760529,0.11922181397676468,0.19158314168453217,0.30903857946395874,0.0966789573431015,0.23211289942264557,0.1865282505750656,0.15671087801456451,0.20000368356704712,0.2703973650932312,0.1601516604423523
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.29091694951057434,0.35783761739730835,0.4824007451534271,0.4383580684661865,0.2074218988418579,0.2541380822658539,0.2603943943977356,0.4130953550338745
