,what,is,the,immune,system,of,the,brained,known,as,?
immune,0.2410416603088379,0.2092347890138626,0.21364226937294006,1.0,0.3962631821632385,0.16620753705501556,0.21364226937294006,0.33335721492767334,0.14558014273643494,0.17487213015556335,0.16080476343631744
system,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.25597915053367615,0.3233085572719574,0.14200152456760406,0.15005269646644592,0.1973835676908493,0.15556083619594574
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.13325795531272888,0.22092437744140625,0.4249346852302551,0.40150508284568787,0.19774527847766876,0.18996182084083557,0.3251767158508301,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,1.0,0.21364226937294006,0.3233085572719574,0.733189046382904,1.0,0.2734363377094269,0.3624623417854309,0.48381632566452026,0.22068053483963013
neuroimmune,0.23245127499103546,0.21804042160511017,0.2567606568336487,0.8182319402694702,0.33386150002479553,0.21686823666095734,0.2567606568336487,0.4408373236656189,0.18413229286670685,0.17262467741966248,0.15523016452789307
system,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.25597915053367615,0.3233085572719574,0.14200152456760406,0.15005269646644592,0.1973835676908493,0.15556083619594574
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.3153325319290161,0.37390631437301636,0.5011631846427917,0.6521818041801453,0.28525593876838684,0.30223485827445984,0.41006597876548767,0.25814583897590637
protects,0.20048509538173676,0.25626903772354126,0.27843186259269714,0.2820536196231842,0.22980353236198425,0.2526929974555969,0.27843186259269714,0.20344771444797516,0.1190793588757515,0.20047512650489807,0.15145233273506165
the,0.42745697498321533,0.5823672413825989,1.0,0.21364226937294006,0.3233085572719574,0.733189046382904,1.0,0.2734363377094269,0.3624623417854309,0.48381632566452026,0.22068053483963013
brain,0.26156795024871826,0.21082638204097748,0.25109198689460754,0.3895399272441864,0.1890234649181366,0.2293534129858017,0.25109198689460754,0.6897464394569397,0.16710898280143738,0.15617339313030243,0.17415454983711243
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18267881870269775,0.2277725487947464,0.5352458953857422,0.5934505462646484,0.3147922158241272,0.283290296792984,0.515582263469696,0.4130953550338745
