,what,did,article,12,of,the,allied,armistice,terms,require,germany,to,withdraw,from,?
areas,0.23739881813526154,0.19908885657787323,0.19890041649341583,0.2019481658935547,0.2803763747215271,0.3311663568019867,0.22921797633171082,0.15083765983581543,0.22396878898143768,0.2701876759529114,0.19194573163986206,0.29808273911476135,0.1781839281320572,0.1950436532497406,0.1273590475320816
controlled,0.24713590741157532,0.22843453288078308,0.08926144987344742,0.1321970373392105,0.2840180993080139,0.3320712745189667,0.3714991509914398,0.23294998705387115,0.1893962323665619,0.2002139538526535,0.1995871216058731,0.20715226233005524,0.17767953872680664,0.19285579025745392,0.1105743944644928
by,0.2455483376979828,0.18574509024620056,0.22247393429279327,0.1047397255897522,0.3646814823150635,0.4408751428127289,0.2763651907444,0.2034279704093933,0.15830418467521667,0.13001477718353271,0.22670169174671173,0.33534231781959534,0.10126104205846786,0.3373257517814636,0.17966607213020325
russia,0.1695178896188736,0.15303444862365723,0.20035845041275024,0.14662791788578033,0.23331232368946075,0.2746676802635193,0.22791580855846405,0.3083757758140564,0.1585264801979065,0.12007017433643341,0.40865954756736755,0.2318052053451538,0.1820138394832611,0.14788632094860077,0.13907001912593842
in,0.30808621644973755,0.2593238651752472,0.26153311133384705,0.18516430258750916,0.5696388483047485,0.6662389636039734,0.2222563773393631,0.30668944120407104,0.2410934716463089,0.14079172909259796,0.3642844259738922,0.45010748505592346,0.19440212845802307,0.4274188280105591,0.20430970191955566
1914,0.111264169216156,0.04601496458053589,0.14696446061134338,0.1149122565984726,0.08154571056365967,0.04474614933133125,0.042881980538368225,0.028433257713913918,0.17897756397724152,0.2319776713848114,0.08267984539270401,0.07202267646789551,0.07309862226247787,0.05525241419672966,0.14893388748168945
",",0.3087472915649414,0.3015086054801941,0.28605279326438904,0.20046983659267426,0.4946078956127167,0.4933079481124878,0.23362615704536438,0.2557834982872009,0.26854002475738525,0.20549376308918,0.2898865044116974,0.44245919585227966,0.25808754563331604,0.39760664105415344,0.31091248989105225
which,0.5261979103088379,0.2750149369239807,0.3171063959598541,0.28720608353614807,0.5011631846427917,0.6521818041801453,0.23151446878910065,0.24259121716022491,0.29791849851608276,0.28661149740219116,0.2479574829339981,0.5345056653022766,0.1819046437740326,0.38755592703819275,0.25814583897590637
included,0.2288810908794403,0.32908451557159424,0.2360212802886963,0.10549725592136383,0.4391688108444214,0.3825419843196869,0.18174703419208527,0.14554272592067719,0.18182408809661865,0.17174102365970612,0.1641247719526291,0.2322428971529007,0.2207941859960556,0.2588649094104767,0.14385655522346497
warsaw,0.10373849421739578,0.1939365565776825,0.12941591441631317,0.05280681699514389,0.19253842532634735,0.23137180507183075,0.3166915476322174,0.32465294003486633,0.07498738169670105,0.13138020038604736,0.39102694392204285,0.1953994333744049,0.2263055294752121,0.2396499514579773,0.09769917279481888
.,0.3567904531955719,0.35288307070732117,0.30669885873794556,0.20240069925785065,0.5352458953857422,0.5934505462646484,0.21829432249069214,0.24849769473075867,0.24108539521694183,0.21465444564819336,0.28498756885528564,0.4645031690597534,0.1888546496629715,0.41536515951156616,0.4130953550338745
