,other,theories,of,the,word,'s,origin,can,be,generally,classed,as,what,?
",",0.4446498453617096,0.18424807488918304,0.4946078956127167,0.4933079481124878,0.24605005979537964,-0.0016132977325469255,0.2943580448627472,0.3139454126358032,0.39254459738731384,0.29679131507873535,0.25329262018203735,0.48816442489624023,0.3087472915649414,0.31091248989105225
it,0.36282607913017273,0.19407780468463898,0.38761502504348755,0.6251175999641418,0.27098557353019714,0.06608816236257553,0.1992073655128479,0.3819273114204407,0.5203388929367065,0.43426820635795593,0.252090722322464,0.4461488723754883,0.45803478360176086,0.25732165575027466
must,0.33371371030807495,0.14639081060886383,0.24322323501110077,0.2713140547275543,0.16075223684310913,-0.018240178003907204,0.13328102231025696,0.6161077618598938,0.4737209677696228,0.3848460912704468,0.12104475498199463,0.2723003923892975,0.30362528562545776,0.23707495629787445
have,0.559082567691803,0.31020575761795044,0.3802283704280853,0.40389683842658997,0.2115316241979599,-0.02807004563510418,0.20022007822990417,0.5489245653152466,0.5760743618011475,0.49163123965263367,0.3077247142791748,0.37788212299346924,0.39808809757232666,0.32991164922714233
originated,0.22997425496578217,0.20268145203590393,0.27252769470214844,0.3238855004310608,0.3250386118888855,-0.016868088394403458,0.5733585953712463,0.13971340656280518,0.19408018887043,0.317804753780365,0.277967631816864,0.25587335228919983,0.17986609041690826,0.11205674707889557
in,0.39989137649536133,0.1867285519838333,0.5696388483047485,0.6662389636039734,0.19815877079963684,-0.037580832839012146,0.25708678364753723,0.26527702808380127,0.3481820821762085,0.28190043568611145,0.2289372831583023,0.3887844979763031,0.30808621644973755,0.20430970191955566
the,0.44152235984802246,0.24012529850006104,0.733189046382904,1.0,0.2835540175437927,-0.01540423184633255,0.24161343276500702,0.312528520822525,0.4248143136501312,0.41466525197029114,0.23143306374549866,0.48381632566452026,0.42745697498321533,0.22068053483963013
french,0.21225492656230927,0.15169787406921387,0.19450366497039795,0.2555147111415863,0.24176479876041412,0.0634014755487442,0.13492035865783691,0.17886103689670563,0.1628347784280777,0.27812209725379944,0.14039964973926544,0.20159029960632324,0.17393042147159576,0.1386883556842804
language,0.2782444357872009,0.2043060064315796,0.25272229313850403,0.30198320746421814,0.35809168219566345,-0.03558342531323433,0.2769067585468292,0.18375475704669952,0.2154676616191864,0.20891037583351135,0.2776123583316803,0.2037375271320343,0.28220435976982117,0.25349316000938416
.,0.41511186957359314,0.18147483468055725,0.5352458953857422,0.5934505462646484,0.13155406713485718,-0.003708066651597619,0.21880026161670685,0.35783761739730835,0.4383580684661865,0.3124077022075653,0.26270970702171326,0.515582263469696,0.3567904531955719,0.4130953550338745
