,what,did,neoclassical,economics,view,the,inequality,in,the,distribution,of,income,as,being,from,?
arising,0.31933221220970154,0.2197093516588211,0.2910117506980896,0.2130919098854065,0.12120313942432404,0.30971670150756836,0.4022027254104614,0.26313790678977966,0.30971670150756836,0.29976221919059753,0.3256460726261139,0.21548902988433838,0.2276328206062317,0.305515855550766,0.23872226476669312,0.14599399268627167
from,0.2737620174884796,0.20248863101005554,0.17083163559436798,0.17973090708255768,0.2224287986755371,0.40150508284568787,0.06381086260080338,0.4274188280105591,0.40150508284568787,0.13387413322925568,0.4249346852302551,0.17458222806453705,0.3251767158508301,0.32622846961021423,1.0,0.19969791173934937
differences,0.3500737249851227,0.2688239514827728,0.27367180585861206,0.21858517825603485,0.24368278682231903,0.323578417301178,0.43724584579467773,0.23158365488052368,0.323578417301178,0.3135932385921478,0.3115874230861664,0.3093383312225342,0.232157364487648,0.2668376863002777,0.16522116959095,0.20399115979671478
in,0.30808621644973755,0.2593238651752472,0.25486958026885986,0.19117838144302368,0.17477142810821533,0.6662389636039734,0.19402410089969635,1.0,0.6662389636039734,0.23537677526474,0.5696388483047485,0.1795814335346222,0.3887844979763031,0.33162933588027954,0.4274188280105591,0.20430970191955566
value,0.24056871235370636,0.1280398815870285,0.20353306829929352,0.25712546706199646,0.16200894117355347,0.16908381879329681,0.33105677366256714,0.12795600295066833,0.16908381879329681,0.21557684242725372,0.14933855831623077,0.3184899091720581,0.1832757443189621,0.22629694640636444,0.19919884204864502,0.23920650780200958
added,0.23789235949516296,0.2065255343914032,0.2059325873851776,0.03874392434954643,0.10933637619018555,0.3207796514034271,0.19223667681217194,0.26384392380714417,0.3207796514034271,0.07134811580181122,0.2879071831703186,0.2154298573732376,0.2611570656299591,0.2547604739665985,0.23234812915325165,0.2865637540817261
by,0.2455483376979828,0.18574509024620056,0.16767112910747528,0.08690246939659119,0.1928447186946869,0.4408751428127289,0.17648567259311676,0.370934396982193,0.4408751428127289,0.20363955199718475,0.3646814823150635,0.17474129796028137,0.3815547823905945,0.4690866470336914,0.3373257517814636,0.17966607213020325
labor,0.1943984031677246,0.15270835161209106,0.21402229368686676,0.30948761105537415,0.06194692477583885,0.21506793797016144,0.3555051386356354,0.1950610727071762,0.21506793797016144,0.1787242591381073,0.23769748210906982,0.28508612513542175,0.19227024912834167,0.25403913855552673,0.1662713587284088,0.19386747479438782
",",0.3087472915649414,0.3015086054801941,0.2799804210662842,0.25434449315071106,0.216712087392807,0.4933079481124878,0.21822890639305115,0.5201468467712402,0.4933079481124878,0.20136328041553497,0.4946078956127167,0.19703416526317596,0.48816442489624023,0.34499165415763855,0.39760664105415344,0.31091248989105225
capital,0.17967931926250458,0.08427972346544266,0.25211235880851746,0.2382006198167801,0.1341249644756317,0.3049491047859192,0.24214337766170502,0.3233928978443146,0.3049491047859192,0.1564399003982544,0.30823585391044617,0.2837882339954376,0.19028405845165253,0.18257801234722137,0.22938302159309387,0.0907452180981636
and,0.31309178471565247,0.34479495882987976,0.2951921820640564,0.1880827248096466,0.19056165218353271,0.5171257257461548,0.2590520679950714,0.4954058527946472,0.5171257257461548,0.24142658710479736,0.5116966962814331,0.2518245577812195,0.49487000703811646,0.4286794066429138,0.3601827025413513,0.20544172823429108
land,0.23411516845226288,0.19881628453731537,0.10989466309547424,0.13977524638175964,0.1087416410446167,0.28587454557418823,0.1743047684431076,0.22871792316436768,0.28587454557418823,0.14506350457668304,0.3057127296924591,0.23736657202243805,0.17944268882274628,0.17167697846889496,0.21997374296188354,0.1432059109210968
.,0.3567904531955719,0.35288307070732117,0.2495717704296112,0.21271969377994537,0.23733025789260864,0.5934505462646484,0.22563500702381134,0.5591574311256409,0.5934505462646484,0.22641029953956604,0.5352458953857422,0.26448529958724976,0.515582263469696,0.35574623942375183,0.41536515951156616,0.4130953550338745
