,what,university,won,the,award,for,most,it,enabled,organisation,?
the,0.42745697498321533,0.263973206281662,0.29432493448257446,1.0,0.24073810875415802,0.4739971458911896,0.47635307908058167,0.6251175999641418,0.2653752565383911,0.30151131749153137,0.22068053483963013
uk-wide,0.2301521748304367,0.24773429334163666,0.2226654440164566,0.294392853975296,0.19002553820610046,0.36748671531677246,0.2801743447780609,0.27434372901916504,0.2772197425365448,0.26733919978141785,0.23733069002628326
process,0.3466717302799225,0.17458944022655487,0.14811323583126068,0.264274537563324,0.11237162351608276,0.3253439664840698,0.16820742189884186,0.2984703481197357,0.2393236756324768,0.22081856429576874,0.2460896074771881
in,0.30808621644973755,0.3201795518398285,0.3280489146709442,0.6662389636039734,0.23376452922821045,0.4322226941585541,0.41416558623313904,0.5130809545516968,0.14037327468395233,0.2344132661819458,0.20430970191955566
which,0.5261979103088379,0.17800195515155792,0.15727952122688293,0.6521818041801453,0.1813640147447586,0.44095608592033386,0.4637843072414398,0.616637647151947,0.2803603410720825,0.3266444802284241,0.25814583897590637
polytechnics,0.18467584252357483,0.6250408291816711,0.2533436417579651,0.23532158136367798,0.2211892455816269,0.2227172553539276,0.14016547799110413,0.20178799331188202,0.1550552248954773,0.2909562289714813,0.15221326053142548
became,0.1434093862771988,0.25457096099853516,0.3002188503742218,0.36325156688690186,0.2082284688949585,0.3017078936100006,0.3429205119609833,0.21312855184078217,0.1905304342508316,0.21587280929088593,0.11374033987522125
new,0.2130378633737564,0.23094747960567474,0.2143559455871582,0.3845241069793701,0.2173667699098587,0.2700757384300232,0.23625826835632324,0.23156195878982544,0.2650352418422699,0.15244820713996887,0.14782847464084625
universities,0.1630716770887375,0.6843494176864624,0.23252157866954803,0.2619408071041107,0.22076056897640228,0.2253284901380539,0.27189359068870544,0.23677049577236176,0.13884195685386658,0.2676578164100647,0.16836881637573242
.,0.3567904531955719,0.290679007768631,0.3011801838874817,0.5934505462646484,0.21118880808353424,0.4726039469242096,0.35404038429260254,0.5593622326850891,0.24664264917373657,0.21705670654773712,0.4130953550338745
