,where,does,the,gold,in,the,parliamentary,mace,come,from,?
words,0.26497095823287964,0.27135950326919556,0.29205581545829773,0.19036276638507843,0.20740897953510284,0.29205581545829773,0.17685754597187042,0.16237512230873108,0.2763379216194153,0.21781869232654572,0.27074310183525085
:,-0.012972540222108364,-0.11934193223714828,-0.03403344005346298,0.21270346641540527,0.020521078258752823,-0.03403344005346298,0.015653613954782486,0.04092516750097275,-0.10669418424367905,-0.056502215564250946,-0.07156077772378922
wisdom,0.09331639856100082,0.23574285209178925,0.15685300529003143,0.08802908658981323,0.1387331187725067,0.15685300529003143,0.2142893522977829,0.22983551025390625,0.20292682945728302,0.12741594016551971,0.20659728348255157
",",0.3149496018886566,0.28617382049560547,0.4933079481124878,0.28787803649902344,0.5201468467712402,0.4933079481124878,0.23071794211864471,0.2637544572353363,0.350309282541275,0.39760664105415344,0.31091248989105225
compassion,0.19795148074626923,0.18661420047283173,0.17049308121204376,0.16197624802589417,0.17211677134037018,0.17049308121204376,0.1376885026693344,0.17766869068145752,0.2322622388601303,0.10663989186286926,0.17932067811489105
",",0.3149496018886566,0.28617382049560547,0.4933079481124878,0.28787803649902344,0.5201468467712402,0.4933079481124878,0.23071794211864471,0.2637544572353363,0.350309282541275,0.39760664105415344,0.31091248989105225
justice,0.10197398066520691,0.16091451048851013,0.23470892012119293,0.09573038667440414,0.2678598463535309,0.23470892012119293,0.31965479254722595,0.15863129496574402,0.12336169183254242,0.1659262329339981,0.19269752502441406
and,0.43859338760375977,0.3461615741252899,0.5171257257461548,0.26129499077796936,0.4954058527946472,0.5171257257461548,0.30461975932121277,0.24771526455879211,0.3412281572818756,0.3601827025413513,0.20544172823429108
integrity,0.14294983446598053,0.32800737023353577,0.2173859030008316,0.08102189004421234,0.15077632665634155,0.2173859030008316,0.26694485545158386,0.20061272382736206,0.1408296376466751,0.1471531093120575,0.25075602531433105
.,0.41390106081962585,0.3022993505001068,0.5934505462646484,0.22364865243434906,0.5591574311256409,0.5934505462646484,0.21747009456157684,0.2058405876159668,0.2866859436035156,0.41536515951156616,0.4130953550338745
