,how,many,years,has,thomas,davis,played,in,the,nfl,?
tears,0.21516187489032745,0.1341075897216797,0.1704578846693039,0.124446801841259,0.1445273607969284,0.3043578565120697,0.1262606978416443,0.1449623852968216,0.24051350355148315,0.2144007831811905,0.15044362843036652
in,0.2601168751716614,0.41474202275276184,0.33554986119270325,0.4173259735107422,0.21133768558502197,0.20000724494457245,0.27605336904525757,1.0,0.6662389636039734,0.12599408626556396,0.20430970191955566
his,0.24614305794239044,0.3188176155090332,0.3523389995098114,0.2611220180988312,0.20028819143772125,0.2677081823348999,0.2874697744846344,0.3598145842552185,0.4394008219242096,0.19130797684192657,0.18075084686279297
career,0.1729160100221634,0.23794417083263397,0.3634036183357239,0.23928461968898773,0.14576682448387146,0.2350463569164276,0.39179107546806335,0.2564375698566437,0.19230268895626068,0.28315049409866333,0.1300809234380722
",",0.22659391164779663,0.40610817074775696,0.2589467465877533,0.3734780251979828,0.25079426169395447,0.31438660621643066,0.2987361550331116,0.5201468467712402,0.4933079481124878,0.18939071893692017,0.31091248989105225
went,0.18771818280220032,0.24444319307804108,0.3474752604961395,0.20773717761039734,0.17632891237735748,0.21859696507453918,0.30585214495658875,0.30470821261405945,0.3345835506916046,0.22023487091064453,0.12109432369470596
down,0.26204726099967957,0.2625267207622528,0.1730455905199051,0.2167075276374817,0.05717531591653824,0.1249653697013855,0.10023975372314453,0.2321847528219223,0.3325848877429962,0.09508579224348068,0.13836295902729034
with,0.3525622487068176,0.35744401812553406,0.21224987506866455,0.44092974066734314,0.1763175129890442,0.2030765265226364,0.24504201114177704,0.4080928862094879,0.4223487675189972,0.18521657586097717,0.2433311939239502
a,0.29312583804130554,0.2872205972671509,0.23773819208145142,0.4670248031616211,0.19268037378787994,0.19002141058444977,0.2472371906042099,0.539380669593811,0.5829201340675354,0.1210956797003746,0.23916715383529663
broken,0.2515953481197357,0.24468004703521729,0.1340426504611969,0.20356707274913788,0.11344966292381287,0.1776810586452484,0.18512186408042908,0.19177721440792084,0.27700477838516235,0.13276606798171997,0.1915387511253357
arm,0.214129239320755,0.1505536288022995,0.1866956651210785,0.16703005135059357,0.09396518021821976,0.11847760528326035,0.09340140968561172,0.17881454527378082,0.2214433252811432,0.08087798953056335,0.12539196014404297
in,0.2601168751716614,0.41474202275276184,0.33554986119270325,0.4173259735107422,0.21133768558502197,0.20000724494457245,0.27605336904525757,1.0,0.6662389636039734,0.12599408626556396,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.4177538752555847,0.23505409061908722,0.25552070140838623,0.2603478729724884,0.6662389636039734,1.0,0.15305201709270477,0.22068053483963013
nfc,0.11678441613912582,0.15288913249969482,0.19307491183280945,0.2293403595685959,0.16319149732589722,0.21527732908725739,0.30143943428993225,0.20630285143852234,0.2545439600944519,0.6547905206680298,0.15073348581790924
championship,0.10684323310852051,0.16601915657520294,0.18705837428569794,0.161984384059906,0.1911715567111969,0.19010725617408752,0.26827722787857056,0.20047812163829803,0.2540402412414551,0.35121360421180725,0.1390383541584015
game,0.215279221534729,0.21957436203956604,0.19361822307109833,0.1961202621459961,0.15256451070308685,0.14556019008159637,0.3575804531574249,0.23986028134822845,0.285271555185318,0.3143478333950043,0.1829071193933487
.,0.3287222981452942,0.3974229395389557,0.31919315457344055,0.4105546176433563,0.2580391466617584,0.27705830335617065,0.2876244783401489,0.5591574311256409,0.5934505462646484,0.1964210718870163,0.4130953550338745
