,what,was,the,occupation,of,joseph,priestley,?
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28664809465408325,0.4946078956127167,0.24271315336227417,0.31705740094184875,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.1374589055776596,0.5011631846427917,0.15187451243400574,0.1921611726284027,0.25814583897590637
liberated,0.18041864037513733,0.3377783000469208,0.2949730455875397,0.27031782269477844,0.2821413278579712,0.2049069106578827,0.13186605274677277,0.1415107548236847
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.22733436524868011,0.5052502155303955,0.14221104979515076,0.22067803144454956,0.23916715383529663
gas,0.20887799561023712,0.14390388131141663,0.2339978665113449,0.08479070663452148,0.21246914565563202,0.1297583281993866,0.26362451910972595,0.1582372784614563
he,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.2789508104324341,0.38706058263778687,0.2306143343448639,0.266123503446579,0.2089974731206894
named,0.1525408923625946,0.37528327107429504,0.3521348536014557,0.09042869508266449,0.2820465862751007,0.19217096269130707,0.16053922474384308,0.1297498345375061
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.06181696802377701,0.06780257821083069,0.05290113389492035,0.047525160014629364,0.0685480609536171
dephlogisticated,0.3631604015827179,0.27498385310173035,0.332061231136322,0.2354259043931961,0.2802516520023346,0.23692898452281952,0.2309311181306839,0.26290395855903625
air,0.10361403971910477,0.18898457288742065,0.2877824306488037,0.16622793674468994,0.24196814000606537,0.11184155195951462,0.1520727127790451,0.1491677612066269
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,0.023654505610466003,0.13035868108272552,0.011200549080967903,-0.0494694858789444,0.018684765323996544
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.20114995539188385,0.5352458953857422,0.2262967973947525,0.24535804986953735,0.4130953550338745
