,what,is,the,term,for,the,set,of,all,connected,graphs,related,to,this,decision,problem,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.4739971458911896,1.0,0.2927955985069275,0.733189046382904,0.4860881567001343,0.31369513273239136,0.12824366986751556,0.26962998509407043,0.535392165184021,0.6274310946464539,0.2905151844024658,0.24928659200668335,0.22068053483963013
set,0.28954121470451355,0.21148966252803802,0.2927955985069275,0.14762160181999207,0.30194196105003357,0.2927955985069275,1.0000001192092896,0.20671486854553223,0.2930283844470978,0.15504050254821777,0.23891744017601013,0.1918087601661682,0.320547491312027,0.2594413459300995,0.2110053151845932,0.18448755145072937,0.1698019951581955
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.26047757267951965,0.4185989499092102,0.733189046382904,0.20671486854553223,1.0,0.42798417806625366,0.2951911687850952,0.16268819570541382,0.2691357135772705,0.41548454761505127,0.45148900151252747,0.2331373691558838,0.20464475452899933,0.1826142966747284
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.1779089868068695,0.41144001483917236,0.4860881567001343,0.2930283844470978,0.42798417806625366,1.0000001192092896,0.22835172712802887,0.2273882031440735,0.25958722829818726,0.42520734667778015,0.4746263027191162,0.2559996545314789,0.2699645459651947,0.29575422406196594
connected,0.21880124509334564,0.2791581451892853,0.31369513273239136,0.17990948259830475,0.11114766448736191,0.31369513273239136,0.15504050254821777,0.2951911687850952,0.22835172712802887,1.0,0.20768330991268158,0.29431137442588806,0.2315610647201538,0.26699262857437134,0.14785709977149963,0.27176785469055176,0.11086785048246384
graphs—of,0.2422325164079666,0.15666155517101288,0.14577226340770721,0.07997042685747147,0.19371478259563446,0.14577226340770721,0.24749602377414703,0.17952989041805267,0.19641102850437164,0.2112875133752823,0.9359315037727356,0.2066187858581543,0.16572226583957672,0.18436387181282043,0.13901086151599884,0.284902960062027,0.2299243062734604
course,0.3412042260169983,0.2551652491092682,0.32268625497817993,0.21882088482379913,0.29164767265319824,0.32268625497817993,0.15087856352329254,0.2579863667488098,0.3429678678512573,0.1275411993265152,0.2653470039367676,0.16090400516986847,0.30525898933410645,0.3177582323551178,0.31930142641067505,0.29257017374038696,0.28826573491096497
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4464869201183319,0.4933079481124878,0.24912182986736298,0.4946078956127167,0.425624817609787,0.2201492041349411,0.2486734241247177,0.28963401913642883,0.44245919585227966,0.4316047728061676,0.2818170189857483,0.23938199877738953,0.31091248989105225
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.3310292959213257,0.4451248347759247,0.535392165184021,0.320547491312027,0.41548454761505127,0.42520734667778015,0.2315610647201538,0.17534662783145905,0.2702969014644623,1.0,0.5759071707725525,0.35372841358184814,0.2502208352088928,0.29463258385658264
obtain,0.18337780237197876,0.18897517025470734,0.21407602727413177,0.15748411417007446,0.3283756673336029,0.21407602727413177,0.16452045738697052,0.22279390692710876,0.2169935256242752,0.1413344144821167,0.16025181114673615,0.09029330313205719,0.34578439593315125,0.26885178685188293,0.22391997277736664,0.28781819343566895,0.15655191242694855
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3080509603023529,0.44038116931915283,0.5829201340675354,0.2540091574192047,0.5052502155303955,0.2696802616119385,0.24938417971134186,0.15013502538204193,0.21209308505058289,0.45503583550453186,0.5422310829162598,0.24091263115406036,0.2605542540550232,0.23916715383529663
precise,0.3571929335594177,0.2903004288673401,0.32124680280685425,0.28555625677108765,0.3296433389186859,0.32124680280685425,0.25533896684646606,0.25493818521499634,0.29264527559280396,0.16204074025154114,0.3447142243385315,0.2022697478532791,0.3345707058906555,0.44095146656036377,0.31217142939567566,0.3555511236190796,0.20396026968955994
definition,0.330344021320343,0.29006320238113403,0.23176956176757812,0.46864309906959534,0.2789401710033417,0.23176956176757812,0.24984553456306458,0.24912455677986145,0.2517015039920807,0.18016724288463593,0.2758615016937256,0.2575853168964386,0.2924377918243408,0.4188881516456604,0.25928395986557007,0.3731999695301056,0.2796523869037628
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.26047757267951965,0.4185989499092102,0.733189046382904,0.20671486854553223,1.0,0.42798417806625366,0.2951911687850952,0.16268819570541382,0.2691357135772705,0.41548454761505127,0.45148900151252747,0.2331373691558838,0.20464475452899933,0.1826142966747284
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.3113332986831665,0.5082864165306091,0.6274310946464539,0.2594413459300995,0.45148900151252747,0.4746263027191162,0.26699262857437134,0.15332283079624176,0.30619826912879944,0.5759071707725525,0.9999999403953552,0.34536606073379517,0.3937966227531433,0.3155723512172699
language,0.28220435976982117,0.270936518907547,0.30198320746421814,0.18367575109004974,0.23522019386291504,0.30198320746421814,0.20526351034641266,0.25272229313850403,0.25972840189933777,0.16592396795749664,0.19709882140159607,0.28333985805511475,0.2763397693634033,0.3046613335609436,0.19254478812217712,0.2543520927429199,0.25349316000938416
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4464869201183319,0.4933079481124878,0.24912182986736298,0.4946078956127167,0.425624817609787,0.2201492041349411,0.2486734241247177,0.28963401913642883,0.44245919585227966,0.4316047728061676,0.2818170189857483,0.23938199877738953,0.31091248989105225
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.20483051240444183,0.384836345911026,0.5514441132545471,0.25091665983200073,0.4999135136604309,0.4628787636756897,0.31486016511917114,0.21618422865867615,0.20510397851467133,0.4025384783744812,0.4978463351726532,0.25143271684646606,0.36451512575149536,0.2673267424106598
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.1874341368675232,0.450642853975296,0.4177538752555847,0.128098264336586,0.3909035325050354,0.3343993127346039,0.23421478271484375,0.12092852592468262,0.19256064295768738,0.3619994819164276,0.4198763072490692,0.19688548147678375,0.19944548606872559,0.15994466841220856
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.3310292959213257,0.4451248347759247,0.535392165184021,0.320547491312027,0.41548454761505127,0.42520734667778015,0.2315610647201538,0.17534662783145905,0.2702969014644623,1.0,0.5759071707725525,0.35372841358184814,0.2502208352088928,0.29463258385658264
decide,0.4684337377548218,0.2671701908111572,0.35331496596336365,0.214307963848114,0.30473530292510986,0.35331496596336365,0.30571448802948,0.2682307958602905,0.3471519649028778,0.2039288878440857,0.10823366791009903,0.14885883033275604,0.4438391625881195,0.3570045530796051,0.5564746856689453,0.2751822769641876,0.35001131892204285
how,0.6468034982681274,0.22544461488723755,0.33890387415885925,0.23617766797542572,0.3308170735836029,0.33890387415885925,0.2561637759208679,0.2480744868516922,0.3725806474685669,0.18171964585781097,0.3004567325115204,0.2974514663219452,0.44169697165489197,0.45272302627563477,0.30215373635292053,0.4059199392795563,0.4024120569229126
graphs,0.23150402307510376,0.11647754162549973,0.12824366986751556,0.075711190700531,0.1807745397090912,0.12824366986751556,0.23891744017601013,0.16268819570541382,0.2273882031440735,0.20768330991268158,1.0000001192092896,0.20179954171180725,0.17534662783145905,0.15332283079624176,0.10603778809309006,0.25099992752075195,0.2068129926919937
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.1909082531929016,0.3895993232727051,0.40399202704429626,0.2029329091310501,0.39081433415412903,0.5343062281608582,0.33255407214164734,0.30241164565086365,0.30353736877441406,0.3504326641559601,0.35762670636177063,0.1736466884613037,0.2619974911212921,0.24591213464736938
encoded,0.22943362593650818,0.22683162987232208,0.26610639691352844,0.15511824190616608,0.23614276945590973,0.26610639691352844,0.2752436101436615,0.27301374077796936,0.255666583776474,0.29025161266326904,0.3291965126991272,0.22256840765476227,0.18420244753360748,0.3268239200115204,0.2094501554965973,0.2856377363204956,0.19836890697479248
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.3224089443683624,0.44774648547172546,0.48381632566452026,0.1714126169681549,0.3886612355709076,0.33195313811302185,0.12269873917102814,0.18652178347110748,0.21037456393241882,0.42092081904411316,0.43993282318115234,0.21492452919483185,0.2586832344532013,0.27043893933296204
binary,0.21848982572555542,0.25599268078804016,0.18260802328586578,0.23799870908260345,0.18189434707164764,0.18260802328586578,0.24855168163776398,0.21468596160411835,0.26897168159484863,0.27136704325675964,0.3105877637863159,0.20414379239082336,0.2343311607837677,0.3104044497013092,0.17150086164474487,0.2855033874511719,0.16258445382118225
strings,0.19280186295509338,0.16193276643753052,0.19122597575187683,0.08408518135547638,0.20962929725646973,0.19122597575187683,0.21021375060081482,0.15250706672668457,0.2631756365299225,0.19222204387187958,0.30325186252593994,0.08576540648937225,0.20373444259166718,0.26826223731040955,0.1949271708726883,0.15161927044391632,0.16539564728736877
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18456575274467468,0.4726039469242096,0.5934505462646484,0.2928885817527771,0.5352458953857422,0.43406882882118225,0.2379520833492279,0.22669817507266998,0.21688014268875122,0.4645031690597534,0.500583827495575,0.3103445768356323,0.22562150657176971,0.4130953550338745
,what,is,the,term,for,the,set,of,all,connected,graphs,related,to,this,decision,problem,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.4739971458911896,1.0,0.2927955985069275,0.733189046382904,0.4860881567001343,0.31369513273239136,0.12824366986751556,0.26962998509407043,0.535392165184021,0.6274310946464539,0.2905151844024658,0.24928659200668335,0.22068053483963013
problem,0.42183366417884827,0.23238427937030792,0.24928659200668335,0.21863089501857758,0.2661307752132416,0.24928659200668335,0.18448755145072937,0.20464475452899933,0.2699645459651947,0.27176785469055176,0.25099992752075195,0.20168086886405945,0.2502208352088928,0.3937966227531433,0.31341657042503357,1.0,0.3762950301170349
consists,0.11367427557706833,0.43405216932296753,0.3362659811973572,0.22009800374507904,0.260900616645813,0.3362659811973572,0.19740991294384003,0.41510096192359924,0.25899070501327515,0.3095484673976898,0.17230936884880066,0.19190259277820587,0.18391861021518707,0.2692156732082367,0.08479568362236023,0.10090985894203186,-0.004641483072191477
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27866655588150024,0.4322226941585541,0.6662389636039734,0.2663729190826416,0.5696388483047485,0.3335905969142914,0.28792381286621094,0.10934894531965256,0.2638801634311676,0.45010748505592346,0.45205554366111755,0.2212151288986206,0.16969570517539978,0.20430970191955566
deciding,0.49117511510849,0.2710453271865845,0.3702850043773651,0.23934201896190643,0.3686079680919647,0.3702850043773651,0.3160799443721771,0.27506932616233826,0.3233870565891266,0.11754972487688065,0.14076916873455048,0.16100487112998962,0.43669191002845764,0.38205236196517944,0.5507588386535645,0.3364432454109192,0.3707043528556824
whether,0.5516265630722046,0.30252501368522644,0.3211745023727417,0.2710357904434204,0.3131474554538727,0.3211745023727417,0.284811407327652,0.24392437934875488,0.30321305990219116,0.2093360871076584,0.15008527040481567,0.21559982001781464,0.43423423171043396,0.43044182658195496,0.382889062166214,0.39455604553222656,0.3150278329849243
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.4739971458911896,1.0,0.2927955985069275,0.733189046382904,0.4860881567001343,0.31369513273239136,0.12824366986751556,0.26962998509407043,0.535392165184021,0.6274310946464539,0.2905151844024658,0.24928659200668335,0.22068053483963013
given,0.21883496642112732,0.249215230345726,0.37508252263069153,0.1996779888868332,0.44294488430023193,0.37508252263069153,0.25759026408195496,0.39388060569763184,0.2496354579925537,0.15345436334609985,0.12907905876636505,0.1781032681465149,0.3428947925567627,0.36582374572753906,0.23238156735897064,0.2566664516925812,0.2570464313030243
graph,0.2775743007659912,0.2441651076078415,0.26083993911743164,0.17671988904476166,0.16102299094200134,0.26083993911743164,0.26309970021247864,0.24485914409160614,0.2166847586631775,0.2986330986022949,0.6928385496139526,0.16041885316371918,0.19438183307647705,0.25881490111351013,0.16804124414920807,0.32991036772727966,0.20263607800006866
is,0.28837618231773376,1.0,0.5823672413825989,0.270183801651001,0.43268078565597534,0.5823672413825989,0.21148966252803802,0.4854315221309662,0.2553904056549072,0.2791581451892853,0.11647754162549973,0.20549555122852325,0.42745086550712585,0.480927973985672,0.2514069080352783,0.23238427937030792,0.22961433231830597
connected,0.21880124509334564,0.2791581451892853,0.31369513273239136,0.17990948259830475,0.11114766448736191,0.31369513273239136,0.15504050254821777,0.2951911687850952,0.22835172712802887,1.0,0.20768330991268158,0.29431137442588806,0.2315610647201538,0.26699262857437134,0.14785709977149963,0.27176785469055176,0.11086785048246384
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4464869201183319,0.4933079481124878,0.24912182986736298,0.4946078956127167,0.425624817609787,0.2201492041349411,0.2486734241247177,0.28963401913642883,0.44245919585227966,0.4316047728061676,0.2818170189857483,0.23938199877738953,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.34949591755867004,0.4111599624156952,0.4174870550632477,0.19129279255867004,0.3792596757411957,0.3321593105792999,0.3193430006504059,0.20239189267158508,0.2758271098136902,0.38921234011650085,0.4406825602054596,0.2005528211593628,0.29821720719337463,0.32389625906944275
not,0.5449194312095642,0.3776007890701294,0.4310511648654938,0.2823779284954071,0.39280617237091064,0.4310511648654938,0.2197837382555008,0.3307090103626251,0.4974499046802521,0.22811828553676605,0.18840162456035614,0.2465992122888565,0.5149973034858704,0.557635486125946,0.31816837191581726,0.3932628929615021,0.41942933201789856
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18456575274467468,0.4726039469242096,0.5934505462646484,0.2928885817527771,0.5352458953857422,0.43406882882118225,0.2379520833492279,0.22669817507266998,0.21688014268875122,0.4645031690597534,0.500583827495575,0.3103445768356323,0.22562150657176971,0.4130953550338745
