,what,were,these,indulgences,supposed,to,grant,the,giver,?
to,0.455847829580307,0.31913647055625916,0.46852558851242065,0.2608080208301544,0.4509006440639496,1.0,0.2576783299446106,0.535392165184021,0.3162342607975006,0.29463258385658264
grant,0.18171831965446472,0.14103981852531433,0.1286095678806305,0.18514350056648254,0.14886817336082458,0.2576783299446106,1.0,0.2460666298866272,0.314503014087677,0.15586599707603455
",",0.3087472915649414,0.36755475401878357,0.37613096833229065,0.21256935596466064,0.2275257259607315,0.44245919585227966,0.3364619016647339,0.4933079481124878,0.33314844965934753,0.31091248989105225
those,0.44466671347618103,0.5048789978027344,0.7154475450515747,0.3266029953956604,0.3488490879535675,0.47350940108299255,0.23795418441295624,0.42861196398735046,0.20911739766597748,0.3328189253807068
who,0.40942975878715515,0.3188014328479767,0.34544891119003296,0.2066390961408615,0.34577956795692444,0.42656609416007996,0.26893389225006104,0.3733934462070465,0.3318588137626648,0.26220351457595825
claimed,0.2667301297187805,0.3098667860031128,0.2122214138507843,0.2340507060289383,0.3350077271461487,0.2575981914997101,0.15149077773094177,0.2761930227279663,0.22696428000926971,0.2083493024110794
that,0.6297725439071655,0.35517072677612305,0.5512621402740479,0.3139660656452179,0.4945879280567169,0.5436353087425232,0.24215354025363922,0.5473989248275757,0.3291388154029846,0.32716336846351624
indulgences,0.28368377685546875,0.2021196484565735,0.3212571442127228,1.0,0.2696817219257355,0.2608080208301544,0.18514350056648254,0.24909545481204987,0.27398309111595154,0.21964608132839203
absolved,0.31886026263237,0.246306374669075,0.29901960492134094,0.27129921317100525,0.3018312454223633,0.2506482005119324,0.1332838237285614,0.32806533575057983,0.214178666472435,0.27071115374565125
buyers,0.29589730501174927,0.2791631817817688,0.25015100836753845,0.2895870506763458,0.22930489480495453,0.3652162253856659,0.16400931775569916,0.26482927799224854,0.22056595981121063,0.16299520432949066
from,0.2737620174884796,0.29991888999938965,0.2928802967071533,0.1380952000617981,0.21575838327407837,0.4069952368736267,0.171071857213974,0.40150508284568787,0.22933541238307953,0.19969791173934937
all,0.41981086134910583,0.4387909770011902,0.5938270092010498,0.24546274542808533,0.3177550137042999,0.42520734667778015,0.20751707255840302,0.4860881567001343,0.24467942118644714,0.29575422406196594
punishments,0.305923193693161,0.29212865233421326,0.3421745300292969,0.36093029379844666,0.28013306856155396,0.21962858736515045,0.16952373087406158,0.23933030664920807,0.22255736589431763,0.23544666171073914
and,0.31309178471565247,0.42175528407096863,0.5314885973930359,0.19426552951335907,0.2625276446342468,0.48971283435821533,0.22466684877872467,0.5171257257461548,0.34539860486984253,0.20544172823429108
granted,0.2214755117893219,0.21035443246364594,0.19007256627082825,0.2708432078361511,0.2346498966217041,0.23708537220954895,0.6239897608757019,0.27588096261024475,0.25653883814811707,0.22870221734046936
them,0.4994642734527588,0.4602346122264862,0.6229331493377686,0.3059173822402954,0.41855916380882263,0.5916602611541748,0.1741006076335907,0.4788833558559418,0.2966901957988739,0.35435691475868225
salvation,0.31571435928344727,0.09597952663898468,0.19477199018001556,0.4313211441040039,0.23057012259960175,0.2701711356639862,0.24179212749004364,0.30236515402793884,0.26883721351623535,0.2133665680885315
were,0.22298263013362885,1.0000001192092896,0.587685227394104,0.2021196484565735,0.2937922775745392,0.31913647055625916,0.14103981852531433,0.3906462490558624,0.11277506500482559,0.17890112102031708
in,0.30808621644973755,0.3815755248069763,0.3791837692260742,0.18559019267559052,0.26477015018463135,0.45010748505592346,0.2044283151626587,0.6662389636039734,0.23985698819160461,0.20430970191955566
error,0.30197378993034363,0.10735782980918884,0.1942940205335617,0.21389234066009521,0.20634658634662628,0.23290769755840302,0.10965599864721298,0.1961134821176529,0.18363477289676666,0.2543688118457794
.,0.3567904531955719,0.3378238379955292,0.3840779960155487,0.2219848930835724,0.28389450907707214,0.4645031690597534,0.2712966501712799,0.5934505462646484,0.35356202721595764,0.4130953550338745
