,what,was,the,name,of,the,first,huguenot,outpost,in,south,carolina,?
u.s.,0.11178889125585556,0.06837434321641922,0.06592652946710587,-0.012605606578290462,0.011562774889171124,0.06592652946710587,0.07239635288715363,0.15049555897712708,0.10280074924230576,-0.003064807504415512,-0.018413471058011055,0.08665967732667923,0.07886100560426712
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.34503069519996643,0.24752236902713776,0.27861493825912476,0.5201468467712402,0.3256652057170868,0.2566046118736267,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.3167642652988434,0.2762077748775482,0.32837167382240295,0.4954058527946472,0.3140619993209839,0.22423055768013,0.20544172823429108
founded,0.1163782924413681,0.36917948722839355,0.2840350568294525,0.2832164764404297,0.24571022391319275,0.2840350568294525,0.29694172739982605,0.21062584221363068,0.2598782479763031,0.24877111613750458,0.20712271332740784,0.14978715777397156,0.09119737893342972
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.49448907375335693,0.29557526111602783,0.3417457342147827,0.6662389636039734,0.3129390776157379,0.24749229848384857,0.22068053483963013
outpost,0.19570578634738922,0.29000675678253174,0.3417457342147827,0.1295710653066635,0.28748539090156555,0.3417457342147827,0.2813604772090912,0.3961486220359802,0.9999999403953552,0.300446093082428,0.36434468626976013,0.19424192607402802,0.1001662090420723
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.3536086082458496,0.29061198234558105,0.28748539090156555,0.5696388483047485,0.33382371068000793,0.26946863532066345,0.1826142966747284
charlesfort,0.24636076390743256,0.3253026306629181,0.3268512785434723,0.19354651868343353,0.357009619474411,0.3268512785434723,0.24280953407287598,0.46307364106178284,0.3834233283996582,0.33249932527542114,0.3638584315776825,0.3951014280319214,0.21091435849666595
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.17627742886543274,0.3966929316520691,0.5107308030128479,0.3120559751987457,0.1345445066690445,0.25811681151390076,0.46853652596473694,0.22021299600601196,0.19547675549983978,0.2714994251728058
parris,0.2324005514383316,0.27332377433776855,0.27152594923973083,0.11539237946271896,0.20571357011795044,0.27152594923973083,0.2029847800731659,0.26847952604293823,0.27073556184768677,0.22646857798099518,0.23241859674453735,0.3024347126483917,0.19006304442882538
island,0.1299295574426651,0.23908254504203796,0.2837921977043152,0.16098862886428833,0.24887794256210327,0.2837921977043152,0.19841675460338593,0.18617680668830872,0.2840053141117096,0.24730545282363892,0.3168698847293854,0.2696024477481842,0.0887429490685463
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.34503069519996643,0.24752236902713776,0.27861493825912476,0.5201468467712402,0.3256652057170868,0.2566046118736267,0.31091248989105225
south,0.15388517081737518,0.2792486846446991,0.3129390776157379,0.21417751908302307,0.33382371068000793,0.3129390776157379,0.21650062501430511,0.23090137541294098,0.36434468626976013,0.33642083406448364,1.0000001192092896,0.4606103301048279,0.12336621433496475
carolina,0.1956660896539688,0.26687008142471313,0.24749229848384857,0.09770401567220688,0.26946863532066345,0.24749229848384857,0.15716660022735596,0.17832261323928833,0.19424192607402802,0.2380082756280899,0.4606103301048279,1.0000001192092896,0.11847445368766785
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.4345304071903229,0.2060975730419159,0.21229435503482819,0.5591574311256409,0.2798699140548706,0.2702518403530121,0.4130953550338745
