,who,plotted,the,relationships,between,levels,of,income,and,inequality,?
of,0.2827862501144409,0.29090791940689087,0.733189046382904,0.25304844975471497,0.3737983703613281,0.23668165504932404,1.0,0.2581324577331543,0.5116966962814331,0.27910974621772766,0.1826142966747284
inequality,0.1735192984342575,0.2470545619726181,0.23508106172084808,0.40229567885398865,0.29772037267684937,0.24878159165382385,0.27910974621772766,0.46967795491218567,0.2590520679950714,1.0000001192092896,0.23619021475315094
bulging,0.1620848923921585,0.3148121237754822,0.3265340328216553,0.23709917068481445,0.2160441130399704,0.1933497190475464,0.30167677998542786,0.19341789186000824,0.3383438289165497,0.23397456109523773,0.11113554239273071
out,0.3129808306694031,0.12316448986530304,0.39404502511024475,0.1327749490737915,0.2655375897884369,0.24101780354976654,0.34176841378211975,0.1600833386182785,0.3881998062133789,0.20822980999946594,0.22020699083805084
to,0.42656609416007996,0.2761743366718292,0.535392165184021,0.24882912635803223,0.3639189600944519,0.29053324460983276,0.41548454761505127,0.27188464999198914,0.48971283435821533,0.24361056089401245,0.29463258385658264
form,0.137381911277771,0.1344582587480545,0.29286009073257446,0.21270371973514557,0.24882446229457855,0.23324771225452423,0.29600051045417786,0.13054175674915314,0.30469027161598206,0.2506323456764221,0.1463010311126709
what,0.40942975878715515,0.19626851379871368,0.42745697498321533,0.2712070345878601,0.2462156116962433,0.21641245484352112,0.33290785551071167,0.21837803721427917,0.31309178471565247,0.30072227120399475,0.5051238536834717
is,0.24293622374534607,0.1442779004573822,0.5823672413825989,0.18813872337341309,0.26809602975845337,0.2141042947769165,0.4854315221309662,0.14559021592140198,0.3859752118587494,0.1953488290309906,0.22961433231830597
now,0.29819536209106445,0.1483723223209381,0.38266420364379883,0.12372323870658875,0.18453216552734375,0.12437087297439575,0.29182544350624084,0.14750957489013672,0.35309651494026184,0.1548994481563568,0.29641881585121155
known,0.24757125973701477,0.21486808359622955,0.3624623417854309,0.19516418874263763,0.19939005374908447,0.1424403190612793,0.35814476013183594,0.0314241498708725,0.3468935489654541,0.1331488937139511,0.18314571678638458
as,0.3923053741455078,0.21334771811962128,0.48381632566452026,0.25274956226348877,0.22009976208209991,0.24056120216846466,0.3886612355709076,0.1530616581439972,0.49487000703811646,0.1947982758283615,0.27043893933296204
the,0.3733934462070465,0.26552432775497437,1.0,0.21583695709705353,0.39067012071609497,0.286034494638443,0.733189046382904,0.23699946701526642,0.5171257257461548,0.23508106172084808,0.22068053483963013
kuznets,0.24293982982635498,0.21082793176174164,0.2102777063846588,0.1788788139820099,0.13342739641666412,0.14368857443332672,0.15314316749572754,0.1684095859527588,0.30466631054878235,0.14391092956066132,0.19523082673549652
curve,0.07085016369819641,0.32100141048431396,0.23416027426719666,0.25435540080070496,0.22872953116893768,0.15145938098430634,0.14240935444831848,0.18007220327854156,0.20769961178302765,0.3580670952796936,0.18092067539691925
.,0.3541337847709656,0.24908922612667084,0.5934505462646484,0.20492441952228546,0.30295518040657043,0.24042059481143951,0.5352458953857422,0.26448529958724976,0.588965117931366,0.22563500702381134,0.4130953550338745
