,how,did,denver,score,at,the,end,of,the,drive,?
get,0.3772084712982178,0.3220681846141815,0.2139686793088913,0.23645836114883423,0.24260355532169342,0.29667025804519653,0.25432926416397095,0.26628199219703674,0.29667025804519653,0.2886830270290375,0.3499825894832611
the,0.33890387415885925,0.34736719727516174,0.2052404284477234,0.2042495757341385,0.457212895154953,1.0,0.39658910036087036,0.733189046382904,1.0,0.2083187699317932,0.22068053483963013
ball,0.2112688422203064,0.11887120455503464,0.19353048503398895,0.28891879320144653,0.2332872748374939,0.18895584344863892,0.20891526341438293,0.15122076869010925,0.18895584344863892,0.22436363995075226,0.1766241192817688
into,0.2303972691297531,0.14888085424900055,0.1274935007095337,0.11432963609695435,0.2095452845096588,0.39493247866630554,0.25488799810409546,0.32255905866622925,0.39493247866630554,0.16546779870986938,0.15662476420402527
the,0.33890387415885925,0.34736719727516174,0.2052404284477234,0.2042495757341385,0.457212895154953,1.0,0.39658910036087036,0.733189046382904,1.0,0.2083187699317932,0.22068053483963013
end,0.2481066733598709,0.18808481097221375,0.15781165659427643,0.19343528151512146,0.3223728835582733,0.39658910036087036,1.0,0.2215006798505783,0.39658910036087036,0.18270590901374817,0.12543344497680664
zone,0.1622122824192047,0.071926049888134,0.11141365766525269,0.12448016554117203,0.16324889659881592,0.26423242688179016,0.19279605150222778,0.22467142343521118,0.26423242688179016,0.18537823855876923,0.1173049733042717
",",0.22659391164779663,0.3015086054801941,0.25173696875572205,0.16025088727474213,0.38314947485923767,0.4933079481124878,0.25448864698410034,0.4946078956127167,0.4933079481124878,0.17920437455177307,0.31091248989105225
so,0.6081400513648987,0.43696269392967224,0.1204334944486618,0.24016140401363373,0.2824224531650543,0.4296516180038452,0.2761370837688446,0.3184450566768646,0.4296516180038452,0.2647767663002014,0.43163934350013733
mcmanus,0.14902009069919586,0.15767790377140045,0.25093990564346313,0.1582241654396057,0.17387279868125916,0.25801920890808105,0.18104730546474457,0.20956967771053314,0.25801920890808105,0.08838864415884018,0.2241760641336441
kicked,0.21845901012420654,0.26094865798950195,0.27481016516685486,0.22661390900611877,0.15946359932422638,0.25993093848228455,0.23979149758815765,0.21359434723854065,0.25993093848228455,0.19324639439582825,0.19371441006660461
a,0.29312583804130554,0.2552328109741211,0.179859921336174,0.19997252523899078,0.3095070421695709,0.5829201340675354,0.28924596309661865,0.5052502155303955,0.5829201340675354,0.24929353594779968,0.23916715383529663
33-yard,0.23121266067028046,0.17692513763904572,0.22412948310375214,0.2322690486907959,0.2624838054180145,0.2891487181186676,0.30707499384880066,0.19458900392055511,0.2891487181186676,0.25695884227752686,0.11568541079759598
field,0.19519785046577454,0.16789361834526062,0.17716234922409058,0.1500541716814041,0.190035879611969,0.2105809599161148,0.12208939343690872,0.20410659909248352,0.2105809599161148,0.10428697615861893,0.11279727518558502
goal,0.20538218319416046,0.23877869546413422,0.15172222256660461,0.3320634365081787,0.20931877195835114,0.2443244755268097,0.2495908886194229,0.1838325709104538,0.2443244755268097,0.27302247285842896,0.1964566856622696
that,0.557814359664917,0.47518548369407654,0.12855929136276245,0.16578927636146545,0.3183255195617676,0.5473989248275757,0.3221861720085144,0.41498205065727234,0.5473989248275757,0.24714359641075134,0.32716336846351624
increased,0.2297995388507843,0.20765343308448792,0.18818770349025726,0.10659368336200714,0.21833501756191254,0.3188653886318207,0.21314172446727753,0.3371390700340271,0.3188653886318207,0.2191922962665558,0.09587585180997849
their,0.3316696584224701,0.38078752160072327,0.21170325577259064,0.13630306720733643,0.23641370236873627,0.516537070274353,0.20139017701148987,0.4329940676689148,0.516537070274353,0.17822641134262085,0.1898253709077835
lead,0.18518535792827606,0.2009882926940918,0.23341892659664154,0.17366914451122284,0.16269199550151825,0.21995973587036133,0.1676778644323349,0.19835850596427917,0.21995973587036133,0.21363525092601776,0.14552436769008636
to,0.44169697165489197,0.4452643394470215,0.23706497251987457,0.18782086670398712,0.36524343490600586,0.535392165184021,0.3229445815086365,0.41548454761505127,0.535392165184021,0.291306734085083,0.29463258385658264
13–7,0.02118689939379692,0.03441455587744713,0.07599614560604095,0.16671939194202423,0.006630824878811836,-0.004627506248652935,0.0376899354159832,-0.02781810238957405,-0.004627506248652935,0.04448724538087845,0.10350054502487183
.,0.3287222981452942,0.35288307070732117,0.2573630213737488,0.17928162217140198,0.4549728035926819,0.5934505462646484,0.26526886224746704,0.5352458953857422,0.5934505462646484,0.21262511610984802,0.4130953550338745
