,peroxides,",",nitrates,and,dichromates,are,examples,of,what,type,of,compounds,?
oxidative,0.7540566921234131,0.14497366547584534,0.6199844479560852,0.12383092939853668,0.6603361368179321,0.22395621240139008,0.28178077936172485,0.14910751581192017,0.21494156122207642,0.20176731050014496,0.14910751581192017,0.7056699991226196,0.1729019284248352
potential,0.28609511256217957,0.23060423135757446,0.24832385778427124,0.2564159035682678,0.3304086923599243,0.28343355655670166,0.27950069308280945,0.2684917747974396,0.27308183908462524,0.13209664821624756,0.2684917747974396,0.2832587957382202,0.20122039318084717
",",0.26218941807746887,1.0000001192092896,0.2723443806171417,0.6633074283599854,0.2778121829032898,0.4062570035457611,0.2687304615974426,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20700839161872864,0.31091248989105225
such,0.31693217158317566,0.39626169204711914,0.32052552700042725,0.44540345668792725,0.3105994462966919,0.4654397666454315,0.5161488652229309,0.3209529519081116,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.30467960238456726,0.17851735651493073
as,0.29221802949905396,0.48816442489624023,0.2450486570596695,0.49487000703811646,0.26782408356666565,0.3826591968536377,0.325487345457077,0.3886612355709076,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.2726527154445648,0.27043893933296204
peroxides,1.0000001192092896,0.26218941807746887,0.751110851764679,0.2680607736110687,0.769080638885498,0.3504936099052429,0.35077154636383057,0.22861802577972412,0.23469755053520203,0.2754695415496826,0.22861802577972412,0.7421301603317261,0.22121554613113403
",",0.26218941807746887,1.0000001192092896,0.2723443806171417,0.6633074283599854,0.2778121829032898,0.4062570035457611,0.2687304615974426,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20700839161872864,0.31091248989105225
chlorates,0.7794684767723083,0.28620851039886475,0.7945596575737,0.2618095278739929,0.7466299533843994,0.2679939866065979,0.269178181886673,0.23014895617961884,0.23111651837825775,0.21797378361225128,0.23014895617961884,0.7077769637107849,0.16061019897460938
",",0.26218941807746887,1.0000001192092896,0.2723443806171417,0.6633074283599854,0.2778121829032898,0.4062570035457611,0.2687304615974426,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20700839161872864,0.31091248989105225
nitrates,0.751110851764679,0.2723443806171417,0.9999998807907104,0.2896411716938019,0.679853618144989,0.30125728249549866,0.2782377004623413,0.22266438603401184,0.18288998305797577,0.23431287705898285,0.22266438603401184,0.6691848635673523,0.1485970914363861
",",0.26218941807746887,1.0000001192092896,0.2723443806171417,0.6633074283599854,0.2778121829032898,0.4062570035457611,0.2687304615974426,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20700839161872864,0.31091248989105225
perchlorates,0.7835342884063721,0.31921645998954773,0.7877306938171387,0.2787301540374756,0.7336195707321167,0.2836649417877197,0.2752554714679718,0.2520774006843567,0.21595214307308197,0.2694053053855896,0.2520774006843567,0.6806580424308777,0.19094200432300568
",",0.26218941807746887,1.0000001192092896,0.2723443806171417,0.6633074283599854,0.2778121829032898,0.4062570035457611,0.2687304615974426,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20700839161872864,0.31091248989105225
and,0.2680607736110687,0.6633074283599854,0.2896411716938019,1.0,0.2782321274280548,0.48576638102531433,0.35639533400535583,0.5116966962814331,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.25433242321014404,0.20544172823429108
dichromates,0.769080638885498,0.2778121829032898,0.679853618144989,0.2782321274280548,0.9999998807907104,0.3813294470310211,0.327711284160614,0.23791204392910004,0.2799220383167267,0.23922531306743622,0.23791204392910004,0.7113356590270996,0.2264411747455597
because,0.31857872009277344,0.372031033039093,0.26454105973243713,0.5069696307182312,0.35940980911254883,0.43093472719192505,0.3097003698348999,0.4075504541397095,0.46729007363319397,0.2493555098772049,0.4075504541397095,0.28790006041526794,0.2528740465641022
they,0.3020980656147003,0.390799880027771,0.24445031583309174,0.5073080658912659,0.3614540100097656,0.610666811466217,0.3003198504447937,0.3426007330417633,0.4431931674480438,0.1953689455986023,0.3426007330417633,0.32272258400917053,0.2753053903579712
can,0.3987659513950348,0.3139454126358032,0.36929386854171753,0.3675691485404968,0.4213487505912781,0.5408529043197632,0.41581568121910095,0.2603091299533844,0.34502777457237244,0.33094167709350586,0.2603091299533844,0.3859596848487854,0.3226337134838104
donate,0.31963446736335754,0.18909095227718353,0.294281542301178,0.2212856113910675,0.28778597712516785,0.20951706171035767,0.06550557911396027,0.23815786838531494,0.23159627616405487,0.15397518873214722,0.23815786838531494,0.28225478529930115,0.1821310967206955
oxygen,0.6189711689949036,0.21812842786312103,0.558445930480957,0.22261030972003937,0.55951988697052,0.24342744052410126,0.21730482578277588,0.16848602890968323,0.16781960427761078,0.16191279888153076,0.16848602890968323,0.514471173286438,0.16786395013332367
to,0.2812531888484955,0.44245919585227966,0.22816568613052368,0.48971283435821533,0.25388649106025696,0.3504326641559601,0.23809245228767395,0.41548454761505127,0.455847829580307,0.19930607080459595,0.41548454761505127,0.29820382595062256,0.29463258385658264
a,0.26327595114707947,0.427140474319458,0.2659958600997925,0.3739250600337982,0.2970806956291199,0.265255331993103,0.2633219361305237,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.23579706251621246,0.23916715383529663
fire,0.2107122242450714,0.24915234744548798,0.24865514039993286,0.2478165328502655,0.22006484866142273,0.15609590709209442,0.16684146225452423,0.20259131491184235,0.19359004497528076,0.13550949096679688,0.20259131491184235,0.16476978361606598,0.14396874606609344
.,0.2682393789291382,0.6812511086463928,0.24356602132320404,0.588965117931366,0.3040122985839844,0.3452940285205841,0.28905922174453735,0.5352458953857422,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.23886778950691223,0.4130953550338745
