,what,type,of,impact,does,opportunity-based,entrepreneurship,tend,to,have,on,economic,growth,?
thus,0.30745524168014526,0.1581467092037201,0.3487406373023987,0.2687864899635315,0.30094778537750244,0.33257514238357544,0.22937355935573578,0.25321513414382935,0.42383262515068054,0.3490366041660309,0.24622735381126404,0.22031915187835693,0.22404564917087555,0.18769288063049316
have,0.39808809757232666,0.242574080824852,0.3802283704280853,0.31931746006011963,0.3709583580493927,0.3440667986869812,0.19375963509082794,0.4816074073314667,0.4544740617275238,0.9999999403953552,0.36494916677474976,0.18631099164485931,0.2734212279319763,0.32991164922714233
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.24985632300376892,0.38201746344566345,0.31108391284942627,0.28693056106567383,0.2651256024837494,0.45503583550453186,0.338716596364975,0.3848365545272827,0.2234611213207245,0.21544985473155975,0.23916715383529663
more,0.3484537899494171,0.2277899980545044,0.30478984117507935,0.26412034034729004,0.2897747755050659,0.35230258107185364,0.20012986660003662,0.45007845759391785,0.47084665298461914,0.49033403396606445,0.37351730465888977,0.2351950705051422,0.24925704300403595,0.27894994616508484
positive,0.2491111010313034,0.18713849782943726,0.19149050116539001,0.24514837563037872,0.2055392861366272,0.27463677525520325,0.11592554301023483,0.20473934710025787,0.24421703815460205,0.2856961190700531,0.24428090453147888,0.16337400674819946,0.23210640251636505,0.16532565653324127
impact,0.25162962079048157,0.169027641415596,0.21139270067214966,1.0,0.2049424648284912,0.38140302896499634,0.2199619710445404,0.16840988397598267,0.2031068354845047,0.31931746006011963,0.24748864769935608,0.3066168427467346,0.29461729526519775,0.18429921567440033
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.24748864769935608,0.2568802833557129,0.2807841897010803,0.19307640194892883,0.2146131992340088,0.41031414270401,0.36494916677474976,0.9999999403953552,0.20757777988910675,0.11376523971557617,0.2714994251728058
economic,0.18082544207572937,0.06928404420614243,0.3030148148536682,0.3066168427467346,0.14175917208194733,0.3497948944568634,0.34573352336883545,0.2325732260942459,0.26856908202171326,0.18631099164485931,0.20757777988910675,0.9999999403953552,0.4732155203819275,0.1206481084227562
growth,0.1739405393600464,0.1453375667333603,0.2679378092288971,0.29461729526519775,0.18474416434764862,0.2474355697631836,0.28237035870552063,0.3093004524707794,0.2701800763607025,0.2734212279319763,0.11376523971557617,0.4732155203819275,1.0000001192092896,0.07547862827777863
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2026742696762085,0.3022993505001068,0.26017120480537415,0.24007877707481384,0.21436026692390442,0.4645031690597534,0.41614407300949097,0.49257001280784607,0.22435031831264496,0.2825547754764557,0.4130953550338745
