,about,how,many,of,the,asian,population,was,hmong,?
which,0.4059852957725525,0.4852597713470459,0.5168171525001526,0.5011631846427917,0.6521818041801453,0.1915067732334137,0.2151837795972824,0.2830964922904968,0.17293356359004974,0.25814583897590637
is,0.3532065451145172,0.22544461488723755,0.2649032473564148,0.4854315221309662,0.5823672413825989,0.17223115265369415,0.2727566361427307,0.5810302495956421,0.18813209235668182,0.22961433231830597
hmong,0.20890262722969055,0.15315653383731842,0.30470913648605347,0.23823729157447815,0.22958515584468842,0.4116385877132416,0.3043343126773834,0.16487382352352142,1.0,0.20981226861476898
),0.2775460183620453,0.17939934134483337,0.16602720320224762,0.3680361211299896,0.3456730246543884,0.17080914974212646,0.1573704034090042,0.3267642855644226,0.2001529186964035,0.42300865054130554
",",0.3877100944519043,0.22659391164779663,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.21664521098136902,0.2967977225780487,0.45456063747406006,0.29197949171066284,0.31091248989105225
0.1,0.05659433826804161,0.14178921282291412,0.02980613335967064,0.1042587086558342,-0.010016062296926975,0.058856651186943054,-0.054403118789196014,-0.15993034839630127,-0.0765710398554802,0.09288341552019119
%,0.2035314440727234,0.1237400695681572,0.24948352575302124,0.19953428208827972,0.21490740776062012,0.22812187671661377,0.4585210084915161,0.11743833869695663,0.27722278237342834,0.21441808342933655
pacific,0.16223116219043732,0.11169099807739258,0.19013962149620056,0.21646003425121307,0.28543707728385925,0.38695746660232544,0.18134227395057678,0.14671295881271362,0.28937625885009766,0.13060949742794037
islander,0.1810375452041626,0.14643776416778564,0.19551847875118256,0.23059505224227905,0.2831306755542755,0.3871176242828369,0.2365318089723587,0.202179417014122,0.33474355936050415,0.18424275517463684
",",0.3877100944519043,0.22659391164779663,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.21664521098136902,0.2967977225780487,0.45456063747406006,0.29197949171066284,0.31091248989105225
23.4,0.19018793106079102,0.08688753098249435,0.11025362461805344,0.26679474115371704,0.2855614125728607,0.15897852182388306,0.31279078125953674,0.062374163419008255,0.28473490476608276,0.06599248200654984
%,0.2035314440727234,0.1237400695681572,0.24948352575302124,0.19953428208827972,0.21490740776062012,0.22812187671661377,0.4585210084915161,0.11743833869695663,0.27722278237342834,0.21441808342933655
from,0.3421173691749573,0.22939439117908478,0.33099696040153503,0.4249346852302551,0.40150508284568787,0.20312900841236115,0.22323650121688843,0.31171464920043945,0.2529144883155823,0.19969791173934937
other,0.3130497336387634,0.3591516315937042,0.6324484348297119,0.38583824038505554,0.44152235984802246,0.267996609210968,0.21393196284770966,0.14651623368263245,0.26316070556640625,0.24682199954986572
races,0.17229855060577393,0.10291893780231476,0.2152329981327057,0.1723267138004303,0.20953570306301117,0.2947216033935547,0.252178817987442,0.17400409281253815,0.22079116106033325,0.12153562903404236
",",0.3877100944519043,0.22659391164779663,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.21664521098136902,0.2967977225780487,0.45456063747406006,0.29197949171066284,0.31091248989105225
and,0.3875081241130829,0.33647966384887695,0.5296266674995422,0.5116966962814331,0.5171257257461548,0.20807486772537231,0.23080337047576904,0.3740963041782379,0.26940470933914185,0.20544172823429108
5.2,0.04766860976815224,-0.002729791449382901,0.07507776468992233,0.09677878767251968,0.08403005450963974,0.006821919232606888,0.046655502170324326,-0.005158110521733761,0.058395106345415115,-0.030824657529592514
%,0.2035314440727234,0.1237400695681572,0.24948352575302124,0.19953428208827972,0.21490740776062012,0.22812187671661377,0.4585210084915161,0.11743833869695663,0.27722278237342834,0.21441808342933655
from,0.3421173691749573,0.22939439117908478,0.33099696040153503,0.4249346852302551,0.40150508284568787,0.20312900841236115,0.22323650121688843,0.31171464920043945,0.2529144883155823,0.19969791173934937
two,0.29597052931785583,0.2499001920223236,0.5147606730461121,0.37726253271102905,0.43858039379119873,0.15868830680847168,0.16114678978919983,0.27166637778282166,0.18114756047725677,0.19645625352859497
or,0.3335071802139282,0.3378981947898865,0.36905089020729065,0.3792596757411957,0.4174870550632477,0.2302301824092865,0.17320232093334198,0.2330796718597412,0.25904351472854614,0.32389625906944275
more,0.4194578528404236,0.4319567084312439,0.48608261346817017,0.30478984117507935,0.39758381247520447,0.20389479398727417,0.2020302265882492,0.21525104343891144,0.16853943467140198,0.27894994616508484
races,0.17229855060577393,0.10291893780231476,0.2152329981327057,0.1723267138004303,0.20953570306301117,0.2947216033935547,0.252178817987442,0.17400409281253815,0.22079116106033325,0.12153562903404236
.,0.42038556933403015,0.3287222981452942,0.3974229395389557,0.5352458953857422,0.5934505462646484,0.2310253083705902,0.26950228214263916,0.40146201848983765,0.2365788221359253,0.4130953550338745
