,what,fixed,set,of,factors,determine,the,actions,of,a,deterministic,turing,machine
which,0.5261979103088379,0.3264283239841461,0.3371303975582123,0.5011631846427917,0.3255656063556671,0.39783817529678345,0.6521818041801453,0.3084428310394287,0.5011631846427917,0.56894451379776,0.40972426533699036,0.2775655686855316,0.27888262271881104
uses,0.1933930367231369,0.19290778040885925,0.17910099029541016,0.2738003432750702,0.21797676384449005,0.27971214056015015,0.2830192744731903,0.2119891345500946,0.2738003432750702,0.35566505789756775,0.3088957667350769,0.21857912838459015,0.2995792329311371
a,0.3320399522781372,0.24578048288822174,0.2540091574192047,0.5052502155303955,0.19412465393543243,0.3650607168674469,0.5829201340675354,0.22348695993423462,0.5052502155303955,1.0,0.35494157671928406,0.25234705209732056,0.24983544647693634
fixed,0.255135715007782,0.9999998807907104,0.24412322044372559,0.1495256870985031,0.2010643631219864,0.28411954641342163,0.27127328515052795,0.18055027723312378,0.1495256870985031,0.24578048288822174,0.31198152899742126,0.21131744980812073,0.14322613179683685
set,0.28954121470451355,0.24412322044372559,1.0000001192092896,0.20671486854553223,0.16827605664730072,0.2651752531528473,0.2927955985069275,0.1852293163537979,0.20671486854553223,0.2540091574192047,0.2321997433900833,0.23849166929721832,0.18266715109348297
of,0.33290785551071167,0.1495256870985031,0.20671486854553223,1.0,0.30045145750045776,0.3512130081653595,0.733189046382904,0.27202147245407104,1.0,0.5052502155303955,0.3430701494216919,0.2670239806175232,0.15468473732471466
rules,0.3341682255268097,0.19704245030879974,0.30112457275390625,0.18197891116142273,0.1943991780281067,0.3087872862815857,0.27022838592529297,0.32590165734291077,0.18197891116142273,0.20817093551158905,0.285737007856369,0.18449901044368744,0.1317290961742401
to,0.455847829580307,0.26378992199897766,0.320547491312027,0.41548454761505127,0.2741186320781708,0.4076496958732605,0.535392165184021,0.27775833010673523,0.41548454761505127,0.45503583550453186,0.32933658361434937,0.22095461189746857,0.1634126603603363
determine,0.39403316378593445,0.28411954641342163,0.2651752531528473,0.3512130081653595,0.4366716146469116,1.0,0.40889066457748413,0.3039475381374359,0.3512130081653595,0.3650607168674469,0.7205086946487427,0.31221580505371094,0.20093661546707153
its,0.30393704771995544,0.23141340911388397,0.21010567247867584,0.48690423369407654,0.27857232093811035,0.3226049542427063,0.559237003326416,0.17491695284843445,0.48690423369407654,0.4424409866333008,0.3690263628959656,0.13580092787742615,0.15019336342811584
future,0.29700374603271484,0.20120012760162354,0.2800809144973755,0.25455814599990845,0.2317679524421692,0.26246848702430725,0.2337762415409088,0.26134711503982544,0.25455814599990845,0.16284751892089844,0.23596158623695374,0.19704203307628632,0.12522825598716736
actions,0.39243605732917786,0.18055027723312378,0.1852293163537979,0.27202147245407104,0.27299731969833374,0.3039475381374359,0.297427237033844,1.0000001192092896,0.27202147245407104,0.22348695993423462,0.3200983703136444,0.29611268639564514,0.2045169323682785
.,0.3567904531955719,0.2279260754585266,0.2928885817527771,0.5352458953857422,0.21191899478435516,0.323413223028183,0.5934505462646484,0.2696916162967682,0.5352458953857422,0.50484299659729,0.28497377038002014,0.19254323840141296,0.20798662304878235
