,which,of,genghis,khan,'s,sons,completed,the,conquest,of,the,jin,dynasty,?
under,0.3235377371311188,0.32766106724739075,0.2402999848127365,0.18593889474868774,-0.03376881033182144,0.1381990760564804,0.2257147878408432,0.3348022699356079,0.21331743896007538,0.32766106724739075,0.3348022699356079,0.15968076884746552,0.18800249695777893,0.18233340978622437
the,0.6521818041801453,0.733189046382904,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.16342225670814514,0.29278936982154846,1.0,0.3181619346141815,0.733189046382904,1.0,0.23336409032344818,0.26267939805984497,0.22068053483963013
reign,0.2041328102350235,0.2783183157444,0.4372473359107971,0.21777118742465973,-0.0300701055675745,0.27334171533584595,0.22219257056713104,0.2661008834838867,0.4159238040447235,0.2783183157444,0.2661008834838867,0.2960551381111145,0.41116631031036377,0.16399922966957092
of,0.5011631846427917,1.0,0.2938849925994873,0.17124508321285248,-0.03817026689648628,0.17722462117671967,0.2491239756345749,0.733189046382904,0.27723097801208496,1.0,0.733189046382904,0.18017646670341492,0.285645067691803,0.1826142966747284
genghis,0.26472097635269165,0.2938849925994873,1.0,0.5896923542022705,0.031423866748809814,0.2966407537460327,0.2306615561246872,0.3448939025402069,0.4573224186897278,0.2938849925994873,0.3448939025402069,0.4345949590206146,0.49750640988349915,0.18813461065292358
',0.32852497696876526,0.39136970043182373,0.24026870727539062,0.17487680912017822,0.07651367038488388,0.20059208571910858,0.2214040756225586,0.474788099527359,0.17881129682064056,0.39136970043182373,0.474788099527359,0.14681750535964966,0.13163135945796967,0.330942302942276
third,0.29048746824264526,0.30602210760116577,0.16844429075717926,0.13317693769931793,-0.00712791969999671,0.18824347853660583,0.2567194700241089,0.4229298532009125,0.21922190487384796,0.30602210760116577,0.4229298532009125,0.08456053584814072,0.20276325941085815,0.15394791960716248
son,0.12632916867733002,0.22933141887187958,0.34843745827674866,0.27596136927604675,-0.035570673644542694,0.6520785689353943,0.14445213973522186,0.2102738618850708,0.28196534514427185,0.22933141887187958,0.2102738618850708,0.2191362977027893,0.25687313079833984,0.14735563099384308
",",0.3658004403114319,0.4946078956127167,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.29804715514183044,0.26047438383102417,0.4933079481124878,0.2487315982580185,0.4946078956127167,0.4933079481124878,0.21946492791175842,0.1976536363363266,0.31091248989105225
ögedei,0.2478010207414627,0.31509923934936523,0.6161514520645142,0.43523725867271423,-0.005691892933100462,0.3486875593662262,0.25335603952407837,0.32871612906455994,0.33822882175445557,0.31509923934936523,0.32871612906455994,0.3945392668247223,0.39342033863067627,0.20177854597568512
khan,0.19211235642433167,0.17124508321285248,0.5896923542022705,1.0,0.05307086929678917,0.2521197199821472,0.1503465473651886,0.21067845821380615,0.30478882789611816,0.17124508321285248,0.21067845821380615,0.3794151246547699,0.34412047266960144,0.12862591445446014
.,0.45942068099975586,0.5352458953857422,0.25373268127441406,0.19819748401641846,-0.003708066651597619,0.21456153690814972,0.2763804793357849,0.5934505462646484,0.19387131929397583,0.5352458953857422,0.5934505462646484,0.17743851244449615,0.20616187155246735,0.4130953550338745
