,compounding,was,not,popular,in,the,construction,of,what,machines,?
not,0.2975088059902191,0.2888734042644501,0.9999999403953552,0.20684370398521423,0.3403114080429077,0.4310511648654938,0.18513305485248566,0.3307090103626251,0.5449194312095642,0.2967908978462219,0.41942933201789856
universally,0.27447307109832764,0.2689116597175598,0.41204264760017395,0.26426610350608826,0.21270988881587982,0.31427526473999023,0.21028655767440796,0.2516738176345825,0.33443203568458557,0.30917200446128845,0.2618650197982788
popular,0.19683460891246796,0.2916531562805176,0.20684370398521423,1.0,0.3157482445240021,0.2724021077156067,0.0642460510134697,0.25281813740730286,0.186283677816391,0.2211686670780182,0.13108457624912262
in,0.20182771980762482,0.45514053106307983,0.3403114080429077,0.3157482445240021,1.0,0.6662389636039734,0.3031303882598877,0.5696388483047485,0.30808621644973755,0.2209317833185196,0.20430970191955566
railway,0.10561233013868332,0.20427824556827545,0.1717960387468338,0.1506107747554779,0.2326211929321289,0.2692219316959381,0.3341847062110901,0.21322962641716003,0.16704553365707397,0.21409527957439423,0.07994066178798676
locomotives,0.20085693895816803,0.15560707449913025,0.15859046578407288,0.1611957848072052,0.17941859364509583,0.20427684485912323,0.3077154755592346,0.18200701475143433,0.12965811789035797,0.3085976839065552,0.13195066154003143
where,0.24909266829490662,0.20731619000434875,0.3820744752883911,0.2174384891986847,0.5344807505607605,0.5003893971443176,0.16534434258937836,0.38066378235816956,0.4457937180995941,0.27511492371559143,0.24793872237205505
it,0.2514593005180359,0.4577186405658722,0.4651523232460022,0.29535067081451416,0.5130809545516968,0.6251175999641418,0.22723008692264557,0.38761502504348755,0.45803478360176086,0.23724479973316193,0.25732165575027466
was,0.13572673499584198,1.0000001192092896,0.2888734042644501,0.2916531562805176,0.45514053106307983,0.48711544275283813,0.224521666765213,0.4069072902202606,0.22111038863658905,0.18074968457221985,0.18412111699581146
often,0.3797283172607422,0.2700076997280121,0.42630264163017273,0.3764054477214813,0.3380797803401947,0.38004449009895325,0.21097835898399353,0.3351972997188568,0.3849453330039978,0.35235682129859924,0.23748154938220978
perceived,0.23654530942440033,0.22454136610031128,0.3413463234901428,0.15918177366256714,0.1872926652431488,0.2552545368671417,0.10038305819034576,0.27688950300216675,0.35275155305862427,0.22803142666816711,0.20685844123363495
as,0.3089309334754944,0.3677520453929901,0.5105602741241455,0.2382158637046814,0.3887844979763031,0.48381632566452026,0.22668303549289703,0.3886612355709076,0.31749409437179565,0.2588748633861542,0.27043893933296204
complicated,0.33057910203933716,0.1945992410182953,0.3595384657382965,0.2913978397846222,0.2114717811346054,0.2161325067281723,0.2841531038284302,0.24801397323608398,0.34040677547454834,0.3524973392486572,0.23008595407009125
.,0.2173369824886322,0.40146201848983765,0.4824007451534271,0.2864297032356262,0.5591574311256409,0.5934505462646484,0.23682771623134613,0.5352458953857422,0.3567904531955719,0.22565115988254547,0.4130953550338745
