,what,is,the,name,of,the,first,aviation,community,built,?
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.4287874400615692,0.1918257176876068,0.2694961726665497,0.23064446449279785,0.23916715383529663
unique,0.2536143958568573,0.3167116045951843,0.26165643334388733,0.2837703824043274,0.29481077194213867,0.26165643334388733,0.23757432401180267,0.11498432606458664,0.1996338963508606,0.21303650736808777,0.17680858075618744
agreement,0.2851087749004364,0.20094099640846252,0.2490699142217636,0.1789383888244629,0.21259461343288422,0.2490699142217636,0.22598394751548767,0.20222483575344086,0.2582041323184967,0.16783398389816284,0.15830197930335999
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.4127444326877594,0.2580392062664032,0.21838891506195068,0.25829681754112244,0.20430970191955566
transportation,0.20306137204170227,0.255550742149353,0.26715996861457825,0.10932059586048126,0.30204781889915466,0.26715996861457825,0.2074698805809021,0.3961028456687927,0.2181842178106308,0.3046061396598816,0.1712278425693512
law,0.2145031988620758,0.18597714602947235,0.24548950791358948,0.14597810804843903,0.2816956341266632,0.24548950791358948,0.1839938908815384,0.22538021206855774,0.20568132400512695,0.133672833442688,0.1528988480567932
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.3792489171028137,0.18106655776500702,0.2863751947879791,0.2183011770248413,0.29463258385658264
allow,0.2883041203022003,0.18020232021808624,0.27822166681289673,0.11134516447782516,0.28057926893234253,0.27822166681289673,0.2584104835987091,0.19359417259693146,0.19600950181484222,0.22503690421581268,0.2042745053768158
personal,0.3188508450984955,0.11115145683288574,0.19990217685699463,0.14375202357769012,0.26268208026885986,0.19990217685699463,0.14482463896274567,0.19719697535037994,0.26200589537620544,0.07031211256980896,0.206199511885643
aircraft,0.16903388500213623,0.15916505455970764,0.24209992587566376,0.1024932935833931,0.20974087715148926,0.24209992587566376,0.1998140662908554,0.5370665192604065,0.0849442258477211,0.3295782804489136,0.14893899857997894
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.3167642652988434,0.2400548756122589,0.2756517827510834,0.2814858853816986,0.20544172823429108
automobiles,0.18129289150238037,0.17314104735851288,0.21666547656059265,0.14101694524288177,0.1845320612192154,0.21666547656059265,0.22672590613365173,0.33989179134368896,0.09920701384544373,0.30590561032295227,0.1570184975862503
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.3792489171028137,0.18106655776500702,0.2863751947879791,0.2183011770248413,0.29463258385658264
share,0.2764742076396942,0.2221677452325821,0.249948650598526,0.17037704586982727,0.2850857973098755,0.249948650598526,0.10497864335775375,0.12359898537397385,0.2026103138923645,0.11813908070325851,0.1754547506570816
certain,0.4561643898487091,0.28826433420181274,0.392071396112442,0.13161547482013702,0.40204232931137085,0.392071396112442,0.2569620907306671,0.17263269424438477,0.21314993500709534,0.15834727883338928,0.2516106069087982
roads,0.19353218376636505,0.20236065983772278,0.25260934233665466,0.09876120090484619,0.25521090626716614,0.25260934233665466,0.11397664994001389,0.27303141355514526,0.12998369336128235,0.305673748254776,0.17565645277500153
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.4345304071903229,0.2238127440214157,0.2594514787197113,0.2374027520418167,0.4130953550338745
