,who,is,the,commissioner,of,the,national,football,league,?
it,0.2868398427963257,0.6328473687171936,0.6251175999641418,0.19621670246124268,0.38761502504348755,0.6251175999641418,0.16561564803123474,0.18286587297916412,0.1834152340888977,0.25732165575027466
would,0.3632977604866028,0.33626067638397217,0.4133751392364502,0.21825768053531647,0.3353942930698395,0.4133751392364502,0.13018754124641418,0.12012837827205658,0.15430445969104767,0.37178951501846313
be,0.3371641933917999,0.4819129705429077,0.4248143136501312,0.1837872862815857,0.33904364705085754,0.4248143136501312,0.1411116123199463,0.09903853386640549,0.1451711356639862,0.3324260413646698
``,0.02397952415049076,0.058766357600688934,0.029072100296616554,-0.02414378896355629,0.06780257821083069,0.029072100296616554,0.0037908339872956276,0.04665558412671089,0.03209106624126434,0.0685480609536171
an,0.2848317325115204,0.4654068350791931,0.4207492768764496,0.15447744727134705,0.32280945777893066,0.4207492768764496,0.1631900668144226,0.14095984399318695,0.1228543370962143,0.19793890416622162
important,0.23735733330249786,0.350485235452652,0.39348116517066956,0.16514143347740173,0.43301743268966675,0.39348116517066956,0.2241090089082718,0.13738474249839783,0.18639467656612396,0.17812499403953552
game,0.2523840069770813,0.21222543716430664,0.285271555185318,0.18546190857887268,0.2298848181962967,0.285271555185318,0.1871233880519867,0.2986574172973633,0.3045117259025574,0.1829071193933487
for,0.37110671401023865,0.43268078565597534,0.4739971458911896,0.2248236984014511,0.4185989499092102,0.4739971458911896,0.36267757415771484,0.23134100437164307,0.26433616876602173,0.264628142118454
us,0.19343413412570953,0.1808239072561264,0.25727739930152893,0.12254858016967773,0.23568789660930634,0.25727739930152893,0.2129601389169693,0.12541329860687256,0.17080022394657135,0.2742428481578827
as,0.3923053741455078,0.43216490745544434,0.48381632566452026,0.25207218527793884,0.3886612355709076,0.48381632566452026,0.21661384403705597,0.17312440276145935,0.1659073382616043,0.27043893933296204
a,0.36608949303627014,0.658733606338501,0.5829201340675354,0.1900102198123932,0.5052502155303955,0.5829201340675354,0.27889734506607056,0.20103967189788818,0.17562834918498993,0.23916715383529663
league,0.2161521464586258,0.1591515690088272,0.2724147439002991,0.32959142327308655,0.23588460683822632,0.2724147439002991,0.3638705611228943,0.5595965385437012,1.0000001192092896,0.15941482782363892
'',0.024401003494858742,0.0793738141655922,0.041273195296525955,-0.006760009564459324,0.13035868108272552,0.041273195296525955,0.012035216204822063,-0.04742448776960373,-0.040509432554244995,0.018684765323996544
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.21794068813323975,0.5352458953857422,0.5934505462646484,0.29436907172203064,0.2514924108982086,0.29573896527290344,0.4130953550338745
