,what,kind,of,committee,considered,legislation,on,the,development,of,the,edinburgh,tram,network,?
infrastructure,0.23299327492713928,0.13178406655788422,0.27721908688545227,0.248813658952713,0.14622829854488373,0.3478018343448639,0.22608408331871033,0.255354642868042,0.4625433087348938,0.27721908688545227,0.255354642868042,0.1663915365934372,0.33237528800964355,0.39175331592559814,0.15828795731067657
projects,0.28646913170814514,0.1472882181406021,0.21610960364341736,0.23150348663330078,0.2355428785085678,0.2623921036720276,0.2934565842151642,0.23802334070205688,0.37195149064064026,0.21610960364341736,0.23802334070205688,0.1653391718864441,0.20007091760635376,0.2869057357311249,0.3193145990371704
that,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.2412172257900238,0.37593913078308105,0.2797568440437317,0.42569106817245483,0.5473989248275757,0.2717459201812744,0.41498205065727234,0.5473989248275757,0.15276966989040375,0.21170873939990997,0.2984007000923157,0.32716336846351624
require,0.2487315833568573,0.29560214281082153,0.20683176815509796,0.1757720559835434,0.23032090067863464,0.2786838412284851,0.17585624754428864,0.17356595396995544,0.21817466616630554,0.20683176815509796,0.17356595396995544,0.11210232228040695,0.12710291147232056,0.19539478421211243,0.2463286817073822
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.24322165548801422,0.4028765559196472,0.2839483618736267,0.5107308030128479,1.0,0.3362044394016266,0.733189046382904,1.0,0.2266589254140854,0.18319645524024963,0.27187061309814453,0.22068053483963013
use,0.3453877568244934,0.39127564430236816,0.2750902473926544,0.17827193439006805,0.3013906180858612,0.18836861848831177,0.2776605486869812,0.34342584013938904,0.2904309630393982,0.2750902473926544,0.34342584013938904,0.2005143165588379,0.22667494416236877,0.29727494716644287,0.32795652747154236
of,0.33290785551071167,0.2285657674074173,1.0,0.2920650243759155,0.4190242290496826,0.3114430606365204,0.3966929316520691,0.733189046382904,0.28700894117355347,1.0,0.733189046382904,0.263994961977005,0.15028703212738037,0.21800683438777924,0.1826142966747284
land,0.23411516845226288,0.15188859403133392,0.3057127296924591,0.11075925081968307,0.1957729607820511,0.23588186502456665,0.2075873464345932,0.28587454557418823,0.1926106959581375,0.3057127296924591,0.28587454557418823,0.06122167780995369,0.19230587780475616,0.16986750066280365,0.1432059109210968
or,0.33867141604423523,0.4102349579334259,0.3792596757411957,0.219742551445961,0.35840076208114624,0.23326462507247925,0.2897229492664337,0.4174870550632477,0.20496505498886108,0.3792596757411957,0.4174870550632477,0.16299830377101898,0.21655867993831635,0.21460621058940887,0.32389625906944275
property,0.24978817999362946,0.19268450140953064,0.2299845814704895,0.14377214014530182,0.24405328929424286,0.26377782225608826,0.1105850338935852,0.2061677873134613,0.1737055480480194,0.2299845814704895,0.2061677873134613,0.1356373429298401,0.17254526913166046,0.148037388920784,0.16865147650241852
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.18011361360549927,0.29356086254119873,0.23787342011928558,0.49257001280784607,0.5934505462646484,0.2822875380516052,0.5352458953857422,0.5934505462646484,0.215346097946167,0.15903735160827637,0.23909442126750946,0.4130953550338745
