,what,is,the,mortality,rate,of,the,modern,bubonic,plague,?
°f,0.20015408098697662,0.23312681913375854,0.22598426043987274,0.2975049912929535,0.3298729360103607,0.13844995200634003,0.22598426043987274,0.12882746756076813,0.2804506719112396,0.19531701505184174,0.19986218214035034
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.13653193414211273,0.1473083794116974,0.3680361211299896,0.3456730246543884,0.17084072530269623,0.21264511346817017,0.1338484138250351,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23261049389839172,0.18156792223453522,0.4946078956127167,0.4933079481124878,0.2557750344276428,0.32434335350990295,0.2630122900009155,0.31091248989105225
headaches,0.2708512842655182,0.22088205814361572,0.2436933070421219,0.3840313255786896,0.22307434678077698,0.23864200711250305,0.2436933070421219,0.10642386972904205,0.4935605227947235,0.3611135184764862,0.25825217366218567
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23261049389839172,0.18156792223453522,0.4946078956127167,0.4933079481124878,0.2557750344276428,0.32434335350990295,0.2630122900009155,0.31091248989105225
painful,0.30762264132499695,0.19675642251968384,0.2153584361076355,0.3677358329296112,0.23774589598178864,0.20250758528709412,0.2153584361076355,0.12217981368303299,0.44055166840553284,0.2886195182800293,0.22760862112045288
aching,0.23264554142951965,0.16561280190944672,0.2644162178039551,0.40148448944091797,0.2246781289577484,0.27061840891838074,0.2644162178039551,0.11171386390924454,0.32872700691223145,0.24600963294506073,0.20378543436527252
joints,0.20501206815242767,0.23576907813549042,0.271634966135025,0.2972652018070221,0.17236225306987762,0.2510371506214142,0.271634966135025,0.20687557756900787,0.3532109260559082,0.1742537021636963,0.1446373015642166
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23261049389839172,0.18156792223453522,0.4946078956127167,0.4933079481124878,0.2557750344276428,0.32434335350990295,0.2630122900009155,0.31091248989105225
nausea,0.266349196434021,0.21150116622447968,0.19020935893058777,0.4058190584182739,0.2249327450990677,0.20683340728282928,0.19020935893058777,0.10668329149484634,0.5503575205802917,0.39368879795074463,0.2684856951236725
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2165900021791458,0.17405889928340912,0.5116966962814331,0.5171257257461548,0.3277876079082489,0.2855597734451294,0.2229994833469391,0.20544172823429108
vomiting,0.24620920419692993,0.12907671928405762,0.21922408044338226,0.4119490683078766,0.27954599261283875,0.20560584962368011,0.21922408044338226,0.07540538907051086,0.515163004398346,0.362056165933609,0.2029505968093872
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23261049389839172,0.18156792223453522,0.4946078956127167,0.4933079481124878,0.2557750344276428,0.32434335350990295,0.2630122900009155,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2165900021791458,0.17405889928340912,0.5116966962814331,0.5171257257461548,0.3277876079082489,0.2855597734451294,0.2229994833469391,0.20544172823429108
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.22303511202335358,0.24373900890350342,0.5052502155303955,0.5829201340675354,0.24361324310302734,0.2694512903690338,0.22077761590480804,0.23916715383529663
general,0.24928055703639984,0.20144300162792206,0.28634732961654663,0.09937071800231934,0.09857504814863205,0.28352999687194824,0.28634732961654663,0.10259630531072617,0.14666804671287537,0.10879912227392197,0.1972234547138214
feeling,0.3777739107608795,0.14949019253253937,0.19550150632858276,0.26177486777305603,0.17138615250587463,0.1762189418077469,0.19550150632858276,0.06349711865186691,0.27625811100006104,0.18203769624233246,0.25650694966316223
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2717146873474121,0.24132871627807617,1.0,0.733189046382904,0.3482828736305237,0.30323511362075806,0.27455615997314453,0.1826142966747284
malaise,0.16437262296676636,0.20693442225456238,0.2684255838394165,0.2220575213432312,0.19348803162574768,0.25649356842041016,0.2684255838394165,0.08027952164411545,0.3225237727165222,0.26060721278190613,0.12751911580562592
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.22979126870632172,0.2418757975101471,0.5352458953857422,0.5934505462646484,0.22790057957172394,0.3113137483596802,0.2547653317451477,0.4130953550338745
