,students,show,more,interest,in,classes,taught,by,what,type,of,teachers,?
are,0.2835792899131775,0.26362085342407227,0.4066504240036011,0.22280853986740112,0.3841303884983063,0.2913099527359009,0.15458330512046814,0.37842893600463867,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.2565288841724396,0.24591213464736938
friendly,0.18258066475391388,0.1673625409603119,0.2831372916698456,0.19017472863197327,0.1390361487865448,0.1655689924955368,0.22059266269207,0.1730983406305313,0.24098175764083862,0.14739982783794403,0.14716918766498566,0.1737314611673355,0.2218340039253235
and,0.28111961483955383,0.3455478549003601,0.39880692958831787,0.26105934381484985,0.4954058527946472,0.2892279624938965,0.2735629677772522,0.4289871156215668,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.28640416264533997,0.20544172823429108
supportive,0.2293892800807953,0.19427455961704254,0.3250865042209625,0.29820767045021057,0.2360086292028427,0.2363547533750534,0.15862861275672913,0.1748901754617691,0.2531377375125885,0.1444595456123352,0.25233203172683716,0.21884414553642273,0.1928483247756958
and,0.28111961483955383,0.3455478549003601,0.39880692958831787,0.26105934381484985,0.4954058527946472,0.2892279624938965,0.2735629677772522,0.4289871156215668,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.28640416264533997,0.20544172823429108
will,0.2392929345369339,0.269722044467926,0.3627133071422577,0.2090926617383957,0.2580665349960327,0.2206483632326126,0.13319389522075653,0.2520078420639038,0.3510494530200958,0.1847439557313919,0.2473582625389099,0.2233489602804184,0.35046905279159546
show,0.15391837060451508,0.9999999403953552,0.21705856919288635,0.23000331223011017,0.27595704793930054,0.2043103575706482,0.160716250538826,0.2779667377471924,0.29653704166412354,0.10632410645484924,0.21383242309093475,0.17230913043022156,0.2520138621330261
more,0.27059733867645264,0.21705856919288635,1.0,0.26096734404563904,0.32563260197639465,0.2299043983221054,0.19410666823387146,0.2627272307872772,0.3484537899494171,0.2277899980545044,0.30478984117507935,0.22816872596740723,0.27894994616508484
interest,0.25365766882896423,0.23000331223011017,0.26096734404563904,1.0000001192092896,0.27232617139816284,0.19402943551540375,0.26469165086746216,0.21001383662223816,0.23849236965179443,0.1279594600200653,0.2115241438150406,0.2429947704076767,0.2411724328994751
in,0.2676171064376831,0.27595704793930054,0.32563260197639465,0.27232617139816284,1.0,0.20728561282157898,0.24230356514453888,0.370934396982193,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2128150761127472,0.20430970191955566
courses,0.5292260646820068,0.16766582429409027,0.23656414449214935,0.22959889471530914,0.23575085401535034,0.44301825761795044,0.4474780559539795,0.23252063989639282,0.16680994629859924,0.1892250031232834,0.2450425922870636,0.5003960728645325,0.15338684618473053
taught,0.5147935152053833,0.160716250538826,0.19410666823387146,0.26469165086746216,0.24230356514453888,0.3365423381328583,1.0000001192092896,0.20017704367637634,0.25590506196022034,0.10239885002374649,0.23614580929279327,0.58847576379776,0.18297621607780457
by,0.19252489507198334,0.2779667377471924,0.2627272307872772,0.21001383662223816,0.370934396982193,0.1743253618478775,0.20017704367637634,1.0000001192092896,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.20573484897613525,0.17966607213020325
these,0.267805814743042,0.29026538133621216,0.4663735330104828,0.25917673110961914,0.3791837692260742,0.39040061831474304,0.20163577795028687,0.33332425355911255,0.4164220690727234,0.26445475220680237,0.42684608697891235,0.26086926460266113,0.2571668326854706
teachers,0.7183375358581543,0.17230913043022156,0.22816872596740723,0.2429947704076767,0.2128150761127472,0.40751945972442627,0.58847576379776,0.20573484897613525,0.2526462972164154,0.09933348745107651,0.27737662196159363,1.0,0.19522249698638916
.,0.2607303857803345,0.3016606271266937,0.4070230722427368,0.2713910639286041,0.5591574311256409,0.24851149320602417,0.25649359822273254,0.3936232924461365,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.24628326296806335,0.4130953550338745
