,who,proposed,that,innate,intertial,is,the,natural,state,of,objects,?
force,0.19492056965827942,0.11002401262521744,0.26810982823371887,0.17419876158237457,0.17261089384555817,0.22036980092525482,0.2800885736942291,0.1910051703453064,0.22697602212429047,0.27094775438308716,0.27373945713043213,0.1650998443365097
(,0.2443375140428543,0.20966757833957672,0.2264307141304016,0.16644489765167236,0.20145949721336365,0.35393038392066956,0.33289089798927307,0.20213626325130463,0.23423868417739868,0.35032153129577637,0.11311083287000656,0.40561532974243164
see,0.2854073643684387,0.3034503757953644,0.4087662696838379,0.22742344439029694,0.26214924454689026,0.30759111046791077,0.3770301640033722,0.19507673382759094,0.16368554532527924,0.33962661027908325,0.3211984634399414,0.42005208134651184
a,0.36608949303627014,0.2374454140663147,0.47537946701049805,0.22946256399154663,0.35091763734817505,0.658733606338501,0.5829201340675354,0.19475746154785156,0.25097307562828064,0.5052502155303955,0.24898670613765717,0.23916715383529663
more,0.31567877531051636,0.17278744280338287,0.4813884496688843,0.20305563509464264,0.2727062404155731,0.2946030795574188,0.39758381247520447,0.19589680433273315,0.15372243523597717,0.30478984117507935,0.25450223684310913,0.27894994616508484
detailed,0.1586190015077591,0.27790215611457825,0.31094855070114136,0.27489590644836426,0.32527539134025574,0.16562305390834808,0.287728875875473,0.205283522605896,0.17247076332569122,0.34139877557754517,0.22026175260543823,0.22426927089691162
description,0.21512523293495178,0.34241554141044617,0.3175562024116516,0.2849580943584442,0.34032949805259705,0.262004554271698,0.27126896381378174,0.18085221946239471,0.1775916963815689,0.3067724406719208,0.23980699479579926,0.23225292563438416
of,0.2827862501144409,0.26188141107559204,0.41498205065727234,0.255485475063324,0.3034816384315491,0.4854315221309662,0.733189046382904,0.2963479459285736,0.34253445267677307,1.0,0.23814009130001068,0.1826142966747284
this,0.3345087468624115,0.34555110335350037,0.6909449696540833,0.2680673897266388,0.34693846106529236,0.480927973985672,0.6274310946464539,0.2164631187915802,0.24571897089481354,0.45148900151252747,0.29637277126312256,0.3155723512172699
below,0.11985837668180466,0.2143518626689911,0.38739874958992004,0.24310126900672913,0.2662639617919922,0.24241961538791656,0.2930138111114502,0.14762632548809052,0.19833658635616302,0.23283669352531433,0.23173627257347107,0.17692236602306366
),0.2457384318113327,0.19034072756767273,0.23478686809539795,0.15244530141353607,0.21088504791259766,0.37732169032096863,0.3456730246543884,0.18814951181411743,0.2340407520532608,0.3680361211299896,0.10009772330522537,0.42300865054130554
.,0.3541337847709656,0.22405166923999786,0.4460422694683075,0.2064800262451172,0.2356979250907898,0.4569662809371948,0.5934505462646484,0.25792330503463745,0.31380724906921387,0.5352458953857422,0.23188386857509613,0.4130953550338745
