,who,discussed,twigg,'s,study,in,2002,?
authors,0.20428071916103363,0.26725268363952637,0.12867078185081482,0.06071950122714043,0.1806095391511917,0.17017622292041779,-0.05869987607002258,0.19121912121772766
",",0.3365725874900818,0.28613337874412537,0.31409451365470886,-0.0016132977325469255,0.26425549387931824,0.5201468467712402,-0.08979252725839615,0.31091248989105225
including,0.2835840582847595,0.1632162630558014,0.14006073772907257,0.0074059427715837955,0.2629964053630829,0.35857823491096497,-0.054524362087249756,0.1633303165435791
samuel,0.261510968208313,0.1060793548822403,0.24429447948932648,-0.025841904804110527,0.1679670214653015,0.20420196652412415,-0.1435507982969284,0.09954892843961716
k.,0.14496901631355286,0.28387659788131714,0.1290598064661026,0.0041891178116202354,-0.030756527557969093,-0.0025218194350600243,0.0616956502199173,0.4099535048007965
cohn,0.3092040419578552,0.25489404797554016,0.2549028694629669,-0.055611152201890945,0.30167070031166077,0.34919169545173645,-0.06666235625743866,0.2628079354763031
",",0.3365725874900818,0.28613337874412537,0.31409451365470886,-0.0016132977325469255,0.26425549387931824,0.5201468467712402,-0.08979252725839615,0.31091248989105225
jr.,0.30755749344825745,0.13012570142745972,0.2714040279388428,0.06017802655696869,0.11641079187393188,0.16787508130073547,0.07465943694114685,0.3112807273864746
(,0.2443375140428543,0.2114109992980957,0.2833290994167328,0.0012731997994706035,0.14299337565898895,0.3087427020072937,-0.02163376472890377,0.40561532974243164
2002,-0.011096460744738579,-0.028362885117530823,0.06748121231794357,0.0019099946366623044,-0.15508407354354858,-0.15852214395999908,0.9999999403953552,0.045828185975551605
),0.2457384318113327,0.2075836956501007,0.29110249876976013,0.021107977256178856,0.14638109505176544,0.3326910734176636,-0.010885889641940594,0.42300865054130554
",",0.3365725874900818,0.28613337874412537,0.31409451365470886,-0.0016132977325469255,0.26425549387931824,0.5201468467712402,-0.08979252725839615,0.31091248989105225
david,0.26544609665870667,0.167132169008255,0.2348243147134781,-0.00819597952067852,0.12063200771808624,0.17107756435871124,-0.05213455855846405,0.04158485680818558
herlihy,0.36676546931266785,0.19759520888328552,0.38550931215286255,0.0837826356291771,0.1835804283618927,0.34596702456474304,-0.05715001001954079,0.21515081822872162
(,0.2443375140428543,0.2114109992980957,0.2833290994167328,0.0012731997994706035,0.14299337565898895,0.3087427020072937,-0.02163376472890377,0.40561532974243164
1997,0.08716046810150146,0.02056582272052765,-0.217865988612175,0.02537059597671032,-0.0011963070137426257,-0.06112837791442871,0.014936201274394989,0.03663474693894386
),0.2457384318113327,0.2075836956501007,0.29110249876976013,0.021107977256178856,0.14638109505176544,0.3326910734176636,-0.010885889641940594,0.42300865054130554
",",0.3365725874900818,0.28613337874412537,0.31409451365470886,-0.0016132977325469255,0.26425549387931824,0.5201468467712402,-0.08979252725839615,0.31091248989105225
and,0.41279885172843933,0.22636206448078156,0.2821139693260193,0.06895173341035843,0.300253301858902,0.4954058527946472,-0.025821788236498833,0.20544172823429108
susan,0.19297325611114502,0.08230091631412506,0.26090243458747864,0.024990908801555634,0.14634259045124054,0.1138414815068245,-0.03514206409454346,0.12975265085697174
scott,0.23192273080348969,0.19934171438217163,0.3349940776824951,0.03834894672036171,0.08372288197278976,0.2145105004310608,-0.04843344911932945,0.0875725969672203
and,0.41279885172843933,0.22636206448078156,0.2821139693260193,0.06895173341035843,0.300253301858902,0.4954058527946472,-0.025821788236498833,0.20544172823429108
christopher,0.28159621357917786,0.15285234153270721,0.30689573287963867,0.0031149140559136868,0.10939265042543411,0.19567829370498657,-0.0773499459028244,0.09195942431688309
duncan,0.27624088525772095,0.10071641206741333,0.37435293197631836,-0.04443073272705078,0.12490569800138474,0.24124056100845337,-0.04706168547272682,0.17013710737228394
(,0.2443375140428543,0.2114109992980957,0.2833290994167328,0.0012731997994706035,0.14299337565898895,0.3087427020072937,-0.02163376472890377,0.40561532974243164
2001,-0.1539066731929779,-0.1024753674864769,-0.08509736508131027,-0.11581677943468094,0.052347179502248764,-0.10387769341468811,0.1214708536863327,-0.08740651607513428
),0.2457384318113327,0.2075836956501007,0.29110249876976013,0.021107977256178856,0.14638109505176544,0.3326910734176636,-0.010885889641940594,0.42300865054130554
.,0.3541337847709656,0.2701408565044403,0.2528034746646881,-0.003708066651597619,0.23432257771492004,0.5591574311256409,-0.10442857444286346,0.4130953550338745
