,who,knocked,the,ball,out,of,manning,'s,hands,on,the,next,play,?
as,0.3923053741455078,0.15629282593727112,0.48381632566452026,0.15887176990509033,0.3124499022960663,0.3886612355709076,0.27189740538597107,-0.05775856226682663,0.23324312269687653,0.36047765612602234,0.48381632566452026,0.2234075665473938,0.2074424922466278,0.27043893933296204
he,0.5500732064247131,0.21428945660591125,0.4571082592010498,0.20410560071468353,0.29240235686302185,0.38706058263778687,0.33812835812568665,0.024063590914011,0.2680021822452545,0.32403138279914856,0.4571082592010498,0.23504865169525146,0.3066076636314392,0.2089974731206894
was,0.3318818509578705,0.26522794365882874,0.48711544275283813,0.16079293191432953,0.28168347477912903,0.4069072902202606,0.2607507109642029,0.008974763564765453,0.19852744042873383,0.3909217119216919,0.48711544275283813,0.25374743342399597,0.23784595727920532,0.18412111699581146
winding,0.16404077410697937,0.33632680773735046,0.2995016276836395,0.26056501269340515,0.2307523787021637,0.21823114156723022,0.22617696225643158,-0.06448213756084442,0.30034998059272766,0.2721063196659088,0.2995016276836395,0.1659456193447113,0.21752329170703888,0.03567418456077576
up,0.26056501269340515,0.31555575132369995,0.38423117995262146,0.19136162102222443,0.5144561529159546,0.32945773005485535,0.23252514004707336,-0.08862818777561188,0.3091481029987335,0.34194523096084595,0.38423117995262146,0.2348165065050125,0.18358232080936432,0.1819818764925003
for,0.37110671401023865,0.15028490126132965,0.4739971458911896,0.1708642989397049,0.3312093913555145,0.4185989499092102,0.33057859539985657,-0.07241261005401611,0.25576677918434143,0.36199691891670227,0.4739971458911896,0.24420638382434845,0.27811455726623535,0.264628142118454
a,0.36608949303627014,0.1961788684129715,0.5829201340675354,0.23578347265720367,0.34264278411865234,0.5052502155303955,0.2509649395942688,0.04866964742541313,0.22827254235744476,0.3848365545272827,0.5829201340675354,0.3054417371749878,0.21130098402500153,0.23916715383529663
pass,0.12504667043685913,0.20783725380897522,0.25961899757385254,0.21328508853912354,0.18695145845413208,0.18302802741527557,0.28301873803138733,-0.025650637224316597,0.12842042744159698,0.13331516087055206,0.25961899757385254,0.1926126480102539,0.16455939412117004,0.09478675574064255
",",0.3365725874900818,0.19776447117328644,0.4933079481124878,0.2170172780752182,0.3161109685897827,0.4946078956127167,0.30921146273612976,-0.0016132977325469255,0.2761915624141693,0.49057599902153015,0.4933079481124878,0.2665692865848541,0.2231253683567047,0.31091248989105225
and,0.41279885172843933,0.23763570189476013,0.5171257257461548,0.19981779158115387,0.3881998062133789,0.5116966962814331,0.2638654112815857,0.06895173341035843,0.3075007200241089,0.4077630043029785,0.5171257257461548,0.22333113849163055,0.25634777545928955,0.20544172823429108
then,0.29952746629714966,0.28316470980644226,0.4297412931919098,0.22892506420612335,0.39460504055023193,0.2937326431274414,0.2315567582845688,0.010921895503997803,0.26867181062698364,0.30262795090675354,0.4297412931919098,0.40651917457580566,0.1956665962934494,0.2884598970413208
recovered,0.19365158677101135,0.3414326608181,0.2614712417125702,0.12504027783870697,0.27184879779815674,0.22457769513130188,0.2291233241558075,-0.014260370284318924,0.24222332239151,0.2166234701871872,0.2614712417125702,0.21497024595737457,0.13591600954532623,0.08912046253681183
it,0.2868398427963257,0.19844722747802734,0.6251175999641418,0.1934148073196411,0.3502036929130554,0.38761502504348755,0.17507615685462952,0.06608816236257553,0.19677355885505676,0.4529881477355957,0.6251175999641418,0.2716643214225769,0.2560184895992279,0.25732165575027466
for,0.37110671401023865,0.15028490126132965,0.4739971458911896,0.1708642989397049,0.3312093913555145,0.4185989499092102,0.33057859539985657,-0.07241261005401611,0.25576677918434143,0.36199691891670227,0.4739971458911896,0.24420638382434845,0.27811455726623535,0.264628142118454
carolina,0.1409980058670044,0.13189779222011566,0.24749229848384857,0.11953222006559372,0.15893693268299103,0.26946863532066345,0.26052483916282654,0.030589593574404716,0.08616586029529572,0.19547675549983978,0.24749229848384857,0.20269331336021423,0.11378059536218643,0.11847445368766785
on,0.2340552806854248,0.20865215361118317,0.5107308030128479,0.1605052351951599,0.39060163497924805,0.3966929316520691,0.25339728593826294,0.0026888418942689896,0.24878622591495514,0.9999999403953552,0.5107308030128479,0.33060458302497864,0.22181138396263123,0.2714994251728058
the,0.3733934462070465,0.25226226449012756,1.0,0.18895584344863892,0.39404502511024475,0.733189046382904,0.27058160305023193,-0.01540423184633255,0.27627843618392944,0.5107308030128479,1.0,0.35833123326301575,0.24793598055839539,0.22068053483963013
50-yard,0.2855687439441681,0.32689160108566284,0.2974485754966736,0.2723853290081024,0.2560451924800873,0.1965905725955963,0.3826310932636261,0.028544537723064423,0.23821420967578888,0.2211121767759323,0.2974485754966736,0.19651606678962708,0.1985522359609604,0.11265861243009567
line,0.1774713397026062,0.14542841911315918,0.29789501428604126,0.2138069123029709,0.20314781367778778,0.23765452206134796,0.16799555718898773,-0.06894499808549881,0.11595875769853592,0.2094266265630722,0.29789501428604126,0.13729949295520782,0.17768004536628723,0.16271452605724335
.,0.3541337847709656,0.20896472036838531,0.5934505462646484,0.214210644364357,0.34234723448753357,0.5352458953857422,0.2937074899673462,-0.003708066651597619,0.2309190034866333,0.49257001280784607,0.5934505462646484,0.2761645019054413,0.25552695989608765,0.4130953550338745
