,what,is,the,status,of,most,chloroplast,genes,in,the,mitochondrion,?
though,0.4089210331439972,0.3265945613384247,0.38776206970214844,0.3054300844669342,0.37307101488113403,0.4118613302707672,0.25277602672576904,0.18085908889770508,0.3193182945251465,0.38776206970214844,0.28117087483406067,0.3188856542110443
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.28739041090011597,0.5052502155303955,0.3508910834789276,0.237538680434227,0.17779681086540222,0.539380669593811,0.5829201340675354,0.2891676723957062,0.23916715383529663
few,0.2780759632587433,0.22223958373069763,0.34660017490386963,0.17639189958572388,0.2682102620601654,0.42354097962379456,0.18731895089149475,0.12868796288967133,0.3588411808013916,0.34660017490386963,0.2236224114894867,0.2334265559911728
trna,0.1872992217540741,0.21187762916088104,0.2413189858198166,0.25261032581329346,0.20570610463619232,0.1545124500989914,0.5522347688674927,0.4678725004196167,0.2484186738729477,0.2413189858198166,0.5431318879127502,0.1637638360261917
genes,0.2555708885192871,0.1789029836654663,0.20576688647270203,0.11733784526586533,0.20000982284545898,0.17597433924674988,0.5101798176765442,0.9999999403953552,0.1368900090456009,0.20576688647270203,0.5854417681694031,0.19798170030117035
still,0.4548931419849396,0.3574111759662628,0.40142056345939636,0.3440213203430176,0.3288819193840027,0.431209534406662,0.24658118188381195,0.11487334966659546,0.3424699008464813,0.40142056345939636,0.23439638316631317,0.3039587736129761
work,0.3762225806713104,0.22475390136241913,0.2704800069332123,0.23307475447654724,0.23473061621189117,0.2797144949436188,0.2501639127731323,0.24924108386039734,0.2753349542617798,0.2704800069332123,0.269098162651062,0.2621155381202698
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.20590373873710632,0.5696388483047485,0.41416558623313904,0.19207799434661865,0.1368900090456009,1.0,0.6662389636039734,0.23531587421894073,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.23601171374320984,0.733189046382904,0.47635307908058167,0.21317854523658752,0.20576688647270203,0.6662389636039734,1.0,0.25182175636291504,0.22068053483963013
mitochondrion,0.24240174889564514,0.2610161602497101,0.25182175636291504,0.16203802824020386,0.25094789266586304,0.2182791531085968,0.6996091604232788,0.5854417681694031,0.23531587421894073,0.25182175636291504,1.0000001192092896,0.19010892510414124
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.21120375394821167,0.5352458953857422,0.35404038429260254,0.2371024191379547,0.24675390124320984,0.5591574311256409,0.5934505462646484,0.26367029547691345,0.4130953550338745
