,who,can,question,statements,the,first,minister,or,members,of,the,cabinet,make,?
been,0.3295723795890808,0.3498430848121643,0.27758076786994934,0.2665778398513794,0.3563927710056305,0.32745984196662903,0.14663785696029663,0.32461076974868774,0.2348555624485016,0.31685134768486023,0.3563927710056305,0.14928504824638367,0.25218355655670166,0.24354910850524902
delivered,0.19769075512886047,0.15334509313106537,0.20466649532318115,0.2468690127134323,0.24479162693023682,0.28222522139549255,0.14764754474163055,0.16629020869731903,0.15013377368450165,0.17907582223415375,0.24479162693023682,0.17653346061706543,0.23932687938213348,0.17044389247894287
",",0.3365725874900818,0.3139454126358032,0.2616102993488312,0.2683500051498413,0.4933079481124878,0.34503069519996643,0.24737542867660522,0.3769497275352478,0.2357054501771927,0.4946078956127167,0.4933079481124878,0.20813481509685516,0.324553906917572,0.31091248989105225
the,0.3733934462070465,0.312528520822525,0.28031662106513977,0.20045673847198486,1.0,0.49448907375335693,0.19297581911087036,0.4174870550632477,0.3321719169616699,0.733189046382904,1.0,0.24264733493328094,0.3146495521068573,0.22068053483963013
leaders,0.31705352663993835,0.09787434339523315,0.15332593023777008,0.322939395904541,0.3157886564731598,0.18219828605651855,0.39742815494537354,0.15074610710144043,0.45155060291290283,0.2602892220020294,0.3157886564731598,0.43135738372802734,0.19385217130184174,0.13927052915096283
of,0.2827862501144409,0.2603091299533844,0.2222393900156021,0.19305990636348724,0.733189046382904,0.3536086082458496,0.23343199491500854,0.3792596757411957,0.28120753169059753,1.0,0.733189046382904,0.27811557054519653,0.2912110388278961,0.1826142966747284
the,0.3733934462070465,0.312528520822525,0.28031662106513977,0.20045673847198486,1.0,0.49448907375335693,0.19297581911087036,0.4174870550632477,0.3321719169616699,0.733189046382904,1.0,0.24264733493328094,0.3146495521068573,0.22068053483963013
opposition,0.28465259075164795,0.2096005380153656,0.3349038064479828,0.37961629033088684,0.26783087849617004,0.21385855972766876,0.36622607707977295,0.19365033507347107,0.2887182831764221,0.27615541219711304,0.26783087849617004,0.35775288939476013,0.13472725450992584,0.15647298097610474
parties,0.24264965951442719,0.21731381118297577,0.2286110669374466,0.31262513995170593,0.2535073459148407,0.15968278050422668,0.23740656673908234,0.2660670280456543,0.3494274616241455,0.2394237220287323,0.2535073459148407,0.3234086334705353,0.23053604364395142,0.16949701309204102
and,0.41279885172843933,0.3675691485404968,0.20355750620365143,0.2422226220369339,0.5171257257461548,0.3167642652988434,0.24971023201942444,0.4713204801082611,0.2994427978992462,0.5116966962814331,0.5171257257461548,0.2119152694940567,0.4160483181476593,0.20544172823429108
other,0.3612329661846161,0.454561322927475,0.21061557531356812,0.26671966910362244,0.44152235984802246,0.23885147273540497,0.1277157962322235,0.5325124859809875,0.31560012698173523,0.38583824038505554,0.44152235984802246,0.17297498881816864,0.42062121629714966,0.24682199954986572
msps,0.2761230170726776,0.29166239500045776,0.23325802385807037,0.2792404890060425,0.3199247419834137,0.223291277885437,0.32801443338394165,0.3220682442188263,0.48753979802131653,0.32335641980171204,0.3199247419834137,0.37099263072013855,0.21481828391551971,0.14526908099651337
question,0.3076270818710327,0.3161180913448334,1.0,0.48166629672050476,0.28031662106513977,0.25265398621559143,0.1578506976366043,0.2952239215373993,0.15677165985107422,0.2222393900156021,0.28031662106513977,0.262702077627182,0.27513644099235535,0.48000848293304443
the,0.3733934462070465,0.312528520822525,0.28031662106513977,0.20045673847198486,1.0,0.49448907375335693,0.19297581911087036,0.4174870550632477,0.3321719169616699,0.733189046382904,1.0,0.24264733493328094,0.3146495521068573,0.22068053483963013
first,0.39065709710121155,0.24635975062847137,0.25265398621559143,0.220655158162117,0.49448907375335693,1.0,0.20848903059959412,0.23187343776226044,0.1530320644378662,0.3536086082458496,0.49448907375335693,0.22581371665000916,0.24807552993297577,0.18701928853988647
minister,0.18775032460689545,0.09680568426847458,0.1578506976366043,0.17640520632266998,0.19297581911087036,0.20848903059959412,0.9999998807907104,0.15449458360671997,0.23313948512077332,0.23343199491500854,0.19297581911087036,0.5746684074401855,0.10476630181074142,0.10825661569833755
on,0.2340552806854248,0.2772369682788849,0.19436295330524445,0.22366325557231903,0.5107308030128479,0.3120559751987457,0.14813750982284546,0.2897229492664337,0.22849144041538239,0.3966929316520691,0.5107308030128479,0.13693758845329285,0.27031177282333374,0.2714994251728058
issues,0.24231775104999542,0.2705410420894623,0.4274749457836151,0.47797220945358276,0.2638932764530182,0.21679075062274933,0.1588302105665207,0.23356692492961884,0.1768854707479477,0.2288406491279602,0.2638932764530182,0.23852407932281494,0.22609476745128632,0.320565789937973
related,0.1721559315919876,0.19034971296787262,0.20301705598831177,0.21711818873882294,0.26962998509407043,0.14923372864723206,0.1943652629852295,0.2758271098136902,0.22585022449493408,0.2691357135772705,0.26962998509407043,0.10211630910634995,0.20496423542499542,0.17689068615436554
to,0.42656609416007996,0.4979398250579834,0.33945542573928833,0.2911079525947571,0.535392165184021,0.3792489171028137,0.17637476325035095,0.38921234011650085,0.26617446541786194,0.41548454761505127,0.535392165184021,0.21436810493469238,0.497876912355423,0.29463258385658264
the,0.3733934462070465,0.312528520822525,0.28031662106513977,0.20045673847198486,1.0,0.49448907375335693,0.19297581911087036,0.4174870550632477,0.3321719169616699,0.733189046382904,1.0,0.24264733493328094,0.3146495521068573,0.22068053483963013
substance,0.1844039112329483,0.3758808970451355,0.2719384431838989,0.26489582657814026,0.27041906118392944,0.22284238040447235,0.12061048299074173,0.3775405287742615,0.10173134505748749,0.23127788305282593,0.27041906118392944,0.14479900896549225,0.27270856499671936,0.2033585160970688
of,0.2827862501144409,0.2603091299533844,0.2222393900156021,0.19305990636348724,0.733189046382904,0.3536086082458496,0.23343199491500854,0.3792596757411957,0.28120753169059753,1.0,0.733189046382904,0.27811557054519653,0.2912110388278961,0.1826142966747284
the,0.3733934462070465,0.312528520822525,0.28031662106513977,0.20045673847198486,1.0,0.49448907375335693,0.19297581911087036,0.4174870550632477,0.3321719169616699,0.733189046382904,1.0,0.24264733493328094,0.3146495521068573,0.22068053483963013
statement,0.1789797991514206,0.24573096632957458,0.5307198762893677,0.8866040706634521,0.20954233407974243,0.24768909811973572,0.15787053108215332,0.2780212163925171,0.14652974903583527,0.1980573982000351,0.20954233407974243,0.16182975471019745,0.22757869958877563,0.28978636860847473
.,0.3541337847709656,0.35783761739730835,0.2639329135417938,0.21154142916202545,0.5934505462646484,0.4345304071903229,0.16012521088123322,0.36683785915374756,0.21119362115859985,0.5352458953857422,0.5934505462646484,0.24969246983528137,0.3547073304653168,0.4130953550338745
