,in,private,schools,",",what,language,are,classes,taught,in,?
the,0.6662389636039734,0.18291357159614563,0.22905772924423218,0.4933079481124878,0.42745697498321533,0.30198320746421814,0.40399202704429626,0.21469499170780182,0.17271466553211212,0.6662389636039734,0.22068053483963013
medium,0.14635127782821655,0.18643686175346375,0.19195465743541718,0.1837785542011261,0.09298098087310791,0.16223110258579254,0.24433855712413788,0.19194629788398743,0.10434095561504364,0.14635127782821655,0.09342553466558456
of,0.5696388483047485,0.18706899881362915,0.265506386756897,0.4946078956127167,0.33290785551071167,0.25272229313850403,0.39081433415412903,0.19099700450897217,0.23614580929279327,0.5696388483047485,0.1826142966747284
education,0.2654339671134949,0.34071704745292664,0.6035618185997009,0.2718683183193207,0.19940856099128723,0.30624115467071533,0.14324818551540375,0.3047056198120117,0.49708476662635803,0.2654339671134949,0.18067774176597595
in,1.0,0.21135757863521576,0.2632134258747101,0.5201468467712402,0.30808621644973755,0.23268210887908936,0.3841303884983063,0.20728561282157898,0.24230356514453888,1.0,0.20430970191955566
private,0.21135757863521576,1.0,0.4158569872379303,0.1899166703224182,0.16778090596199036,0.12982140481472015,0.1694057136774063,0.26402461528778076,0.2601635158061981,0.21135757863521576,0.14389030635356903
schools,0.2632134258747101,0.4158569872379303,1.0,0.2760516405105591,0.1820785105228424,0.2158348709344864,0.30816179513931274,0.40551111102104187,0.47146323323249817,0.2632134258747101,0.18349280953407288
is,0.5394441485404968,0.1420905888080597,0.2022145688533783,0.4691906273365021,0.28837618231773376,0.270936518907547,0.5330929756164551,0.13611210882663727,0.15364351868629456,0.5394441485404968,0.22961433231830597
english,0.19623121619224548,0.17193938791751862,0.21713261306285858,0.3339248597621918,0.25060737133026123,0.4612087905406952,0.20190079510211945,0.13131096959114075,0.2004404515028,0.19623121619224548,0.23251567780971527
while,0.3399278521537781,0.27399495244026184,0.21855491399765015,0.38232675194740295,0.35511791706085205,0.16193674504756927,0.34230953454971313,0.21472522616386414,0.26105478405952454,0.3399278521537781,0.21076419949531555
it,0.5130809545516968,0.17335385084152222,0.25572529435157776,0.48329564929008484,0.45803478360176086,0.297003835439682,0.3617996573448181,0.22729383409023285,0.1685551255941391,0.5130809545516968,0.25732165575027466
is,0.5394441485404968,0.1420905888080597,0.2022145688533783,0.4691906273365021,0.28837618231773376,0.270936518907547,0.5330929756164551,0.13611210882663727,0.15364351868629456,0.5394441485404968,0.22961433231830597
the,0.6662389636039734,0.18291357159614563,0.22905772924423218,0.4933079481124878,0.42745697498321533,0.30198320746421814,0.40399202704429626,0.21469499170780182,0.17271466553211212,0.6662389636039734,0.22068053483963013
local,0.2223825752735138,0.22325782477855682,0.22340239584445953,0.20673875510692596,0.18981902301311493,0.2362394630908966,0.19665704667568207,0.22543203830718994,0.10505742579698563,0.2223825752735138,0.15022775530815125
language,0.23268210887908936,0.12982140481472015,0.2158348709344864,0.2694627344608307,0.28220435976982117,0.9999998807907104,0.26836323738098145,0.24860452115535736,0.3079262673854828,0.23268210887908936,0.25349316000938416
in,1.0,0.21135757863521576,0.2632134258747101,0.5201468467712402,0.30808621644973755,0.23268210887908936,0.3841303884983063,0.20728561282157898,0.24230356514453888,1.0,0.20430970191955566
government,0.3066793978214264,0.3261575996875763,0.3405122756958008,0.27344048023223877,0.28074538707733154,0.27621060609817505,0.20126859843730927,0.19374607503414154,0.1861218959093094,0.3066793978214264,0.18851417303085327
schools,0.2632134258747101,0.4158569872379303,1.0,0.2760516405105591,0.1820785105228424,0.2158348709344864,0.30816179513931274,0.40551111102104187,0.47146323323249817,0.2632134258747101,0.18349280953407288
.,0.5591574311256409,0.2534593939781189,0.2752705216407776,0.6812511086463928,0.3567904531955719,0.2506868243217468,0.3452940285205841,0.24851149320602417,0.25649359822273254,0.5591574311256409,0.4130953550338745
