,funding,limitations,allowed,csnet,to,be,what
networking,0.3231280446052551,0.3836654722690582,0.18632730841636658,0.4632643163204193,0.2734884023666382,0.2927539646625519,0.2650068402290344
and,0.30138206481933594,0.3331659138202667,0.30774351954460144,0.3208819031715393,0.48971283435821533,0.41766801476478577,0.31309178471565247
was,0.2314583957195282,0.12300675362348557,0.27499085664749146,0.25612157583236694,0.3636345863342285,0.42228707671165466,0.22111038863658905
a,0.2314450591802597,0.2530406713485718,0.275193989276886,0.3357473611831665,0.45503583550453186,0.39883795380592346,0.3320399522781372
major,0.20460139214992523,0.1602153182029724,0.178839311003685,0.19465070962905884,0.19240309298038483,0.1488431692123413,0.21026742458343506
milestone,0.24947120249271393,0.3303682208061218,0.20301981270313263,0.28789588809013367,0.28391045331954956,0.23888389766216278,0.32973426580429077
on,0.26127174496650696,0.28266671299934387,0.28039318323135376,0.2986340820789337,0.41031414270401,0.37900757789611816,0.34226128458976746
the,0.3006567358970642,0.26554352045059204,0.2985120713710785,0.3345748782157898,0.535392165184021,0.4248143136501312,0.42745697498321533
path,0.20620153844356537,0.23030933737754822,0.13938231766223907,0.15142545104026794,0.2716008722782135,0.21890756487846375,0.25106123089790344
to,0.3602164685726166,0.35590237379074097,0.42967355251312256,0.30056941509246826,1.0,0.4972836375236511,0.455847829580307
development,0.39361265301704407,0.2990152835845947,0.1515207141637802,0.23150262236595154,0.27639102935791016,0.22699303925037384,0.19014155864715576
of,0.27515512704849243,0.30837908387184143,0.2699741721153259,0.2858864963054657,0.41548454761505127,0.33904364705085754,0.33290785551071167
the,0.3006567358970642,0.26554352045059204,0.2985120713710785,0.3345748782157898,0.535392165184021,0.4248143136501312,0.42745697498321533
global,0.3204326927661896,0.25661444664001465,0.16286304593086243,0.3077877163887024,0.21649709343910217,0.1929779201745987,0.21706031262874603
internet,0.21240831911563873,0.31367000937461853,0.18156027793884277,0.4703824520111084,0.21228709816932678,0.22060172259807587,0.1770392656326294
.,0.24722786247730255,0.2549392282962799,0.3197084665298462,0.41417619585990906,0.4645031690597534,0.4383580684661865,0.3567904531955719
,funding,limitations,allowed,csnet,to,be,what
its,0.3153693675994873,0.25054967403411865,0.20374268293380737,0.27111151814460754,0.3691340684890747,0.2731834948062897,0.30393704771995544
purpose,0.3062564730644226,0.3905707895755768,0.3041628301143646,0.19385294616222382,0.38124558329582214,0.32208773493766785,0.33113807439804077
was,0.2314583957195282,0.12300675362348557,0.27499085664749146,0.25612157583236694,0.3636345863342285,0.42228707671165466,0.22111038863658905
to,0.3602164685726166,0.35590237379074097,0.42967355251312256,0.30056941509246826,1.0,0.4972836375236511,0.455847829580307
extend,0.3123071491718292,0.35757386684417725,0.26288580894470215,0.19372574985027313,0.3343263864517212,0.30090904235839844,0.30407145619392395
networking,0.3231280446052551,0.3836654722690582,0.18632730841636658,0.4632643163204193,0.2734884023666382,0.2927539646625519,0.2650068402290344
benefits,0.4456464946269989,0.422599196434021,0.31831595301628113,0.2497064471244812,0.29057374596595764,0.3397628366947174,0.26291319727897644
",",0.23183828592300415,0.2870737910270691,0.2785535454750061,0.31742966175079346,0.44245919585227966,0.39254459738731384,0.3087472915649414
for,0.34661975502967834,0.3435322046279907,0.3152953088283539,0.26885318756103516,0.4451248347759247,0.3801851272583008,0.3017193675041199
computer,0.23930102586746216,0.339526504278183,0.16838505864143372,0.315820574760437,0.2594811022281647,0.25427141785621643,0.26911869645118713
science,0.31545764207839966,0.2970927059650421,0.10138608515262604,0.26129692792892456,0.2226530760526657,0.18448032438755035,0.2612018585205078
departments,0.2731477618217468,0.2657291889190674,0.19704096019268036,0.31600725650787354,0.21612223982810974,0.20245209336280823,0.1946287304162979
at,0.18760472536087036,0.2050279974937439,0.25512567162513733,0.3032025396823883,0.36524343490600586,0.30379733443260193,0.2838611304759979
academic,0.2739706039428711,0.24908074736595154,0.17212335765361786,0.25572875142097473,0.17588050663471222,0.15495677292346954,0.10352335125207901
and,0.30138206481933594,0.3331659138202667,0.30774351954460144,0.3208819031715393,0.48971283435821533,0.41766801476478577,0.31309178471565247
research,0.46900227665901184,0.21732480823993683,0.11279662698507309,0.2691943049430847,0.2667310833930969,0.22765620052814484,0.237140491604805
institutions,0.4814988970756531,0.40092119574546814,0.2708075940608978,0.26548200845718384,0.21708254516124725,0.23006395995616913,0.22018329799175262
that,0.30964189767837524,0.43013399839401245,0.41059720516204834,0.32813549041748047,0.5436353087425232,0.6036020517349243,0.6297725439071655
could,0.26191771030426025,0.36766502261161804,0.5727928876876831,0.26299071311950684,0.5461788773536682,0.4791525900363922,0.4188697934150696
not,0.2770644724369049,0.38983574509620667,0.5134925246238708,0.288703054189682,0.5149973034858704,0.5788898468017578,0.5449194312095642
be,0.26874589920043945,0.40289682149887085,0.33143940567970276,0.3041974902153015,0.4972836375236511,1.0,0.3929833769798279
directly,0.2880373001098633,0.32603776454925537,0.2841939926147461,0.2945479154586792,0.46690139174461365,0.38079655170440674,0.3618607521057129
connected,0.16964182257652283,0.22391466796398163,0.2329447716474533,0.2279420793056488,0.2315610647201538,0.2530280351638794,0.21880124509334564
to,0.3602164685726166,0.35590237379074097,0.42967355251312256,0.30056941509246826,1.0,0.4972836375236511,0.455847829580307
arpanet,0.25760823488235474,0.333761990070343,0.12754672765731812,0.5722963809967041,0.23368079960346222,0.1782187819480896,0.21845723688602448
",",0.23183828592300415,0.2870737910270691,0.2785535454750061,0.31742966175079346,0.44245919585227966,0.39254459738731384,0.3087472915649414
due,0.2797529697418213,0.2926102876663208,0.2578810155391693,0.1725843995809555,0.35188060998916626,0.29785820841789246,0.15204688906669617
to,0.3602164685726166,0.35590237379074097,0.42967355251312256,0.30056941509246826,1.0,0.4972836375236511,0.455847829580307
funding,1.0,0.3839988112449646,0.28401365876197815,0.316490113735199,0.3602164685726166,0.26874589920043945,0.2725590467453003
or,0.22443437576293945,0.3754079341888428,0.39462190866470337,0.26332104206085205,0.38921234011650085,0.5260903835296631,0.33867141604423523
authorization,0.4224552512168884,0.5212547183036804,0.29977694153785706,0.29677653312683105,0.33761510252952576,0.3294535279273987,0.2723088562488556
limitations,0.3839988112449646,1.0,0.34335193037986755,0.331169992685318,0.35590237379074097,0.40289682149887085,0.32129794359207153
.,0.24722786247730255,0.2549392282962799,0.3197084665298462,0.41417619585990906,0.4645031690597534,0.4383580684661865,0.3567904531955719
