,what,might,starch,grains,be,a,side,effect,of,?
the,0.42745697498321533,0.32504433393478394,0.25495320558547974,0.25450876355171204,0.4248143136501312,0.5829201340675354,0.37146830558776855,0.2865084111690521,0.733189046382904,0.22068053483963013
efficiency,0.1758391559123993,0.26972320675849915,0.37286052107810974,0.24722960591316223,0.30477508902549744,0.17706015706062317,0.11896560341119766,0.3492278456687927,0.22438649833202362,0.14680004119873047
of,0.33290785551071167,0.2900311052799225,0.2332746386528015,0.2690761387348175,0.33904364705085754,0.5052502155303955,0.2452700436115265,0.24129827320575714,1.0,0.1826142966747284
photosynthesis,0.261831134557724,0.30223897099494934,0.6239206790924072,0.4842068552970886,0.2775934636592865,0.21278242766857147,0.13690884411334991,0.29619330167770386,0.26824626326560974,0.1871609091758728
",",0.3087472915649414,0.2533247768878937,0.2539854049682617,0.2864838242530823,0.39254459738731384,0.427140474319458,0.24522119760513306,0.2150653600692749,0.4946078956127167,0.31091248989105225
and,0.31309178471565247,0.31685465574264526,0.2777917981147766,0.3258484899997711,0.41766801476478577,0.3739250600337982,0.3098753094673157,0.23508284986019135,0.5116966962814331,0.20544172823429108
might,0.4838182032108307,1.0000001192092896,0.2549510598182678,0.3026264011859894,0.5260229706764221,0.4210625886917114,0.2339087426662445,0.29383766651153564,0.2900311052799225,0.41058459877967834
simply,0.4566527307033539,0.411620169878006,0.21530920267105103,0.21593330800533295,0.3588997721672058,0.3719869554042816,0.23209452629089355,0.175005704164505,0.2891358435153961,0.2984147369861603
be,0.3929833769798279,0.5260229706764221,0.3314809203147888,0.311230331659317,1.0,0.39883795380592346,0.25251397490501404,0.3193022906780243,0.33904364705085754,0.3324260413646698
a,0.3320399522781372,0.4210625886917114,0.20323342084884644,0.24080950021743774,0.39883795380592346,1.0,0.29873180389404297,0.24771364033222198,0.5052502155303955,0.23916715383529663
side,0.2532914876937866,0.2339087426662445,0.13036753237247467,0.14357149600982666,0.25251397490501404,0.29873180389404297,1.0,0.27899667620658875,0.2452700436115265,0.07831130921840668
effect,0.2546532452106476,0.29383766651153564,0.2725081741809845,0.2277892827987671,0.3193022906780243,0.24771364033222198,0.27899667620658875,1.0,0.24129827320575714,0.1783771812915802
of,0.33290785551071167,0.2900311052799225,0.2332746386528015,0.2690761387348175,0.33904364705085754,0.5052502155303955,0.2452700436115265,0.24129827320575714,1.0,0.1826142966747284
another,0.4190070629119873,0.46996185183525085,0.2540396451950073,0.22979527711868286,0.42243969440460205,0.6191956996917725,0.2786620855331421,0.24997931718826294,0.38147079944610596,0.295511931180954
photosynthesis-depressing,0.32416918873786926,0.36989864706993103,0.6167128086090088,0.49725770950317383,0.3385475277900696,0.26607146859169006,0.2265733927488327,0.33751919865608215,0.29046720266342163,0.22169916331768036
factor,0.23239780962467194,0.2976648509502411,0.2841563820838928,0.23481705784797668,0.2585146725177765,0.2596903145313263,0.12294516712427139,0.32198047637939453,0.2744791805744171,0.2154984176158905
.,0.3567904531955719,0.27493223547935486,0.29690173268318176,0.22477556765079498,0.4383580684661865,0.50484299659729,0.3030071258544922,0.2277858853340149,0.5352458953857422,0.4130953550338745
