,how,many,days,was,the,1996,film,shown,ahead,of,the,bbc,showing,?
citv,0.13728667795658112,0.15573127567768097,0.15366202592849731,0.2865990400314331,0.2778775691986084,-0.07479459792375565,0.3413393199443817,0.36229345202445984,0.09919413924217224,0.21878886222839355,0.2778775691986084,0.4797374904155731,0.23310014605522156,0.22337108850479126
in,0.2601168751716614,0.41474202275276184,0.24827800691127777,0.45514053106307983,0.6662389636039734,0.07233931124210358,0.22183799743652344,0.2988935708999634,0.136928990483284,0.5696388483047485,0.6662389636039734,0.22430340945720673,0.2822064757347107,0.20430970191955566
edmonton,0.1525340974330902,0.16825081408023834,0.15108241140842438,0.21768099069595337,0.21999219059944153,0.00017380579083692282,0.14472976326942444,0.18667490780353546,0.15529130399227142,0.13140320777893066,0.21999219059944153,0.18572500348091125,0.13160276412963867,0.16545714437961578
",",0.22659391164779663,0.40610817074775696,0.34504905343055725,0.45456063747406006,0.4933079481124878,0.20095814764499664,0.2552308440208435,0.25911012291908264,0.2872432768344879,0.4946078956127167,0.4933079481124878,0.14724469184875488,0.20210640132427216,0.31091248989105225
canada,0.15784701704978943,0.20953147113323212,0.12541304528713226,0.22200681269168854,0.2934837341308594,0.053366418927907944,0.1545395702123642,0.196401447057724,0.1352853924036026,0.24765145778656006,0.2934837341308594,0.1963864415884018,0.10928458720445633,0.15722735226154327
",",0.22659391164779663,0.40610817074775696,0.34504905343055725,0.45456063747406006,0.4933079481124878,0.20095814764499664,0.2552308440208435,0.25911012291908264,0.2872432768344879,0.4946078956127167,0.4933079481124878,0.14724469184875488,0.20210640132427216,0.31091248989105225
15,-0.005761355627328157,-0.02712528221309185,0.010266491211950779,0.08381640166044235,-0.011810222640633583,0.04124148190021515,-0.013727627694606781,-0.0832793116569519,0.11615025252103806,-0.02319195494055748,-0.011810222640633583,0.019306180998682976,-0.009516634047031403,-0.010706285014748573
days,0.23509229719638824,0.19773665070533752,0.9999998807907104,0.2985812723636627,0.2574930489063263,0.12820081412792206,0.15281683206558228,0.20465333759784698,0.24008668959140778,0.23668107390403748,0.2574930489063263,0.19635121524333954,0.11632948368787766,0.2198754847049713
before,0.33293965458869934,0.2728588581085205,0.43087872862815857,0.38607707619667053,0.45900648832321167,0.15456561744213104,0.17596763372421265,0.2295444905757904,0.2835941016674042,0.3282964527606964,0.45900648832321167,0.193171888589859,0.21480855345726013,0.2507109045982361
the,0.33890387415885925,0.4335206151008606,0.2574930489063263,0.48711544275283813,1.0,0.10029517859220505,0.2824619710445404,0.3387985825538635,0.21450060606002808,0.733189046382904,1.0,0.2735401690006256,0.34540408849716187,0.22068053483963013
bbc,0.1965121626853943,0.1944630742073059,0.19635121524333954,0.19087861478328705,0.2735401690006256,0.06447122246026993,0.24617424607276917,0.27733859419822693,0.06415542215108871,0.1797877550125122,0.2735401690006256,1.0000001192092896,0.17422133684158325,0.20556949079036713
one,0.3213292360305786,0.4223630726337433,0.27712950110435486,0.3752199709415436,0.5514441132545471,0.040363386273384094,0.1468900889158249,0.2880101203918457,0.2525314688682556,0.4999135136604309,0.5514441132545471,0.20136159658432007,0.3210073411464691,0.2673267424106598
showing,0.31077638268470764,0.321738600730896,0.11632948368787766,0.2461533397436142,0.34540408849716187,0.009369167499244213,0.12854795157909393,0.5659267902374268,0.10644396394491196,0.3515862822532654,0.34540408849716187,0.17422133684158325,1.0000001192092896,0.23185425996780396
",",0.22659391164779663,0.40610817074775696,0.34504905343055725,0.45456063747406006,0.4933079481124878,0.20095814764499664,0.2552308440208435,0.25911012291908264,0.2872432768344879,0.4946078956127167,0.4933079481124878,0.14724469184875488,0.20210640132427216,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.2561761140823364,0.3740963041782379,0.5171257257461548,0.062450964003801346,0.23832054436206818,0.28805026412010193,0.23561342060565948,0.5116966962814331,0.5171257257461548,0.17831335961818695,0.2609715461730957,0.20544172823429108
two,0.2499001920223236,0.5147606730461121,0.2784101366996765,0.27166637778282166,0.43858039379119873,0.005733142141252756,0.14766688644886017,0.25581416487693787,0.24336130917072296,0.37726253271102905,0.43858039379119873,0.21134033799171448,0.24309282004833221,0.19645625352859497
days,0.23509229719638824,0.19773665070533752,0.9999998807907104,0.2985812723636627,0.2574930489063263,0.12820081412792206,0.15281683206558228,0.20465333759784698,0.24008668959140778,0.23668107390403748,0.2574930489063263,0.19635121524333954,0.11632948368787766,0.2198754847049713
before,0.33293965458869934,0.2728588581085205,0.43087872862815857,0.38607707619667053,0.45900648832321167,0.15456561744213104,0.17596763372421265,0.2295444905757904,0.2835941016674042,0.3282964527606964,0.45900648832321167,0.193171888589859,0.21480855345726013,0.2507109045982361
it,0.36714982986450195,0.39615920186042786,0.2969350814819336,0.4577186405658722,0.6251175999641418,0.09828592091798782,0.24434618651866913,0.27352818846702576,0.2218961864709854,0.38761502504348755,0.6251175999641418,0.18502579629421234,0.21501436829566956,0.25732165575027466
aired,0.17783713340759277,0.14474952220916748,0.2522942125797272,0.27861282229423523,0.2525516450405121,-0.06229640170931816,0.28659215569496155,0.4520854651927948,0.04840748757123947,0.15519371628761292,0.2525516450405121,0.40065211057662964,0.20601864159107208,0.22283338010311127
on,0.32655060291290283,0.32520127296447754,0.3459240794181824,0.3909217119216919,0.5107308030128479,0.11237630248069763,0.162833571434021,0.33996689319610596,0.2263985127210617,0.3966929316520691,0.5107308030128479,0.2646632492542267,0.33344483375549316,0.2714994251728058
fox,0.16577140986919403,0.1604108065366745,0.06856022030115128,0.18574436008930206,0.24760441482067108,-0.04190049320459366,0.25025081634521484,0.2285570353269577,0.0710713118314743,0.13095848262310028,0.24760441482067108,0.3216656446456909,0.11294582486152649,0.1670110523700714
in,0.2601168751716614,0.41474202275276184,0.24827800691127777,0.45514053106307983,0.6662389636039734,0.07233931124210358,0.22183799743652344,0.2988935708999634,0.136928990483284,0.5696388483047485,0.6662389636039734,0.22430340945720673,0.2822064757347107,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.2574930489063263,0.48711544275283813,1.0,0.10029517859220505,0.2824619710445404,0.3387985825538635,0.21450060606002808,0.733189046382904,1.0,0.2735401690006256,0.34540408849716187,0.22068053483963013
united,0.19034643471240997,0.2670816481113434,0.17573107779026031,0.31727492809295654,0.34367692470550537,0.1326332837343216,0.14082004129886627,0.1872546523809433,0.18585194647312164,0.3187655806541443,0.34367692470550537,0.21684761345386505,0.13165368139743805,0.17266890406608582
states,0.20841296017169952,0.29976361989974976,0.19434739649295807,0.2847922146320343,0.3463578522205353,0.1443718820810318,0.13797974586486816,0.1798037588596344,0.15116547048091888,0.30884552001953125,0.3463578522205353,0.13745106756687164,0.13360010087490082,0.16272737085819244
.,0.3287222981452942,0.3974229395389557,0.2610209584236145,0.40146201848983765,0.5934505462646484,0.12802715599536896,0.22823183238506317,0.3143177330493927,0.2584618031978607,0.5352458953857422,0.5934505462646484,0.20265105366706848,0.2555331587791443,0.4130953550338745
