,what,was,the,name,of,the,florida,huguenot,colony,?
established,0.14869536459445953,0.26515325903892517,0.33092597126960754,0.1540020853281021,0.2735237777233124,0.33092597126960754,0.12846413254737854,0.2207619845867157,0.2822689116001129,0.15917523205280304
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.24091358482837677,0.29557526111602783,0.2740810811519623,0.22068053483963013
small,0.2504110634326935,0.16572418808937073,0.39655908942222595,0.18034958839416504,0.353353351354599,0.39655908942222595,0.1688167154788971,0.16900116205215454,0.253203421831131,0.13914890587329865
colony,0.26261213421821594,0.25879696011543274,0.2740810811519623,0.17989234626293182,0.2552715241909027,0.2740810811519623,0.22961819171905518,0.32352373003959656,1.0000001192092896,0.13831071555614471
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2330869883298874,0.29061198234558105,0.2552715241909027,0.1826142966747284
fort,0.19451747834682465,0.30989983677864075,0.2420126497745514,0.13392047584056854,0.18979716300964355,0.2420126497745514,0.32555681467056274,0.28774499893188477,0.29569774866104126,0.15686731040477753
caroline,0.19310812652111053,0.29276764392852783,0.2156924456357956,0.12435735762119293,0.2054101526737213,0.2156924456357956,0.23288722336292267,0.2648467719554901,0.1714012324810028,0.13168026506900787
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.17627742886543274,0.3966929316520691,0.5107308030128479,0.22258517146110535,0.1345445066690445,0.14955559372901917,0.2714994251728058
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.24091358482837677,0.29557526111602783,0.2740810811519623,0.22068053483963013
banks,0.11580011993646622,0.18093253672122955,0.28661349415779114,0.14737172424793243,0.21528330445289612,0.28661349415779114,0.12950098514556885,0.1669202297925949,0.24067166447639465,0.11048095673322678
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2330869883298874,0.29061198234558105,0.2552715241909027,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.24091358482837677,0.29557526111602783,0.2740810811519623,0.22068053483963013
st.,0.10219959169626236,0.17142929136753082,0.18141359090805054,0.17727084457874298,0.19887582957744598,0.18141359090805054,0.07602295279502869,0.23369340598583221,0.05839838460087776,0.13592876493930817
johns,0.14186497032642365,0.25427502393722534,0.22800521552562714,0.18224303424358368,0.22625818848609924,0.22800521552562714,0.3039551377296448,0.1976366639137268,0.21381507813930511,0.20295952260494232
river,0.13815869390964508,0.15785206854343414,0.2894456386566162,0.17863500118255615,0.19903257489204407,0.2894456386566162,0.15521368384361267,0.16873754560947418,0.1811414361000061,0.15390869975090027
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.2330404818058014,0.26198551058769226,0.25087448954582214,0.20430970191955566
what,0.9999998807907104,0.22111038863658905,0.42745697498321533,0.18623162806034088,0.33290785551071167,0.42745697498321533,0.14450381696224213,0.1912020891904831,0.26261213421821594,0.5051238536834717
is,0.28837618231773376,0.5810302495956421,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.1775415539741516,0.12706810235977173,0.18422435224056244,0.22961433231830597
today,0.3814660608768463,0.3137040436267853,0.35740926861763,0.20909298956394196,0.3291318118572235,0.35740926861763,0.11371861398220062,0.21656161546707153,0.19070865213871002,0.17338968813419342
jacksonville,0.14578714966773987,0.2742757201194763,0.2176690250635147,0.1122477576136589,0.23084138333797455,0.2176690250635147,0.568950355052948,0.2305164337158203,0.17666572332382202,0.1359667330980301
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.21896368265151978,0.24752236902713776,0.23671650886535645,0.31091248989105225
florida,0.14450381696224213,0.23693005740642548,0.24091358482837677,0.1335849165916443,0.2330869883298874,0.24091358482837677,1.0,0.1520034670829773,0.22961819171905518,0.13469882309436798
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.23988212645053864,0.2060975730419159,0.23889021575450897,0.4130953550338745
