,what,type,of,outlook,do,some,of,the,muslims,in,london,have,?
hamlets,0.17935261130332947,0.11819004267454147,0.24290646612644196,0.12759354710578918,0.13288390636444092,0.2240470051765442,0.24290646612644196,0.24988073110580444,0.2088804990053177,0.3047146797180176,0.354318231344223,0.19353480637073517,0.13921068608760834
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2859605550765991,0.276123583316803,0.5337774157524109,0.5116966962814331,0.5171257257461548,0.2307288646697998,0.4954058527946472,0.2868692874908447,0.4711785912513733,0.20544172823429108
waltham,0.20550206303596497,0.06827476620674133,0.1733766347169876,0.19255739450454712,0.09663626551628113,0.15024876594543457,0.1733766347169876,0.21355272829532623,0.14837560057640076,0.23362362384796143,0.5753929615020752,0.1485176533460617,0.14941930770874023
forest,0.15328429639339447,0.05597252398729324,0.2309139519929886,0.1083812415599823,0.11928735673427582,0.16337497532367706,0.2309139519929886,0.24134553968906403,0.11425278335809708,0.24136987328529358,0.18595698475837708,0.15213264524936676,0.1214437186717987
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.10588578134775162,0.24460165202617645,0.2398642599582672,0.3680361211299896,0.3456730246543884,0.1381087601184845,0.3326910734176636,0.1605358123779297,0.22866283357143402,0.42300865054130554
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19365285336971283,0.3283645510673523,0.42400437593460083,0.4946078956127167,0.4933079481124878,0.19662503898143768,0.5201468467712402,0.2571207880973816,0.3541618287563324,0.31091248989105225
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2859605550765991,0.276123583316803,0.5337774157524109,0.5116966962814331,0.5171257257461548,0.2307288646697998,0.4954058527946472,0.2868692874908447,0.4711785912513733,0.20544172823429108
among,0.21154822409152985,0.10981784015893936,0.3679063022136688,0.1600242257118225,0.21025244891643524,0.4347495138645172,0.3679063022136688,0.3507058024406433,0.21540948748588562,0.3211768567562103,0.12389588356018066,0.3610895574092865,0.14343059062957764
them,0.4994642734527588,0.1951582431793213,0.34503093361854553,0.14493417739868164,0.4653012752532959,0.5948359370231628,0.34503093361854553,0.4788833558559418,0.3445546329021454,0.29119014739990234,0.2053365409374237,0.5357621312141418,0.35435691475868225
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.1574312150478363,0.41111594438552856,0.6331475377082825,0.39081433415412903,0.40399202704429626,0.2533974349498749,0.3841303884983063,0.12451720982789993,0.6577680706977844,0.24591213464736938
some,0.4491020441055298,0.2761056125164032,0.4300730526447296,0.259114146232605,0.4725562036037445,0.9999999403953552,0.4300730526447296,0.4566698372364044,0.23580306768417358,0.4010399878025055,0.21964198350906372,0.6421269774436951,0.2562315762042999
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.16976116597652435,0.23744353652000427,0.3924338221549988,0.41827285289764404,0.4223487675189972,0.12962710857391357,0.4080928862094879,0.17428526282310486,0.48046383261680603,0.2433311939239502
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.15957504510879517,0.26237669587135315,0.34539633989334106,0.5052502155303955,0.5829201340675354,0.17830725014209747,0.539380669593811,0.1934366375207901,0.338716596364975,0.23916715383529663
strong,0.19839218258857727,0.21529075503349304,0.2524286210536957,0.22717496752738953,0.16289480030536652,0.30210819840431213,0.2524286210536957,0.22482411563396454,0.13532604277133942,0.21198557317256927,0.053802523761987686,0.31409984827041626,0.11990999430418015
islamist,0.17762082815170288,0.09872180223464966,0.19512814283370972,0.1988760083913803,0.17377261817455292,0.20107202231884003,0.19512814283370972,0.2459319531917572,0.5776523947715759,0.19697563350200653,0.27556151151657104,0.16833534836769104,0.14697067439556122
outlook,0.2678103446960449,0.11417021602392197,0.1781950145959854,1.0,0.16394247114658356,0.259114146232605,0.1781950145959854,0.1925373077392578,0.17993755638599396,0.17640452086925507,0.17107367515563965,0.22999417781829834,0.1554689258337021
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.22212527692317963,0.3613996207714081,0.40663889050483704,0.5352458953857422,0.5934505462646484,0.23631970584392548,0.5591574311256409,0.26322779059410095,0.41614407300949097,0.4130953550338745
