,when,was,the,colony,of,new,south,wales,founded,?
new,0.257220059633255,0.2748313844203949,0.3845241069793701,0.29187142848968506,0.343457967042923,0.9999999403953552,0.31787005066871643,0.3829886019229889,0.13345995545387268,0.14782847464084625
holland,0.19806742668151855,0.239714115858078,0.21247440576553345,0.19289472699165344,0.22898225486278534,0.23713305592536926,0.3111207187175751,0.22222045063972473,0.15638265013694763,0.14312024414539337
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23671650886535645,0.4946078956127167,0.36073189973831177,0.3256652057170868,0.19783782958984375,0.24976085126399994,0.31091248989105225
under,0.3172987401485443,0.2672741413116455,0.3348022699356079,0.114224873483181,0.32766106724739075,0.1802186667919159,0.2061096429824829,0.21104754507541656,0.24970626831054688,0.18233340978622437
the,0.5091903209686279,0.48711544275283813,1.0,0.2740810811519623,0.733189046382904,0.3845241069793701,0.3129390776157379,0.23852568864822388,0.2840350568294525,0.22068053483963013
administration,0.24702578783035278,0.2510780692100525,0.3083578944206238,0.19149596989154816,0.3326551914215088,0.17843976616859436,0.19971804320812225,0.19813087582588196,0.19481974840164185,0.14283715188503265
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2552715241909027,1.0,0.343457967042923,0.33382371068000793,0.23133093118667603,0.24571022391319275,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.2740810811519623,0.733189046382904,0.3845241069793701,0.3129390776157379,0.23852568864822388,0.2840350568294525,0.22068053483963013
colonial,0.2143167406320572,0.2549057900905609,0.2715741693973541,0.6329621076583862,0.2972153425216675,0.3134441077709198,0.3313849866390228,0.2520507872104645,0.23201780021190643,0.10191229730844498
government,0.23078718781471252,0.2995857298374176,0.31798112392425537,0.3172589838504791,0.3475167155265808,0.2173687368631363,0.28425851464271545,0.22876352071762085,0.20950041711330414,0.18851417303085327
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.25087448954582214,0.5696388483047485,0.3758552670478821,0.33642083406448364,0.18714384734630585,0.24877111613750458,0.20430970191955566
sydney,0.17386355996131897,0.26603373885154724,0.2544975280761719,0.23173049092292786,0.22197352349758148,0.335104376077652,0.3425675332546234,0.512420654296875,0.15120500326156616,0.0820717066526413
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.23889021575450897,0.5352458953857422,0.35031336545944214,0.2798699140548706,0.27743059396743774,0.23141497373580933,0.4130953550338745
