,what,innovation,in,mongolian,language,is,credited,to,genghis,khan,?
(,0.2411840260028839,0.16471314430236816,0.3087427020072937,0.22146162390708923,0.19353517889976501,0.35393038392066956,0.16770470142364502,0.30882009863853455,0.2257842868566513,0.1773909628391266,0.40561532974243164
great,0.2562883198261261,0.22034785151481628,0.23348836600780487,0.21042397618293762,0.10772986710071564,0.1345067322254181,0.17698447406291962,0.1880372017621994,0.3619271516799927,0.22385743260383606,0.13135133683681488
administration,0.2483910471200943,0.24253498017787933,0.25846216082572937,0.17405585944652557,0.1735219657421112,0.2050059735774994,0.13596005737781525,0.2658160626888275,0.19311140477657318,0.17336012423038483,0.14283715188503265
),0.26259949803352356,0.1722455620765686,0.3326910734176636,0.23745420575141907,0.23027637600898743,0.37732169032096863,0.14935004711151123,0.31236231327056885,0.24887141585350037,0.2105041742324829,0.42300865054130554
",",0.3087472915649414,0.2138882577419281,0.5201468467712402,0.22636307775974274,0.2694627344608307,0.4691906273365021,0.24781621992588043,0.44245919585227966,0.2891939878463745,0.19700400531291962,0.31091248989105225
the,0.42745697498321533,0.3283994793891907,0.6662389636039734,0.2657795250415802,0.30198320746421814,0.5823672413825989,0.19653713703155518,0.535392165184021,0.3448939025402069,0.21067845821380615,0.22068053483963013
first,0.28086137771606445,0.23713767528533936,0.4127444326877594,0.11414650827646255,0.21824438869953156,0.30889374017715454,0.23668214678764343,0.3792489171028137,0.2048429697751999,0.18324014544487,0.18701928853988647
written,0.25412634015083313,0.12949037551879883,0.20878943800926208,0.2072593867778778,0.336198091506958,0.2634589672088623,0.28884339332580566,0.18544813990592957,0.17503853142261505,0.12784332036972046,0.21451954543590546
mongolian,0.15557456016540527,0.15289227664470673,0.1663515418767929,0.9999999403953552,0.26692408323287964,0.20271806418895721,0.12025581300258636,0.152916818857193,0.463535338640213,0.4463278353214264,0.13122369349002838
law,0.2145031988620758,0.15105032920837402,0.24850773811340332,0.08108631521463394,0.22415955364704132,0.18597714602947235,0.16444464027881622,0.259207159280777,0.17648518085479736,0.10655999183654785,0.1528988480567932
.,0.3567904531955719,0.2152167558670044,0.5591574311256409,0.18073968589305878,0.2506868243217468,0.4569662809371948,0.1519664227962494,0.4645031690597534,0.25373268127441406,0.19819748401641846,0.4130953550338745
