,what,is,the,typical,working,fluid,in,a,steam,engine,?
properties,0.23360128700733185,0.22585535049438477,0.20062518119812012,0.19200485944747925,0.16231997311115265,0.28335219621658325,0.19315902888774872,0.21527832746505737,0.2170027494430542,0.1920550912618637,0.12601029872894287
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2310890257358551,0.29007792472839355,0.10517379641532898,0.5201468467712402,0.427140474319458,0.2264556586742401,0.19789794087409973,0.31091248989105225
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.3926040232181549,0.2172299474477768,0.19646884500980377,0.2704046070575714,0.2706976532936096,0.27096763253211975,0.12399271875619888,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.24787501990795135,0.2861536145210266,0.15303975343704224,0.3887844979763031,0.39550232887268066,0.20776431262493134,0.15144379436969757,0.27043893933296204
non-toxic,0.24946191906929016,0.2814626097679138,0.16745474934577942,0.283437579870224,0.1708453744649887,0.3681904673576355,0.18844260275363922,0.2556236684322357,0.2128499150276184,0.18466538190841675,0.2918723523616791
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.28220996260643005,0.30510061979293823,0.20163339376449585,0.4954058527946472,0.3739250600337982,0.24133789539337158,0.18437977135181427,0.20544172823429108
unreactive,0.2943516969680786,0.28157004714012146,0.18915410339832306,0.28367775678634644,0.26658278703689575,0.3289187550544739,0.2542983293533325,0.2880404591560364,0.2798691689968109,0.2467680126428604,0.24024753272533417
chemistry,0.25086724758148193,0.17505934834480286,0.16179440915584564,0.12923987209796906,0.19476598501205444,0.23626448214054108,0.22757266461849213,0.1493661105632782,0.08572500199079514,0.16100053489208221,0.1710113137960434
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2310890257358551,0.29007792472839355,0.10517379641532898,0.5201468467712402,0.427140474319458,0.2264556586742401,0.19789794087409973,0.31091248989105225
abundance,0.21293245255947113,0.22904013097286224,0.26983582973480225,0.28175288438796997,0.15889793634414673,0.20137619972229004,0.20486752688884735,0.1749054491519928,0.1623840034008026,0.06699364632368088,0.15727262198925018
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2310890257358551,0.29007792472839355,0.10517379641532898,0.5201468467712402,0.427140474319458,0.2264556586742401,0.19789794087409973,0.31091248989105225
low,0.20743566751480103,0.19289205968379974,0.2544175982475281,0.3793622553348541,0.1590786576271057,0.22382043302059174,0.21458278596401215,0.24393533170223236,0.19195891916751862,0.1785692721605301,0.10658930987119675
cost,0.210266575217247,0.21065181493759155,0.23177006840705872,0.22065487504005432,0.19741639494895935,0.2256239503622055,0.25200018286705017,0.21993719041347504,0.19495101273059845,0.26299020648002625,0.17823095619678497
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2310890257358551,0.29007792472839355,0.10517379641532898,0.5201468467712402,0.427140474319458,0.2264556586742401,0.19789794087409973,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.28220996260643005,0.30510061979293823,0.20163339376449585,0.4954058527946472,0.3739250600337982,0.24133789539337158,0.18437977135181427,0.20544172823429108
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.2849932610988617,0.18424473702907562,0.16100819408893585,0.3793783485889435,0.4424409866333008,0.16099195182323456,0.2350696474313736,0.15103481709957123
thermodynamic,0.27302685379981995,0.2794320583343506,0.2758195400238037,0.2512158453464508,0.19045895338058472,0.5197256207466125,0.21519406139850616,0.24694254994392395,0.3305758535861969,0.36082616448402405,0.26781561970710754
properties,0.23360128700733185,0.22585535049438477,0.20062518119812012,0.19200485944747925,0.16231997311115265,0.28335219621658325,0.19315902888774872,0.21527832746505737,0.2170027494430542,0.1920550912618637,0.12601029872894287
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2668197751045227,0.28468647599220276,0.17701123654842377,0.5591574311256409,0.50484299659729,0.22855372726917267,0.21814921498298645,0.4130953550338745
