,what,was,the,name,of,the,company,the,businessmen,financed,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.22141718864440918,0.6662389636039734,0.207875594496727,0.26143068075180054,0.20430970191955566
1886,0.17057421803474426,0.15760818123817444,0.16194075345993042,0.1321653574705124,0.2039724886417389,0.16194075345993042,0.20888139307498932,0.16194075345993042,0.23880316317081451,0.24316580593585968,0.15507127344608307
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2697763442993164,0.4933079481124878,0.2581561207771301,0.2626347541809082,0.31091248989105225
robert,0.1948658525943756,0.24186499416828156,0.2257954627275467,0.12209802120923996,0.2398476004600525,0.2257954627275467,0.19143742322921753,0.2257954627275467,0.2337489128112793,0.24281388521194458,0.11293095350265503
lane,0.1767110675573349,0.23533447086811066,0.17604383826255798,0.15029336512088776,0.15131840109825134,0.17604383826255798,0.1588728427886963,0.17604383826255798,0.21101169288158417,0.1476951390504837,0.12951500713825226
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.23788511753082275,0.5171257257461548,0.3280658423900604,0.26263681054115295,0.20544172823429108
benjamin,0.18476101756095886,0.2437800019979477,0.2507040798664093,0.12597016990184784,0.19692720472812653,0.2507040798664093,0.19894832372665405,0.2507040798664093,0.21178753674030304,0.18790960311889648,0.20336422324180603
vail,0.14698028564453125,0.23344160616397858,0.21898703277111053,0.09137997031211853,0.15051133930683136,0.21898703277111053,0.13931463658809662,0.21898703277111053,0.19084154069423676,0.2297976016998291,0.08528917282819748
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2697763442993164,0.4933079481124878,0.2581561207771301,0.2626347541809082,0.31091248989105225
who,0.40942975878715515,0.3318818509578705,0.3733934462070465,0.2027527540922165,0.2827862501144409,0.3733934462070465,0.2383776307106018,0.3733934462070465,0.39281243085861206,0.20561030507087708,0.26220351457595825
agreed,0.3416297733783722,0.2848299443721771,0.24722334742546082,0.15812240540981293,0.24395716190338135,0.24722334742546082,0.2155354917049408,0.24722334742546082,0.3054277300834656,0.33830830454826355,0.21258382499217987
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.24903783202171326,0.535392165184021,0.2436789870262146,0.2341109663248062,0.29463258385658264
finance,0.20704226195812225,0.2725954055786133,0.26623332500457764,0.178316131234169,0.3119599521160126,0.26623332500457764,0.33325669169425964,0.26623332500457764,0.47472259402275085,0.8504990339279175,0.1273542046546936
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.22033736109733582,0.32280945777893066,0.4207492768764496,0.13791987299919128,0.4207492768764496,0.13916155695915222,0.1546902060508728,0.19793890416622162
electric,0.15451551973819733,0.17723047733306885,0.21345196664333344,0.06425976753234863,0.17329032719135284,0.21345196664333344,0.27608945965766907,0.21345196664333344,0.1440277397632599,0.14193691313266754,0.15674720704555511
lighting,0.2408788651227951,0.19339853525161743,0.2831954061985016,0.10912854969501495,0.22980383038520813,0.2831954061985016,0.2684031128883362,0.2831954061985016,0.11968828737735748,0.2244206666946411,0.13502714037895203
company,0.2333769053220749,0.2293137013912201,0.26591673493385315,0.21465471386909485,0.20467796921730042,0.26591673493385315,1.0,0.26591673493385315,0.41658082604408264,0.3562568426132202,0.12195809185504913
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.22141718864440918,0.6662389636039734,0.207875594496727,0.26143068075180054,0.20430970191955566
tesla,0.23221199214458466,0.16455206274986267,0.1324402391910553,0.15570181608200073,0.18837453424930573,0.1324402391910553,0.23045730590820312,0.1324402391910553,0.13815727829933167,0.17688995599746704,0.10250775516033173
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.08507627248764038,-0.03817026689648628,-0.01540423184633255,0.003266559913754463,-0.01540423184633255,0.04513353854417801,0.04564172402024269,-0.023395681753754616
name,0.18623162806034088,0.2646567225456238,0.3171212375164032,1.0,0.24075818061828613,0.3171212375164032,0.21465471386909485,0.3171212375164032,0.13574714958667755,0.15780489146709442,0.15381577610969543
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2697763442993164,0.4933079481124878,0.2581561207771301,0.2626347541809082,0.31091248989105225
tesla,0.23221199214458466,0.16455206274986267,0.1324402391910553,0.15570181608200073,0.18837453424930573,0.1324402391910553,0.23045730590820312,0.1324402391910553,0.13815727829933167,0.17688995599746704,0.10250775516033173
electric,0.15451551973819733,0.17723047733306885,0.21345196664333344,0.06425976753234863,0.17329032719135284,0.21345196664333344,0.27608945965766907,0.21345196664333344,0.1440277397632599,0.14193691313266754,0.15674720704555511
light,0.22953972220420837,0.20157849788665771,0.2649136185646057,0.09951317310333252,0.18257063627243042,0.2649136185646057,0.2409716695547104,0.2649136185646057,0.06460326910018921,0.08802374452352524,0.17429810762405396
&,0.11141876131296158,0.12134000658988953,0.14992168545722961,0.0724157989025116,0.19900451600551605,0.14992168545722961,0.22427646815776825,0.14992168545722961,0.20370766520500183,0.19815947115421295,0.12596383690834045
manufacturing,0.1945977807044983,0.22300750017166138,0.25165510177612305,0.12039127200841904,0.26644885540008545,0.25165510177612305,0.49409720301628113,0.25165510177612305,0.35386738181114197,0.43356722593307495,0.11596895009279251
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.266353577375412,0.5934505462646484,0.2652583718299866,0.29012030363082886,0.4130953550338745
