,what,type,of,process,was,involved,the,the,depletion,of,the,sun,'s,oxygen,16,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.264274537563324,0.48711544275283813,0.2872544527053833,1.0,1.0,0.3154614269733429,0.733189046382904,1.0,0.258540540933609,-0.01540423184633255,0.20428593456745148,0.0058518932200968266,0.22068053483963013
sun,0.207769975066185,0.08656081557273865,0.22858914732933044,0.1275477558374405,0.20506168901920319,0.07568558305501938,0.258540540933609,0.258540540933609,0.292068213224411,0.22858914732933044,0.258540540933609,1.0000001192092896,0.018280325457453728,0.19829581677913666,0.09864930808544159,0.1497713327407837
's,0.02692362666130066,0.05257158726453781,-0.03817026689648628,-0.12054654210805893,0.008974763564765453,-0.08673543483018875,-0.01540423184633255,-0.01540423184633255,-0.014493119902908802,-0.03817026689648628,-0.01540423184633255,0.018280325457453728,0.9999999403953552,-0.011648092418909073,0.0028852298855781555,-0.023395681753754616
disk,0.210451140999794,0.14172038435935974,0.19994331896305084,0.2087613344192505,0.12099535018205643,0.08715348690748215,0.2558278441429138,0.2558278441429138,0.29459303617477417,0.19994331896305084,0.2558278441429138,0.3101794421672821,0.03409181535243988,0.1640430986881256,0.03964551165699959,0.10211904346942902
of,0.33290785551071167,0.18112817406654358,1.0,0.23962904512882233,0.4069072902202606,0.30147984623908997,0.733189046382904,0.733189046382904,0.26158493757247925,1.0,0.733189046382904,0.22858914732933044,-0.03817026689648628,0.16848602890968323,0.005479797255247831,0.1826142966747284
protoplanetary,0.2150014191865921,0.22342237830162048,0.23823808133602142,0.3114171624183655,0.22003871202468872,0.19943921267986298,0.2805185317993164,0.2805185317993164,0.4161764085292816,0.23823808133602142,0.2805185317993164,0.4034862220287323,-0.009996381588280201,0.343683660030365,0.01921048015356064,0.09940294176340103
material,0.2591213285923004,0.2429523766040802,0.27520954608917236,0.41475778818130493,0.19338609278202057,0.18365603685379028,0.26762521266937256,0.26762521266937256,0.35504812002182007,0.27520954608917236,0.26762521266937256,0.13857729732990265,-0.026550788432359695,0.2769271433353424,-0.06851153075695038,0.18117131292819977
prior,0.2537507116794586,0.11087977886199951,0.3183474540710449,0.34565064311027527,0.29096508026123047,0.259400337934494,0.33782097697257996,0.33782097697257996,0.22831138968467712,0.3183474540710449,0.33782097697257996,0.10434256494045258,-0.0369880273938179,0.11723873764276505,-0.025849875062704086,0.16978254914283752
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.35462963581085205,0.3636345863342285,0.24297703802585602,0.535392165184021,0.535392165184021,0.3314284384250641,0.41548454761505127,0.535392165184021,0.17790719866752625,0.03782717138528824,0.24193501472473145,0.055442724376916885,0.29463258385658264
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.264274537563324,0.48711544275283813,0.2872544527053833,1.0,1.0,0.3154614269733429,0.733189046382904,1.0,0.258540540933609,-0.01540423184633255,0.20428593456745148,0.0058518932200968266,0.22068053483963013
coalescence,0.2477882206439972,0.18269698321819305,0.29055142402648926,0.3584350049495697,0.17493878304958344,0.19088205695152283,0.27374714612960815,0.27374714612960815,0.41011843085289,0.29055142402648926,0.27374714612960815,0.2597016990184784,-0.04223143681883812,0.37916630506515503,0.08054656535387039,0.13228370249271393
of,0.33290785551071167,0.18112817406654358,1.0,0.23962904512882233,0.4069072902202606,0.30147984623908997,0.733189046382904,0.733189046382904,0.26158493757247925,1.0,0.733189046382904,0.22858914732933044,-0.03817026689648628,0.16848602890968323,0.005479797255247831,0.1826142966747284
dust,0.1907336562871933,0.17186729609966278,0.25486329197883606,0.2516195774078369,0.127471461892128,0.1850225031375885,0.2346910536289215,0.2346910536289215,0.33266374468803406,0.25486329197883606,0.2346910536289215,0.3478115200996399,-0.038515426218509674,0.33361750841140747,0.10948074609041214,0.15803812444210052
grains,0.22209185361862183,0.2453182190656662,0.2690761387348175,0.29571694135665894,0.11706095933914185,0.15776412189006805,0.25450876355171204,0.25450876355171204,0.30272069573402405,0.2690761387348175,0.25450876355171204,0.22229419648647308,0.012736396864056587,0.27504763007164,0.02749941684305668,0.15261265635490417
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.3275851607322693,0.33670201897621155,0.34995582699775696,0.5473989248275757,0.5473989248275757,0.35145804286003113,0.41498205065727234,0.5473989248275757,0.2795715630054474,0.04397977516055107,0.2717767655849457,-0.011943371966481209,0.32716336846351624
formed,0.15451857447624207,0.11433476209640503,0.2871689796447754,0.19476965069770813,0.3009849190711975,0.25667014718055725,0.28813210129737854,0.28813210129737854,0.18713045120239258,0.2871689796447754,0.28813210129737854,0.12674881517887115,0.08651898056268692,0.18376335501670837,-0.008002006448805332,0.09686966985464096
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.264274537563324,0.48711544275283813,0.2872544527053833,1.0,1.0,0.3154614269733429,0.733189046382904,1.0,0.258540540933609,-0.01540423184633255,0.20428593456745148,0.0058518932200968266,0.22068053483963013
earth,0.25883176922798157,0.07964067161083221,0.2329314798116684,0.16074448823928833,0.18661361932754517,0.06407012045383453,0.2801888585090637,0.2801888585090637,0.35035085678100586,0.2329314798116684,0.2801888585090637,0.45118439197540283,0.0661235973238945,0.3065866231918335,-0.016993554309010506,0.17717236280441284
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.23766504228115082,0.40146201848983765,0.25169795751571655,0.5934505462646484,0.5934505462646484,0.27066871523857117,0.5352458953857422,0.5934505462646484,0.20861375331878662,-0.003708066651597619,0.2554275095462799,0.08594998717308044,0.4130953550338745
