,who,has,design,authority,over,all,of,the,digital,satellite,receivers,that,are,capable,of,using,their,service,?
they,0.47879111766815186,0.3512192368507385,0.1842712014913559,0.1672353446483612,0.29507914185523987,0.4884434938430786,0.3426007330417633,0.49925389885902405,0.19140204787254333,0.15472903847694397,0.31793123483657837,0.5710820555686951,0.610666811466217,0.27377915382385254,0.3426007330417633,0.31864410638809204,0.7104025483131409,0.18420350551605225,0.2753053903579712
are,0.27294138073921204,0.4313911199569702,0.144777312874794,0.15189868211746216,0.2778770923614502,0.5343062281608582,0.39081433415412903,0.40399202704429626,0.17171630263328552,0.12365440279245377,0.30111151933670044,0.45265161991119385,1.0,0.328324556350708,0.39081433415412903,0.3385874032974243,0.46887820959091187,0.14771409332752228,0.24591213464736938
not,0.369414746761322,0.32239022850990295,0.21063774824142456,0.29407691955566406,0.2890527844429016,0.4974499046802521,0.3307090103626251,0.4310511648654938,0.16233520209789276,0.13949944078922272,0.2411712110042572,0.6600887179374695,0.46186959743499756,0.2998019754886627,0.3307090103626251,0.38508203625679016,0.4368778169155121,0.16309931874275208,0.41942933201789856
available,0.1272890865802765,0.1759227216243744,0.17545044422149658,0.17359253764152527,0.19951476156711578,0.3189736306667328,0.2416580766439438,0.26723232865333557,0.3302791118621826,0.15985676646232605,0.25839582085609436,0.2840282618999481,0.31910744309425354,0.31389227509498596,0.2416580766439438,0.3165484666824341,0.25499746203422546,0.3073113262653351,0.2501629889011383
as,0.3923053741455078,0.351646363735199,0.21253643929958344,0.25263646245002747,0.3506779670715332,0.33195313811302185,0.3886612355709076,0.48381632566452026,0.14300262928009033,0.1394777148962021,0.26561304926872253,0.4735107421875,0.3826591968536377,0.18422278761863708,0.3886612355709076,0.31195345520973206,0.29218852519989014,0.21829554438591003,0.27043893933296204
stand-alone,0.33844760060310364,0.28314411640167236,0.2254054695367813,0.20802748203277588,0.28367453813552856,0.3592986762523651,0.34051623940467834,0.39401862025260925,0.19246593117713928,0.13710430264472961,0.22362305223941803,0.3457982838153839,0.3201006352901459,0.2756957411766052,0.34051623940467834,0.2587793171405792,0.31422731280326843,0.2954053580760956,0.22427937388420105
dvb,0.1398114413022995,0.22839944064617157,0.3059561848640442,0.18407614529132843,0.24719515442848206,0.2904819846153259,0.20878718793392181,0.3031443953514099,0.5038965344429016,0.4579969644546509,0.4415891766548157,0.3514750897884369,0.30717912316322327,0.27414509654045105,0.20878718793392181,0.3590330481529236,0.21252144873142242,0.3280576765537262,0.25295159220695496
cams,0.14714550971984863,0.1972063183784485,0.3000977337360382,0.21499131619930267,0.26383841037750244,0.2300420105457306,0.2255588173866272,0.248433917760849,0.2631957232952118,0.24702265858650208,0.3974834680557251,0.25760775804519653,0.32876530289649963,0.2437458634376526,0.2255588173866272,0.2702585458755493,0.25404396653175354,0.2949707508087158,0.23340176045894623
(,0.2443375140428543,0.2498389035463333,0.10962162166833878,0.18909376859664917,0.20570816099643707,0.28167209029197693,0.35032153129577637,0.33289089798927307,0.1653749644756317,0.17470206320285797,0.2572041153907776,0.2264307141304016,0.23263892531394958,0.11741603910923004,0.35032153129577637,0.1647263914346695,0.15721023082733154,0.13752473890781403,0.40561532974243164
conditional-access,0.24514304101467133,0.20483344793319702,0.27969393134117126,0.28625449538230896,0.2618764340877533,0.33805418014526367,0.27483823895454407,0.30782967805862427,0.2906097173690796,0.20623250305652618,0.3028319478034973,0.33909493684768677,0.3111865818500519,0.3039114773273468,0.27483823895454407,0.30171167850494385,0.30384743213653564,0.31601661443710327,0.3029197156429291
modules,0.16938817501068115,0.142735093832016,0.28477999567985535,0.18168140947818756,0.13473306596279144,0.2985457479953766,0.09978590905666351,0.18172919750213623,0.21674495935440063,0.1749306321144104,0.34285464882850647,0.2935730516910553,0.30411624908447266,0.27681002020835876,0.09978590905666351,0.33174610137939453,0.23285114765167236,0.20641478896141052,0.2365492284297943
),0.2457384318113327,0.26944878697395325,0.09917057305574417,0.17258036136627197,0.20568643510341644,0.283302903175354,0.3680361211299896,0.3456730246543884,0.17788442969322205,0.19569383561611176,0.24407894909381866,0.23478686809539795,0.2373749315738678,0.10987658053636551,0.3680361211299896,0.19352808594703674,0.1549641638994217,0.17408718168735504,0.42300865054130554
.,0.3541337847709656,0.4105546176433563,0.24995818734169006,0.19641262292861938,0.37877383828163147,0.43406882882118225,0.5352458953857422,0.5934505462646484,0.1748691350221634,0.16136173903942108,0.263480007648468,0.4460422694683075,0.3452940285205841,0.17216666042804718,0.5352458953857422,0.3629456162452698,0.34427863359451294,0.2115515172481537,0.4130953550338745
