,what,kind,of,human,t,cells,respond,to,common,molecules,produced,by,microbes,?
respond,0.42141762375831604,0.29027852416038513,0.19069483876228333,0.22077423334121704,0.30334874987602234,0.3767065703868866,1.0000001192092896,0.33126938343048096,0.15564529597759247,0.2521800398826599,0.12941701710224152,0.2348756343126297,0.29473963379859924,0.2554577887058258
within,0.2498195916414261,0.15787406265735626,0.39594778418540955,0.22098244726657867,0.12416902929544449,0.2543821930885315,0.23009805381298065,0.34980177879333496,0.21239618957042694,0.2353842854499817,0.12822668254375458,0.28621017932891846,0.2759859561920166,0.1870293766260147
hours,0.21807120740413666,0.11658212542533875,0.1357264667749405,0.17509590089321136,0.19943860173225403,0.199537992477417,0.24164536595344543,0.23638038337230682,0.13165414333343506,0.197798952460289,0.1608676165342331,0.19614313542842865,0.16362038254737854,0.21755769848823547
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.25612473487854004,0.30417174100875854,0.26320719718933105,0.33126938343048096,1.0,0.21109338104724884,0.2749134600162506,0.16305041313171387,0.33534231781959534,0.28390011191368103,0.29463258385658264
common,0.19989867508411407,0.34846702218055725,0.2949881851673126,0.22624585032463074,0.19230619072914124,0.1744508147239685,0.15564529597759247,0.21109338104724884,0.9999998807907104,0.204071506857872,0.10234877467155457,0.10355567932128906,0.28288733959198,0.20434872806072235
molecules,0.2143162339925766,0.21105678379535675,0.24428431689739227,0.3011176884174347,0.22650130093097687,0.5185227394104004,0.2521800398826599,0.2749134600162506,0.204071506857872,0.9999999403953552,0.20772093534469604,0.22475433349609375,0.5317147970199585,0.17409995198249817
produced,0.1393624097108841,0.23418404161930084,0.18961067497730255,0.19254523515701294,0.1999693363904953,0.2253560572862625,0.12941701710224152,0.16305041313171387,0.10234877467155457,0.20772093534469604,1.0000001192092896,0.4647648334503174,0.17252199351787567,0.1623450517654419
by,0.2455483376979828,0.13289578258991241,0.3646814823150635,0.23065325617790222,0.167274609208107,0.19208736717700958,0.2348756343126297,0.33534231781959534,0.10355567932128906,0.22475433349609375,0.4647648334503174,1.0000001192092896,0.2095867097377777,0.17966607213020325
microbes,0.27925968170166016,0.27055126428604126,0.27299147844314575,0.40779027342796326,0.1956796795129776,0.5225808620452881,0.29473963379859924,0.28390011191368103,0.28288733959198,0.5317147970199585,0.17252199351787567,0.2095867097377777,1.0,0.172354593873024
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.23877760767936707,0.31002363562583923,0.20582014322280884,0.25066259503364563,0.44245919585227966,0.2497023195028305,0.18639802932739258,0.22260788083076477,0.3680937886238098,0.25792837142944336,0.31091248989105225
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.37127596139907837,0.25205641984939575,0.24033623933792114,0.23323816061019897,0.48971283435821533,0.229714497923851,0.24837805330753326,0.24455034732818604,0.4289871156215668,0.2551001012325287,0.20544172823429108
highly,0.22724121809005737,0.22162090241909027,0.21906863152980804,0.1635420024394989,0.16057732701301575,0.22570213675498962,0.2825625240802765,0.24264846742153168,0.15060825645923615,0.26785579323768616,0.17019864916801453,0.21692721545696259,0.256992906332016,0.1542806625366211
restricted,0.24043217301368713,0.2053632289171219,0.2586212754249573,0.19501277804374695,0.18430785834789276,0.20387747883796692,0.3385700583457947,0.27904990315437317,0.2549765408039093,0.22335025668144226,0.20900432765483856,0.20083987712860107,0.2566075325012207,0.16540619730949402
vδ1+,0.0826166644692421,0.01610529236495495,0.052273672074079514,0.04114692658185959,0.21790412068367004,0.1523037850856781,0.05312276631593704,-0.03007066436111927,0.09173483401536942,0.1578589677810669,0.058736544102430344,-0.012227880768477917,0.03286179155111313,0.1233447715640068
t,0.37454068660736084,0.24463781714439392,0.14617829024791718,0.1851959526538849,0.9999999403953552,0.25527921319007874,0.30334874987602234,0.30417174100875854,0.19230619072914124,0.22650130093097687,0.1999693363904953,0.167274609208107,0.1956796795129776,0.4954066574573517
cells,0.1758001297712326,0.24291619658470154,0.21305565536022186,0.28001874685287476,0.25527921319007874,1.0,0.3767065703868866,0.26320719718933105,0.1744508147239685,0.5185227394104004,0.2253560572862625,0.19208736717700958,0.5225808620452881,0.1898086667060852
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.23986108601093292,0.1924382597208023,0.1711641103029251,0.20842644572257996,0.45010748505592346,0.23149342834949493,0.2197362184524536,0.2542861998081207,0.370934396982193,0.24706831574440002,0.20430970191955566
epithelia,0.26863035559654236,0.25437551736831665,0.3005937933921814,0.245535209774971,0.152409628033638,0.4822051525115967,0.21740907430648804,0.2716634273529053,0.22671611607074738,0.3029949963092804,0.17996695637702942,0.21187321841716766,0.4325355291366577,0.20939211547374725
respond,0.42141762375831604,0.29027852416038513,0.19069483876228333,0.22077423334121704,0.30334874987602234,0.3767065703868866,1.0000001192092896,0.33126938343048096,0.15564529597759247,0.2521800398826599,0.12941701710224152,0.2348756343126297,0.29473963379859924,0.2554577887058258
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.25612473487854004,0.30417174100875854,0.26320719718933105,0.33126938343048096,1.0,0.21109338104724884,0.2749134600162506,0.16305041313171387,0.33534231781959534,0.28390011191368103,0.29463258385658264
stressed,0.29328247904777527,0.3042227625846863,0.2260998636484146,0.20491358637809753,0.22947180271148682,0.25162410736083984,0.4103267788887024,0.2791992723941803,0.17722557485103607,0.24146319925785065,0.22485071420669556,0.2426893264055252,0.20859092473983765,0.24694886803627014
epithelial,0.2701612412929535,0.29353854060173035,0.32583191990852356,0.3334142863750458,0.1614208072423935,0.5636310577392578,0.2799481749534607,0.28209203481674194,0.28883928060531616,0.39946451783180237,0.2007831335067749,0.23487237095832825,0.5176248550415039,0.1838352233171463
cells,0.1758001297712326,0.24291619658470154,0.21305565536022186,0.28001874685287476,0.25527921319007874,1.0,0.3767065703868866,0.26320719718933105,0.1744508147239685,0.5185227394104004,0.2253560572862625,0.19208736717700958,0.5225808620452881,0.1898086667060852
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.24595768749713898,0.3410096764564514,0.2868211269378662,0.2619034945964813,0.4645031690597534,0.21817955374717712,0.25748172402381897,0.2634154260158539,0.3936232924461365,0.23687511682510376,0.4130953550338745
