,what,was,the,average,cost,for,a,tv,ad,lasting,30,seconds,during,super,bowl,50,?
charged,0.191240593791008,0.2394018918275833,0.2047804892063141,0.18032048642635345,0.24120937287807465,0.17613565921783447,0.21603477001190186,0.10414056479930878,0.08693517744541168,0.06280842423439026,-0.0606057345867157,0.16472727060317993,0.21743762493133545,0.1307750940322876,0.13330021500587463,0.052119180560112,0.1305682212114334
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.27438971400260925,0.15845364332199097,0.3236706852912903,0.44552403688430786,0.14825421571731567,0.1621062159538269,0.1880175620317459,0.042109210044145584,0.14226184785366058,0.21076080203056335,0.09755856543779373,0.13908697664737701,0.02188069000840187,0.19793890416622162
average,0.24068789184093475,0.18843130767345428,0.27058175206184387,1.0,0.2914794087409973,0.20724235475063324,0.23812800645828247,0.07376675307750702,0.07775484770536423,0.2289770245552063,-0.04201429709792137,0.2679542899131775,0.2458241730928421,0.127910777926445,0.1515442579984665,0.03536339849233627,0.21764592826366425
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23717734217643738,0.23332229256629944,0.4185989499092102,0.5052502155303955,0.19364769756793976,0.1761893332004547,0.3531821370124817,0.003304550424218178,0.13684065639972687,0.3869180977344513,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.1826142966747284
$,0.24858909845352173,0.23838669061660767,0.23367542028427124,0.2754773199558258,0.5133980512619019,0.22711659967899323,0.22939236462116241,0.15141546726226807,0.16893021762371063,0.18163616955280304,-0.00666854390874505,0.23817448318004608,0.18413951992988586,0.14851532876491547,0.24415016174316406,-0.044484999030828476,0.2786129117012024
5,0.09269922226667404,-0.020029501989483833,0.09255307912826538,0.013141149654984474,0.0013155064079910517,0.06971735507249832,0.07282212376594543,-0.017878055572509766,0.11036597192287445,0.018951237201690674,-0.05842862278223038,-0.00553125562146306,0.012544178403913975,0.024198191240429878,0.052770476788282394,0.0577104315161705,0.06222071498632431
million,0.22197039425373077,0.24203833937644958,0.277012437582016,0.2824518382549286,0.3814373016357422,0.18660776317119598,0.1811940222978592,0.16554377973079681,0.16669094562530518,0.2290385365486145,0.030009422451257706,0.2155129611492157,0.25557681918144226,0.15958677232265472,0.18768401443958282,-0.07849453389644623,0.23092924058437347
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.20724235475063324,0.2728281319141388,0.9999999403953552,0.44038116931915283,0.22924813628196716,0.09682639688253403,0.34271079301834106,0.005358967464417219,0.21811291575431824,0.3448435664176941,0.22938419878482819,0.24430087208747864,0.029183456674218178,0.264628142118454
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.23812800645828247,0.21993719041347504,0.44038116931915283,1.0,0.2169625610113144,0.1853104531764984,0.28828486800193787,-0.003403416834771633,0.2580257058143616,0.30341604351997375,0.26005712151527405,0.19533146917819977,0.034183140844106674,0.23916715383529663
30-second,0.2115969955921173,0.27058619260787964,0.3721327483654022,0.27979087829589844,0.23334260284900665,0.20732535421848297,0.3324473798274994,0.17336660623550415,0.1701144427061081,0.3547137975692749,-0.03564344346523285,0.5495692491531372,0.32848256826400757,0.2004479467868805,0.19167320430278778,0.033071182668209076,0.18454498052597046
commercial,0.12070754915475845,0.22333669662475586,0.23051398992538452,0.07954645156860352,0.27838024497032166,0.25690725445747375,0.2696971893310547,0.24342778325080872,0.1564321517944336,0.21199791133403778,0.01316034235060215,0.15929268300533295,0.13566018640995026,0.20105868577957153,0.16026756167411804,0.04720782861113548,0.04216946288943291
during,0.24137552082538605,0.4470829963684082,0.4838213622570038,0.2458241730928421,0.2707549035549164,0.3448435664176941,0.30341604351997375,0.19223935902118683,0.13994094729423523,0.4374985694885254,-0.029752081260085106,0.2280459702014923,1.0,0.16951335966587067,0.22041946649551392,0.07054752856492996,0.1325719803571701
the,0.42745697498321533,0.48711544275283813,1.0,0.27058175206184387,0.23177006840705872,0.4739971458911896,0.5829201340675354,0.20034731924533844,0.24233382940292358,0.3242513835430145,0.0730796679854393,0.1997634470462799,0.4838213622570038,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
game,0.2246788740158081,0.2568269371986389,0.285271555185318,0.19433698058128357,0.18034349381923676,0.2608485519886017,0.23211604356765747,0.32472875714302063,0.08543296158313751,0.15762419998645782,0.008062359876930714,0.275033175945282,0.23073366284370422,0.3480181396007538,0.2413962334394455,0.012895043939352036,0.1829071193933487
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2717139422893524,0.26134178042411804,0.4726039469242096,0.50484299659729,0.27196308970451355,0.2654629051685333,0.2592228055000305,0.08522222936153412,0.21767209470272064,0.3485563397407532,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.4130953550338745
