,who,did,the,broncos,beat,to,win,their,division,in,2015,?
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.2558487057685852,0.2718006372451782,0.44245919585227966,0.2999197840690613,0.3045167922973633,0.24344468116760254,0.5201468467712402,0.06568983197212219,0.31091248989105225
by,0.39727845788002014,0.18574509024620056,0.4408751428127289,0.11333504319190979,0.19276173412799835,0.33534231781959534,0.1426505446434021,0.3242124021053314,0.18997035920619965,0.370934396982193,0.09096921235322952,0.17966607213020325
scoring,0.1477721482515335,0.1931239515542984,0.2582377791404724,0.3381083905696869,0.32188814878463745,0.2221129685640335,0.37630602717399597,0.2158435881137848,0.17013569176197052,0.19487565755844116,-0.04231537878513336,0.0971682071685791
11,0.11859084665775299,0.07614340633153915,-0.0219515822827816,-0.0632704421877861,-0.015784183517098427,0.010993496514856815,-0.05108430236577988,0.09494557231664658,-0.08269689232110977,0.03469983860850334,-0.14060333371162415,-0.04295448586344719
points,0.16272501647472382,0.2069225311279297,0.2560983896255493,0.22998562455177307,0.19648222625255585,0.2551480233669281,0.3097606599330902,0.2535620629787445,0.16387875378131866,0.1616203784942627,-0.008890319615602493,0.11006313562393188
in,0.2792111933231354,0.2593238651752472,0.6662389636039734,0.20316283404827118,0.16871558129787445,0.45010748505592346,0.2503834664821625,0.34976133704185486,0.2658538520336151,1.0,0.0891268327832222,0.20430970191955566
the,0.3733934462070465,0.34736719727516174,1.0,0.25985947251319885,0.24951939284801483,0.535392165184021,0.28308698534965515,0.516537070274353,0.26203617453575134,0.6662389636039734,0.1466771513223648,0.22068053483963013
final,0.16870783269405365,0.24226084351539612,0.3543182611465454,0.2183726727962494,0.32037389278411865,0.26099109649658203,0.3263635039329529,0.2108406126499176,0.19742609560489655,0.25512343645095825,0.14440496265888214,0.17315025627613068
three,0.2491552233695984,0.2043166607618332,0.43452659249305725,0.23654358088970184,0.2183031439781189,0.3043823838233948,0.19886043667793274,0.3209680914878845,0.22216397523880005,0.34828072786331177,0.05434681847691536,0.20928427577018738
minutes,0.153090700507164,0.1874036341905594,0.20313966274261475,0.17653882503509521,0.1998390555381775,0.2305816262960434,0.18141280114650726,0.1800924837589264,0.06846588104963303,0.18828919529914856,-0.0388033352792263,0.14419560134410858
of,0.2827862501144409,0.2513895630836487,0.733189046382904,0.19310332834720612,0.15358257293701172,0.41548454761505127,0.18048720061779022,0.4329940676689148,0.23579144477844238,0.5696388483047485,0.21138253808021545,0.1826142966747284
the,0.3733934462070465,0.34736719727516174,1.0,0.25985947251319885,0.24951939284801483,0.535392165184021,0.28308698534965515,0.516537070274353,0.26203617453575134,0.6662389636039734,0.1466771513223648,0.22068053483963013
game,0.2523840069770813,0.19789010286331177,0.285271555185318,0.32325026392936707,0.30160796642303467,0.2540906071662903,0.2969452738761902,0.2491205334663391,0.15858912467956543,0.23986028134822845,-0.003872275585308671,0.1829071193933487
.,0.3541337847709656,0.35288307070732117,0.5934505462646484,0.2612393796443939,0.2967934012413025,0.4645031690597534,0.25577837228775024,0.34427863359451294,0.27855971455574036,0.5591574311256409,0.06607602536678314,0.4130953550338745
