,what,kind,of,allegations,were,brought,after,the,2007,election,?
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.22029541432857513,0.36755475401878357,0.30810219049453735,0.38860568404197693,0.4933079481124878,-0.24049624800682068,0.22834618389606476,0.31091248989105225
most,0.3219912350177765,0.3164631724357605,0.4178851246833801,0.1936291754245758,0.3543298542499542,0.27231454849243164,0.22962093353271484,0.47635307908058167,-0.13878364861011505,0.1135236993432045,0.2107497900724411
recently,0.2653191089630127,0.15403762459754944,0.21953822672367096,0.22919251024723053,0.3647858202457428,0.3261634111404419,0.3259037137031555,0.2774651348590851,-0.188645601272583,0.17398320138454437,0.18352322280406952
while,0.35511791706085205,0.18236218392848969,0.3366928696632385,0.23406854271888733,0.3084527552127838,0.32374706864356995,0.42262914776802063,0.39804592728614807,-0.1970316618680954,0.16436199843883514,0.21076419949531555
conducting,0.18511110544204712,0.1707170009613037,0.25282102823257446,0.24883303046226501,0.18943488597869873,0.2189881056547165,0.14960801601409912,0.2657943367958069,-0.1545872539281845,0.15314483642578125,0.06755834817886353
counter-insurgency,0.2334694266319275,0.1606830507516861,0.26572296023368835,0.38790175318717957,0.2619243860244751,0.24227465689182281,0.23496243357658386,0.32314568758010864,-0.15297457575798035,0.30841028690338135,0.14137467741966248
operations,0.1829104721546173,0.1820523589849472,0.28191348910331726,0.35124826431274414,0.19154588878154755,0.1526147425174713,0.19133180379867554,0.2928410470485687,-0.0973166823387146,0.15813256800174713,0.13622350990772247
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.23326563835144043,0.3815755248069763,0.25879573822021484,0.44050168991088867,0.6662389636039734,-0.2201838344335556,0.2450414001941681,0.20430970191955566
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2481755167245865,0.3906462490558624,0.32700833678245544,0.4565047025680542,1.0,-0.23657195270061493,0.22873377799987793,0.22068053483963013
mt,0.19136635959148407,0.07324763387441635,0.1086232140660286,0.09958343207836151,0.051004454493522644,0.08752427250146866,0.1263716071844101,0.1444755494594574,-0.09397273510694504,0.08610532432794571,0.15117552876472473
elgon,0.2994908094406128,0.20808494091033936,0.336854487657547,0.1482047736644745,0.2913236618041992,0.21985912322998047,0.2579514980316162,0.3615913689136505,-0.28680357336997986,0.2607453763484955,0.2583492398262024
area,0.21965408325195312,0.12041405588388443,0.3409860134124756,0.09493543952703476,0.2544567286968231,0.19132138788700104,0.22290436923503876,0.37834644317626953,-0.15683376789093018,0.17792022228240967,0.12640461325645447
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.19135132431983948,0.42175528407096863,0.3560350239276886,0.3765919506549835,0.5171257257461548,-0.2391151487827301,0.19142299890518188,0.20544172823429108
also,0.42747777700424194,0.35271334648132324,0.4924938678741455,0.24390828609466553,0.31877249479293823,0.3197643458843231,0.33205533027648926,0.6021018624305725,-0.12040205299854279,0.16336926817893982,0.21848613023757935
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.23326563835144043,0.3815755248069763,0.25879573822021484,0.44050168991088867,0.6662389636039734,-0.2201838344335556,0.2450414001941681,0.20430970191955566
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2481755167245865,0.3906462490558624,0.32700833678245544,0.4565047025680542,1.0,-0.23657195270061493,0.22873377799987793,0.22068053483963013
district,0.13126243650913239,0.10426115989685059,0.2673880457878113,0.16308489441871643,0.16359136998653412,0.15980912744998932,0.17999887466430664,0.2690705955028534,-0.22803223133087158,0.23816736042499542,0.06725285202264786
of,0.33290785551071167,0.2285657674074173,1.0,0.22527608275413513,0.34038281440734863,0.3339962065219879,0.3867455720901489,0.733189046382904,-0.21244128048419952,0.23051156103610992,0.1826142966747284
mandera,0.15965482592582703,0.17739266157150269,0.25423866510391235,0.16966582834720612,0.19048896431922913,0.12781386077404022,0.1639648675918579,0.294524610042572,-0.2261950671672821,0.24934972822666168,0.20186546444892883
central,0.17723965644836426,0.08368655294179916,0.3415789008140564,0.13086041808128357,0.16558948159217834,0.17821457982063293,0.10332171618938446,0.3417201042175293,-0.09463944286108017,0.16391128301620483,0.14787602424621582
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.2857607901096344,0.3378238379955292,0.31484454870224,0.35870397090911865,0.5934505462646484,-0.216732457280159,0.25081899762153625,0.4130953550338745
