,what,university,donated,the,land,for,the,manned,spacecraft,center,?
donated,0.09656376391649246,0.2528834939002991,0.9999998807907104,0.24606364965438843,0.21239589154720306,0.30581414699554443,0.24606364965438843,0.15325358510017395,0.1552477926015854,0.1913624107837677,0.10052662342786789
by,0.2455483376979828,0.1929011344909668,0.24880395829677582,0.4408751428127289,0.2530721127986908,0.3248702883720398,0.4408751428127289,0.245781809091568,0.19003267586231232,0.12630024552345276,0.17966607213020325
rice,0.16436274349689484,0.18598705530166626,0.1978490650653839,0.2547391355037689,0.23603764176368713,0.22706332802772522,0.2547391355037689,0.13842420279979706,0.13385608792304993,0.06508616358041763,0.16898907721042633
university,0.20256435871124268,1.0,0.2528834939002991,0.263973206281662,0.15340852737426758,0.18573740124702454,0.263973206281662,0.125913605093956,0.1598806381225586,0.2763576805591583,0.11887256056070328
",",0.3087472915649414,0.3017033040523529,0.2569865584373474,0.4933079481124878,0.22220008075237274,0.4464869201183319,0.4933079481124878,0.1752677708864212,0.1987742930650711,0.1905742734670639,0.31091248989105225
and,0.31309178471565247,0.2665814459323883,0.2513214945793152,0.5171257257461548,0.2874513864517212,0.5064792633056641,0.5171257257461548,0.21635916829109192,0.19242209196090698,0.28670641779899597,0.20544172823429108
administrator,0.3100288510322571,0.22727131843566895,0.16604000329971313,0.23136885464191437,0.09937115758657455,0.22280412912368774,0.23136885464191437,0.22605964541435242,0.20216034352779388,0.16880805790424347,0.2915230691432953
webb,0.07876737415790558,0.24637791514396667,0.21042528748512268,0.2468639612197876,0.18952080607414246,0.24088044464588165,0.2468639612197876,0.19673119485378265,0.26301994919776917,0.21736066043376923,0.11173157393932343
announced,0.09249057620763779,0.1549054980278015,0.25036242604255676,0.2277132272720337,0.11000268161296844,0.2801167368888855,0.2277132272720337,0.21813122928142548,0.22801238298416138,0.15081888437271118,0.17416009306907654
the,0.42745697498321533,0.263973206281662,0.24606364965438843,1.0,0.28587454557418823,0.4739971458911896,1.0,0.2392944097518921,0.21476294100284576,0.29064592719078064,0.22068053483963013
conversion,0.21660274267196655,0.11881645768880844,0.0944303348660469,0.2308437079191208,0.1139458417892456,0.23820045590400696,0.2308437079191208,0.2158719301223755,0.21421131491661072,0.1512782871723175,0.1924358606338501
on,0.34226128458976746,0.18291500210762024,0.16190804541110992,0.5107308030128479,0.2075873464345932,0.36199691891670227,0.5107308030128479,0.22706209123134613,0.20470470190048218,0.23809784650802612,0.2714994251728058
september,0.2153792530298233,0.19406050443649292,0.18469788134098053,0.2516939043998718,0.15326052904129028,0.2689499855041504,0.2516939043998718,0.13321775197982788,0.15573406219482422,0.19361624121665955,0.2665146589279175
19,0.014984339475631714,-0.13556797802448273,-0.12851306796073914,-0.17766842246055603,-0.17266088724136353,-0.08700177818536758,-0.17766842246055603,-0.028054332360625267,-0.04440642520785332,-0.04166392236948013,0.008002291433513165
",",0.3087472915649414,0.3017033040523529,0.2569865584373474,0.4933079481124878,0.22220008075237274,0.4464869201183319,0.4933079481124878,0.1752677708864212,0.1987742930650711,0.1905742734670639,0.31091248989105225
1961,-0.03442762792110443,0.07373924553394318,0.04411335289478302,0.0738944262266159,0.07710510492324829,0.014115508645772934,0.0738944262266159,0.05895290523767471,0.08361214399337769,-0.016334274783730507,0.009729373268783092
.,0.3567904531955719,0.290679007768631,0.28309792280197144,0.5934505462646484,0.259204238653183,0.4726039469242096,0.5934505462646484,0.2219262570142746,0.19334369897842407,0.29649654030799866,0.4130953550338745
