,under,what,instances,can,individuals,rely,on,primary,law,in,the,court,of,justice,of,european,union,?
justice,0.14663933217525482,0.21462921798229218,0.15658703446388245,0.08705738186836243,0.19155944883823395,0.18585968017578125,0.1708904355764389,0.13293223083019257,0.357088178396225,0.2678598463535309,0.23470892012119293,0.5483176112174988,0.2658293545246124,1.0,0.2658293545246124,0.18444514274597168,0.17461003363132477,0.19269752502441406
of,0.32766106724739075,0.33290785551071167,0.305372416973114,0.2603091299533844,0.27365922927856445,0.23148025572299957,0.3966929316520691,0.23414276540279388,0.2816956341266632,0.5696388483047485,0.733189046382904,0.28835242986679077,1.0,0.2658293545246124,1.0,0.2507138252258301,0.2642118036746979,0.1826142966747284
the,0.3348022699356079,0.42745697498321533,0.33414426445961,0.312528520822525,0.3022412955760956,0.2672518789768219,0.5107308030128479,0.25688621401786804,0.24548950791358948,0.6662389636039734,1.0,0.2812081575393677,0.733189046382904,0.23470892012119293,0.733189046382904,0.3423081040382385,0.24421639740467072,0.22068053483963013
european,0.17218957841396332,0.15324164927005768,0.20648065209388733,0.14084136486053467,0.13787877559661865,0.08904469758272171,0.19710737466812134,0.10110604763031006,0.17164482176303864,0.23319172859191895,0.3423081040382385,0.18487446010112762,0.2507138252258301,0.18444514274597168,0.2507138252258301,0.9999998807907104,0.3571677803993225,0.14560863375663757
union,0.1701658070087433,0.1396910548210144,0.15989936888217926,0.1335739940404892,0.15538576245307922,0.07788194715976715,0.15769828855991364,0.10285277664661407,0.19371826946735382,0.22726479172706604,0.24421639740467072,0.23186643421649933,0.2642118036746979,0.17461003363132477,0.2642118036746979,0.3571677803993225,0.9999999403953552,0.07797172665596008
if,0.22169512510299683,0.5277165174484253,0.4938948154449463,0.5903681516647339,0.3282046318054199,0.329203724861145,0.24549968540668488,0.15895219147205353,0.19418910145759583,0.2589588761329651,0.33724796772003174,0.1713385432958603,0.2557544410228729,0.14790785312652588,0.2557544410228729,0.11701366305351257,0.17719733715057373,0.4441644251346588
the,0.3348022699356079,0.42745697498321533,0.33414426445961,0.312528520822525,0.3022412955760956,0.2672518789768219,0.5107308030128479,0.25688621401786804,0.24548950791358948,0.6662389636039734,1.0,0.2812081575393677,0.733189046382904,0.23470892012119293,0.733189046382904,0.3423081040382385,0.24421639740467072,0.22068053483963013
treaty,0.24186494946479797,0.17237819731235504,0.20489449799060822,0.07892066240310669,0.09748970717191696,0.07683135569095612,0.19638824462890625,0.09991617500782013,0.3302869200706482,0.22333456575870514,0.2690109610557556,0.22745929658412933,0.2602092921733856,0.20915263891220093,0.2602092921733856,0.25059598684310913,0.3147597312927246,0.1174844279885292
provisions,0.28761541843414307,0.2471846491098404,0.40924087166786194,0.2463000863790512,0.3025764226913452,0.26048868894577026,0.2502935826778412,0.2683200240135193,0.3314041793346405,0.17358911037445068,0.28538835048675537,0.28214243054389954,0.2910953760147095,0.22081567347049713,0.2910953760147095,0.1719832718372345,0.3150425851345062,0.22902937233448029
have,0.2579502761363983,0.39808809757232666,0.42975908517837524,0.5489245653152466,0.4619733393192291,0.42202994227409363,0.36494916677474976,0.21564412117004395,0.18623127043247223,0.36843645572662354,0.40389683842658997,0.1848815530538559,0.3802283704280853,0.11963403224945068,0.3802283704280853,0.19048169255256653,0.16471676528453827,0.32991164922714233
a,0.18317826092243195,0.3320399522781372,0.3550227880477905,0.3915780484676361,0.2836177945137024,0.25360018014907837,0.3848365545272827,0.23038449883460999,0.2212858349084854,0.539380669593811,0.5829201340675354,0.23624834418296814,0.5052502155303955,0.20230674743652344,0.5052502155303955,0.2254103124141693,0.18140026926994324,0.23916715383529663
direct,0.23817294836044312,0.26271191239356995,0.32387447357177734,0.26376575231552124,0.29012995958328247,0.26142778992652893,0.20648783445358276,0.24634601175785065,0.22744078934192657,0.1965816169977188,0.3262479901313782,0.17292459309101105,0.2533726394176483,0.19164927303791046,0.2533726394176483,0.20037411153316498,0.09293387830257416,0.18476411700248718
effect,0.20166052877902985,0.2546532452106476,0.3742659091949463,0.2831771671772003,0.2520800530910492,0.294540673494339,0.2661469280719757,0.1873578131198883,0.22741442918777466,0.25150683522224426,0.2865084111690521,0.0757947564125061,0.24129827320575714,0.11609526723623276,0.24129827320575714,0.12194139510393143,0.11457715183496475,0.1783771812915802
and,0.3005301356315613,0.31309178471565247,0.32206737995147705,0.3675691485404968,0.2956017851829529,0.31047725677490234,0.4077630043029785,0.2539214491844177,0.254730761051178,0.4954058527946472,0.5171257257461548,0.22896502912044525,0.5116966962814331,0.22812503576278687,0.5116966962814331,0.24143946170806885,0.2594362497329712,0.20544172823429108
they,0.2802797257900238,0.4431931674480438,0.34947100281715393,0.47909218072891235,0.432591050863266,0.37233707308769226,0.31295230984687805,0.2192593365907669,0.21479126811027527,0.4330179989337921,0.49925389885902405,0.20706503093242645,0.3426007330417633,0.15341687202453613,0.3426007330417633,0.2306637316942215,0.1886184960603714,0.2753053903579712
are,0.2196284979581833,0.29724663496017456,0.4062425494194031,0.5408529043197632,0.42574483156204224,0.3858303427696228,0.268924742937088,0.24237659573554993,0.13009320199489594,0.3841303884983063,0.40399202704429626,0.10927453637123108,0.39081433415412903,0.13176707923412323,0.39081433415412903,0.15548661351203918,0.15829040110111237,0.24591213464736938
sufficiently,0.22098658978939056,0.3759381175041199,0.41170865297317505,0.4292161166667938,0.42251652479171753,0.45408162474632263,0.28323641419410706,0.22938939929008484,0.1957189440727234,0.19355745613574982,0.27300891280174255,0.148313969373703,0.21049217879772186,0.15799015760421753,0.21049217879772186,0.11755196005105972,0.1942124217748642,0.30030086636543274
clear,0.21680282056331635,0.4239453375339508,0.28005531430244446,0.2842826247215271,0.18156255781650543,0.23303678631782532,0.23387739062309265,0.24973629415035248,0.1486392617225647,0.23860304057598114,0.3209454417228699,0.2114374190568924,0.25915294885635376,0.15417613089084625,0.25915294885635376,0.12468711286783218,0.20219531655311584,0.2738020122051239
",",0.24875585734844208,0.3087472915649414,0.26425594091415405,0.3139454126358032,0.18873384594917297,0.253036767244339,0.49057599902153015,0.2565748989582062,0.24953721463680267,0.5201468467712402,0.4933079481124878,0.24410836398601532,0.4946078956127167,0.22630788385868073,0.4946078956127167,0.19684812426567078,0.2362271547317505,0.31091248989105225
precise,0.1466173231601715,0.3571929335594177,0.34716296195983887,0.39691609144210815,0.26137208938598633,0.3308619260787964,0.1999964863061905,0.17814157903194427,0.1887810081243515,0.21494652330875397,0.32124680280685425,0.12081370502710342,0.25493818521499634,0.1258334368467331,0.25493818521499634,0.14690935611724854,0.1439376026391983,0.20396026968955994
and,0.3005301356315613,0.31309178471565247,0.32206737995147705,0.3675691485404968,0.2956017851829529,0.31047725677490234,0.4077630043029785,0.2539214491844177,0.254730761051178,0.4954058527946472,0.5171257257461548,0.22896502912044525,0.5116966962814331,0.22812503576278687,0.5116966962814331,0.24143946170806885,0.2594362497329712,0.20544172823429108
unconditional,0.27951815724372864,0.31224325299263,0.29493749141693115,0.27616241574287415,0.32446029782295227,0.28618013858795166,0.24437002837657928,0.21001169085502625,0.20516543090343475,0.266073614358902,0.26080039143562317,0.24085290729999542,0.2703678011894226,0.18576811254024506,0.2703678011894226,0.08710910379886627,0.23645007610321045,0.1868923306465149
.,0.2901604175567627,0.3567904531955719,0.3342418670654297,0.35783761739730835,0.2722686529159546,0.2332485467195511,0.49257001280784607,0.22422198951244354,0.24482665956020355,0.5591574311256409,0.5934505462646484,0.2742154598236084,0.5352458953857422,0.24642124772071838,0.5352458953857422,0.2095622420310974,0.23708370327949524,0.4130953550338745
